cell_rank,priority_band,scientific_name,module_id,module_name,matrix_segment,pool_role,tested_negative_priority,current_state,required_search,completion_rule
1,1,Acris crepitans,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
39,1,Metazygia rogenhoferi,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
40,1,Metazygia rogenhoferi,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
41,1,Metazygia rogenhoferi,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
42,1,Metazygia rogenhoferi,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
43,1,Natrix natrix,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
44,1,Natrix natrix,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
45,1,Natrix natrix,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
46,1,Natrix natrix,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
47,1,Natrix natrix,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
48,1,Natrix natrix,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
49,1,Nephila clavipes,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
50,1,Nephila clavipes,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
51,1,Nephila clavipes,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
52,1,Nephila clavipes,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
53,1,Nephila clavipes,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
54,1,Nephila clavipes,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
55,1,Paraponera clavata,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
56,1,Paraponera clavata,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
57,1,Paraponera clavata,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
58,1,Paraponera clavata,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
59,1,Paraponera clavata,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
60,1,Paraponera clavata,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
61,1,Periplaneta americana,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
62,1,Periplaneta americana,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
63,1,Periplaneta americana,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
64,1,Periplaneta americana,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
65,1,Periplaneta americana,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
66,1,Periplaneta americana,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
67,1,Platymantis vitiensis,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
68,1,Platymantis vitiensis,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
69,1,Platymantis vitiensis,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
70,1,Platymantis vitiensis,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
71,1,Platymantis vitiensis,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
72,1,Platymantis vitiensis,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
73,1,Porcellio laevis,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
74,1,Porcellio laevis,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
75,1,Porcellio laevis,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
76,1,Porcellio laevis,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
77,1,Porcellio laevis,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
78,1,Porcellio laevis,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
79,1,Trichoniscus pusillus,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
80,1,Trichoniscus pusillus,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
81,1,Trichoniscus pusillus,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
82,1,Trichoniscus pusillus,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
83,1,Trichoniscus pusillus,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
84,1,Trichoniscus pusillus,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
85,1,Zosis geniculata,A,generative_cognition,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
86,1,Zosis geniculata,B,social_transmission,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
87,1,Zosis geniculata,C,communication,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
88,1,Zosis geniculata,D,manipulation_embodiment,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
89,1,Zosis geniculata,E,externalization,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
90,1,Zosis geniculata,F,social_architecture,tier1_new50,data_rich_underrepresented_clade_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
91,1,Eubalaena glacialis,A,generative_cognition,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
92,1,Eubalaena glacialis,B,social_transmission,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
93,1,Eubalaena glacialis,C,communication,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
94,1,Eubalaena glacialis,D,manipulation_embodiment,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
95,1,Eubalaena glacialis,E,externalization,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
96,1,Eubalaena glacialis,F,social_architecture,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
97,1,Dasyurus maculatus,A,generative_cognition,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
98,1,Dasyurus maculatus,B,social_transmission,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
99,1,Dasyurus maculatus,C,communication,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
100,1,Dasyurus maculatus,D,manipulation_embodiment,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
101,1,Dasyurus maculatus,E,externalization,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
102,1,Dasyurus maculatus,F,social_architecture,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
103,1,Macropus antilopinus,A,generative_cognition,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
104,1,Macropus antilopinus,B,social_transmission,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
105,1,Macropus antilopinus,C,communication,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
106,1,Macropus antilopinus,D,manipulation_embodiment,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
107,1,Macropus antilopinus,E,externalization,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
108,1,Macropus antilopinus,F,social_architecture,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
109,1,Tragelaphus eurycerus,A,generative_cognition,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
110,1,Tragelaphus eurycerus,B,social_transmission,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
111,1,Tragelaphus eurycerus,C,communication,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
112,1,Tragelaphus eurycerus,D,manipulation_embodiment,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
113,1,Tragelaphus eurycerus,E,externalization,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
114,1,Tragelaphus eurycerus,F,social_architecture,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
115,1,Panthera tigris,A,generative_cognition,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
116,1,Panthera tigris,B,social_transmission,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
117,1,Panthera tigris,C,communication,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
118,1,Panthera tigris,D,manipulation_embodiment,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
119,1,Panthera tigris,E,externalization,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
120,1,Panthera tigris,F,social_architecture,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
121,1,Melursus ursinus,A,generative_cognition,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
122,1,Melursus ursinus,B,social_transmission,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
123,1,Melursus ursinus,C,communication,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
124,1,Melursus ursinus,D,manipulation_embodiment,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
125,1,Melursus ursinus,E,externalization,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
126,1,Melursus ursinus,F,social_architecture,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
127,1,Galerella sanguinea,A,generative_cognition,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
128,1,Galerella sanguinea,B,social_transmission,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
129,1,Galerella sanguinea,C,communication,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
130,1,Galerella sanguinea,D,manipulation_embodiment,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
131,1,Galerella sanguinea,E,externalization,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
132,1,Galerella sanguinea,F,social_architecture,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
133,1,Leptonychotes weddellii,A,generative_cognition,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
134,1,Leptonychotes weddellii,B,social_transmission,tier1_new50,database_unrepresented_family_mass_calibration,very_high,not_systematically_coded,positive + explicit tested-negative + not-tested documentation,exact-species evidence state + context + source provenance; silence is missingness
