scientific_name,module_id,retrieval_rank,paper_id,title,screening_status
Atta cephalotes,B,7,pmid:22442366,Do ants need to be old and experienced to teach?,pending
Atta cephalotes,B,8,pmid:11124876,Foraging behaviour of Atta cephalotes (leaf-cutting ants): an examination of two predictions for load selection.,pending
Atta cephalotes,C,1,pmid:4833350,"Methyl 4-methylpyrrole-2-carboxylate: a volatile trail pheromone from the leaf-cutting ant, tatta cephalotes.",pending
Atta cephalotes,C,2,pmid:26718582,"Chemical and behavioural studies of the trail-following pheromone in the leaf-cutting ant Atta opaciceps, Borgmeier (Hymenoptera: Formicidae).",pending
Atta cephalotes,C,3,pmid:17716686,Perceptual differences in trail-following leaf-cutting ants relate to body size.,pending
Atta cephalotes,C,4,pmid:4944485,"Identification of the trail pheromone of a leaf-cutting ant, Atta texana.",pending
Atta cephalotes,C,5,arxiv:2504.11551,Mixed-feedback oscillations in the foraging dynamics of arboreal turtle ants,pending
Atta cephalotes,C,6,pmid:23950048,Increasing attractiveness of baits with venom gland extract for Atta sexdens rubropilosa (Forel) (Hymenoptera: Formicidae).,pending
Atta cephalotes,C,7,pmid:4852600,"Isolation, identification, synthesis and biological activity of volatile compounds from the heads of Atta ants.",pending
Atta cephalotes,C,8,pmid:29166159,"Local Regulation of Trail Networks of the Arboreal Turtle Ant, Cephalotes goniodontus.",pending
Atta cephalotes,D,1,pmid:28313583,Leaf density and a trade-off between load-size selection and recruitment behavior in the ant Atta cephalotes.,pending
Atta cephalotes,D,2,pmcid:PMC4736916,"Leaf processing behaviour in Atta leafcutter ants: 90% of leaf cutting takes place inside the nest, and ants select pieces that require less cutting.",pending
Atta cephalotes,D,3,arxiv:1803.02743,Adapting Everyday Manipulation Skills to Varied Scenarios,pending
Atta cephalotes,D,4,pmcid:PMC10323230,Two feedback mechanisms involved in the control of leaf fragment size in leaf-cutting ants.,pending
Atta cephalotes,D,5,arxiv:2210.15751,Planning with Spatial-Temporal Abstraction from Point Clouds for Deformable Object Manipulation,pending
Atta cephalotes,D,6,arxiv:2602.20466,Grasp to Act: Dexterous Grasping for Tool Use in Dynamic Settings,pending
Atta cephalotes,D,7,pmid:18560906,Individual and collective problem-solving in a foraging context in the leaf-cutting ant Atta colombica.,pending
Atta cephalotes,D,8,pmcid:PMC6364579,Infrastructure construction without information exchange: the trail clearing mechanism in Atta leafcutter ants.,pending
