scientific_name,retrieval_rank,paper_id,title,screening_status
Aldabrachelys gigantea,24,pmid:25539772,Wild vervet monkeys copy alternative methods for opening an artificial fruit.,pending
Aldabrachelys gigantea,25,pmcid:PMC3068160,Variable cultural acquisition costs constrain cumulative cultural evolution.,pending
Aphelocoma californica,1,pmcid:PMC8666913,Complex foraging behaviours in wild birds emerge from social learning and recombination of components.,pending
Aphelocoma californica,2,pmcid:PMC8666907,The origins of human cumulative culture: from the foraging niche to collective intelligence.,pending
Aphelocoma californica,3,pmid:16709747,Food-caching western scrub-jays keep track of who was watching when.,pending
Aphelocoma californica,4,pmid:17924785,The control of food-caching behavior by Western scrub-jays (Aphelocoma californica).,pending
Aphelocoma californica,5,pmcid:PMC1810099,Cache protection strategies by western scrub-jays (Aphelocoma californica): hiding food in the shade.,pending
Aphelocoma californica,6,pmcid:PMC4004823,No evidence of temporal preferences in caching by Western scrub-jays (Aphelocoma californica).,pending
Aphelocoma californica,7,pmcid:PMC13229230,Semantic knowledge guides innovation and drives cultural evolution.,pending
Aphelocoma californica,8,arxiv:2510.12837,Semantic knowledge guides innovation and drives cultural evolution,pending
Aphelocoma californica,9,pmcid:PMC2346514,Social cognition by food-caching corvids. The western scrub-jay as a natural psychologist.,pending
Aphelocoma californica,10,arxiv:2603.16910,TerraLingua: Emergence and Analysis of Open-endedness in LLM Ecologies,pending
Aphelocoma californica,11,pmcid:PMC4344839,Experimentally induced innovations lead to persistent culture via conformity in wild birds.,pending
Aphelocoma californica,12,pmid:38994632,From buzz to brilliance: how bees shape social learning and cultural evolution.,pending
Aphelocoma californica,13,pmid:12827547,Western scrub-jays ( Aphelocoma californica) use cognitive strategies to protect their caches from thieving conspecifics.,pending
Aphelocoma californica,14,pmid:35139964,Tradition and invention: The bifocal stance theory of cultural evolution.,pending
Aphelocoma californica,15,pmid:11719804,Effects of experience and social context on prospective caching strategies by scrub jays.,pending
Aphelocoma californica,16,pmid:10877899,Social learning of a novel foraging patch in families of free-living Florida scrub-jays.,pending
Aphelocoma californica,17,pmid:34437121,Innovation and geographic spread of a complex foraging culture in an urban parrot.,pending
Aphelocoma californica,18,arxiv:1811.09588,"Social Innovation and the Evolution of Creative, Sustainable Worldviews",pending
Aphelocoma californica,19,pmcid:PMC7944107,Social network architecture and the tempo of cumulative cultural evolution,pending
Aphelocoma californica,20,pmid:12561130,Interacting Cache memories: evidence for flexible memory use by Western Scrub-Jays (Aphelocoma californica).,pending
Aphelocoma californica,21,pmcid:PMC3049099,Social learning in birds and its role in shaping a foraging niche.,pending
Aphelocoma californica,22,pmcid:PMC7944091,Human biases limit cumulative innovation.,pending
Aphelocoma californica,23,pmid:18204869,Chimpanzees (Pan troglodytes) and the question of cumulative culture: an experimental approach.,pending
Aphelocoma californica,24,pmcid:PMC3068160,Variable cultural acquisition costs constrain cumulative cultural evolution.,pending
Aphelocoma californica,25,pmcid:PMC10703848,Long-term memory of experienced jays facilitates problem-solving by naïve group members in the wild.,pending
Atta cephalotes,1,pmcid:PMC11581030,Neuropeptides specify and reprogram division of labor in the leafcutter ant Atta cephalotes,pending
Atta cephalotes,2,pmcid:PMC13118808,Neuropeptides specify and reprogram division of labor in the leafcutter ant Atta cephalotes.,pending
Atta cephalotes,3,pmid:10715181,Leaf caching in Atta leafcutting ants: discrete cache formation through positive feedback.,pending
Atta cephalotes,4,pmid:32506318,"The neuroplasticity of division of labor: worker polymorphism, compound eye structure and brain organization in the leafcutter ant Atta cephalotes",pending
Atta cephalotes,5,pmid:35112161,Behavioral performance and division of labor influence brain mosaicism in the leafcutter ant Atta cephalotes.,pending
Atta cephalotes,6,pmcid:PMC6436684,Division of labor and brain evolution in insect societies: Neurobiology of extreme specialization in the turtle ant Cephalotes varians.,pending
Atta cephalotes,7,pmid:36895095,Transcriptomic analysis of mosaic brain differentiation underlying complex division of labor in a social insect.,pending
Atta cephalotes,8,pmid:26013129,Spatially Heterogeneous Nest-Clearing Behavior Coincides with Rain Event in the Leaf-Cutting Ant Atta cephalotes (L.) (Hymenoptera: Formicidae).,pending
Atta cephalotes,9,pmid:18707380,"Traffic dynamics of the leaf-cutting ant, Atta cephalotes.",pending
Atta cephalotes,10,pmid:21656003,Genetic caste polymorphism and the evolution of polyandry in Atta leaf-cutting ants.,pending
Atta cephalotes,11,arxiv:2206.06281,Cumulative culture spontaneously emerges in artificial navigators who are social and memory-guided,pending
Atta cephalotes,12,pmid:28313983,Ontogenetic changes in forager polymorphism and foraging ecology in the leaf-cutting ant Atta cephalotes.,pending
Atta cephalotes,13,pmcid:PMC13229230,Semantic knowledge guides innovation and drives cultural evolution.,pending
Atta cephalotes,14,pmid:41124391,Foundation and architecture of leaf-cutting ant nests in the genus Atta Fabricius (Hymenoptera:Formicidae).,pending
Atta cephalotes,15,arxiv:2510.12837,Semantic knowledge guides innovation and drives cultural evolution,pending
Atta cephalotes,16,pmid:18560906,Individual and collective problem-solving in a foraging context in the leaf-cutting ant Atta colombica.,pending
Atta cephalotes,17,arxiv:2603.16910,TerraLingua: Emergence and Analysis of Open-endedness in LLM Ecologies,pending
Atta cephalotes,18,pmcid:PMC3574050,Sequential soil transport and its influence on the spatial organisation of collective digging in leaf-cutting ants.,pending
Atta cephalotes,19,pmid:11124876,Foraging behaviour of Atta cephalotes (leaf-cutting ants): an examination of two predictions for load selection.,pending
Atta cephalotes,20,pmid:38994632,From buzz to brilliance: how bees shape social learning and cultural evolution.,pending
Atta cephalotes,21,pmid:35139964,Tradition and invention: The bifocal stance theory of cultural evolution.,pending
Atta cephalotes,22,pmcid:PMC4022738,Nest enlargement in leaf-cutting ants: relocated brood and fungus trigger the excavation of new chambers.,pending
Atta cephalotes,23,pmcid:PMC8666907,The origins of human cumulative culture: from the foraging niche to collective intelligence.,pending
Atta cephalotes,24,pmid:41150878,Nest Building in Leaf-Cutting Ants: Behavioral Mechanisms and Adaptive Value.,pending
Atta cephalotes,25,arxiv:1811.09588,"Social Innovation and the Evolution of Creative, Sustainable Worldviews",pending
Canis lupus,1,pmcid:PMC8666907,The origins of human cumulative culture: from the foraging niche to collective intelligence.,pending
Canis lupus,2,pmcid:PMC7379729,Using Experimental Research Designs to Explore the Scope of Cumulative Culture in Humans and Other Animals.,pending
Canis lupus,3,pmid:24033987,Human cumulative culture: a comparative perspective.,pending
Canis lupus,4,pmcid:PMC3559591,Basis for cumulative cultural evolution in chimpanzees: social learning of a more efficient tool-use technique.,pending
Canis lupus,5,pmcid:PMC8666915,Efficiency fosters cumulative culture across species.,pending
Canis lupus,6,pmcid:PMC6912837,Back to the Future: A Glance Over Wolf Social Behavior to Understand Dog-Human Relationship.,pending
Canis lupus,7,pmcid:PMC13229230,Semantic knowledge guides innovation and drives cultural evolution.,pending
Canis lupus,8,pmid:39511345,Human culture is uniquely open-ended rather than uniquely cumulative.,pending
Canis lupus,9,pmcid:PMC2865079,Ratcheting up the ratchet: on the evolution of cumulative culture.,pending
Canis lupus,10,arxiv:2510.12837,Semantic knowledge guides innovation and drives cultural evolution,pending
Canis lupus,11,pmid:31855034,Dogs (Canis familiaris) and wolves (Canis lupus) coordinate with conspecifics in a social dilemma.,pending
Canis lupus,12,pmcid:PMC5140004,"A comparison between wolves, Canis lupus, and dogs, Canis familiaris, in showing behaviour towards humans.",pending
Canis lupus,13,arxiv:2603.16910,TerraLingua: Emergence and Analysis of Open-endedness in LLM Ecologies,pending
Canis lupus,14,pmid:20628160,Social learning in New Caledonian crows.,pending
Canis lupus,15,pmid:38994632,From buzz to brilliance: how bees shape social learning and cultural evolution.,pending
Canis lupus,16,pmcid:PMC3906065,Wolves are better imitators of conspecifics than dogs.,pending
Canis lupus,17,pmid:35139964,Tradition and invention: The bifocal stance theory of cultural evolution.,pending
Canis lupus,18,pmcid:PMC10798662,The Development of Cumulative Cultural Learning.,pending
Canis lupus,19,pmcid:PMC5676910,Importance of a species' socioecology: Wolves outperform dogs in a conspecific cooperation task.,pending
Canis lupus,20,pmcid:PMC8666913,Complex foraging behaviours in wild birds emerge from social learning and recombination of components.,pending
Canis lupus,21,arxiv:1811.09588,"Social Innovation and the Evolution of Creative, Sustainable Worldviews",pending
Canis lupus,22,pmid:12546799,One wolf wonder.,pending
Canis lupus,23,pmid:7193386,Evolution of canine information processing under conditions of natural and artificial selection.,pending
Canis lupus,24,pmcid:PMC7944107,Social network architecture and the tempo of cumulative cultural evolution,pending
Canis lupus,25,pmcid:PMC7944091,Human biases limit cumulative innovation.,pending
Castor canadensis,1,pmid:38994632,From buzz to brilliance: how bees shape social learning and cultural evolution.,pending
Castor canadensis,2,pmcid:PMC7379729,Using Experimental Research Designs to Explore the Scope of Cumulative Culture in Humans and Other Animals.,pending
Castor canadensis,3,pmcid:PMC8666907,The origins of human cumulative culture: from the foraging niche to collective intelligence.,pending
Castor canadensis,4,arxiv:2206.06281,Cumulative culture spontaneously emerges in artificial navigators who are social and memory-guided,pending
Castor canadensis,5,pmcid:PMC8666915,Efficiency fosters cumulative culture across species.,pending
Castor canadensis,6,pmcid:PMC8666913,Complex foraging behaviours in wild birds emerge from social learning and recombination of components.,pending
Castor canadensis,7,pmid:24033987,Human cumulative culture: a comparative perspective.,pending
Castor canadensis,8,pmcid:PMC3559591,Basis for cumulative cultural evolution in chimpanzees: social learning of a more efficient tool-use technique.,pending
Castor canadensis,9,pmid:18204869,Chimpanzees (Pan troglodytes) and the question of cumulative culture: an experimental approach.,pending
Castor canadensis,10,pmid:41207551,Cultural accumulation or stasis? The impact of imitation and early teaching on hominin cultural evolution.,pending
Castor canadensis,11,pmcid:PMC8126465,The cultural evolution of cultural evolution.,pending
Castor canadensis,12,pmid:24928150,From cultural traditions to cumulative culture: parameterizing the differences between human and nonhuman culture.,pending
Castor canadensis,13,pmcid:PMC2865079,Ratcheting up the ratchet: on the evolution of cumulative culture.,pending
Castor canadensis,14,pmid:39511345,Human culture is uniquely open-ended rather than uniquely cumulative.,pending
Castor canadensis,15,pmcid:PMC11621820,"Trade-offs, control conditions, and alternative designs in the experimental study of cultural evolution.",pending
Castor canadensis,16,pmcid:PMC8126463,Beyond social learning.,pending
Castor canadensis,17,pmcid:PMC9869458,Conditions that favour cumulative cultural evolution.,pending
Castor canadensis,18,pmcid:PMC13229230,Semantic knowledge guides innovation and drives cultural evolution.,pending
Castor canadensis,19,pmid:26353397,[Possible evolutionary mechanisms of 'culture' in animals: The hypothesis of distributed social learning].,pending
Castor canadensis,20,pmcid:PMC10798662,The Development of Cumulative Cultural Learning.,pending
Castor canadensis,21,pmcid:PMC8666912,Evidence for cumulative cultural evolution in bird song.,pending
Castor canadensis,22,pmid:20628160,Social learning in New Caledonian crows.,pending
Castor canadensis,23,arxiv:2510.12837,Semantic knowledge guides innovation and drives cultural evolution,pending
Castor canadensis,24,doi:10.1101/134247,Complex Dynamics From Simple Cognition: The Primary Ratchet Effect In Animal Culture,pending
Castor canadensis,25,pmcid:PMC5544271,Cumulative cultural learning: Development and diversity.,pending
Enhydra lutris,1,arxiv:2206.06281,Cumulative culture spontaneously emerges in artificial navigators who are social and memory-guided,pending
Enhydra lutris,2,pmid:35139964,Tradition and invention: The bifocal stance theory of cultural evolution.,pending
Enhydra lutris,3,pmcid:PMC13229230,Semantic knowledge guides innovation and drives cultural evolution.,pending
Enhydra lutris,4,pmcid:PMC5665812,Innovation and social transmission in experimental micro-societies: exploring the scope of cumulative culture in young children.,pending
Enhydra lutris,5,pmcid:PMC8666915,Efficiency fosters cumulative culture across species.,pending
Enhydra lutris,6,arxiv:2603.16910,TerraLingua: Emergence and Analysis of Open-endedness in LLM Ecologies,pending
Enhydra lutris,7,pmcid:PMC6571458,High-fidelity copying is not necessarily the key to cumulative cultural evolution: a study in monkeys and children.,pending
Enhydra lutris,8,pmcid:PMC8666907,The origins of human cumulative culture: from the foraging niche to collective intelligence.,pending
Enhydra lutris,9,pmcid:PMC8666902,Human cumulative culture and the exploitation of natural phenomena.,pending
Enhydra lutris,10,arxiv:2510.12837,Semantic knowledge guides innovation and drives cultural evolution,pending
Enhydra lutris,11,pmid:24033987,Human cumulative culture: a comparative perspective.,pending
Enhydra lutris,12,pmcid:PMC5075880,Foundations of cumulative culture in apes: improved foraging efficiency through relinquishing and combining witnessed behaviours in chimpanzees (Pan troglodytes).,pending
Enhydra lutris,13,pmcid:PMC11621820,"Trade-offs, control conditions, and alternative designs in the experimental study of cultural evolution.",pending
Enhydra lutris,14,pmcid:PMC5579113,Social learning in otters.,pending
Enhydra lutris,15,doi:10.1101/134247,Complex Dynamics From Simple Cognition: The Primary Ratchet Effect In Animal Culture,pending
Enhydra lutris,16,pmcid:PMC4660383,Cognitive requirements of cumulative culture: teaching is useful but not essential.,pending
Enhydra lutris,17,pmcid:PMC1691310,Diversification and cumulative evolution in New Caledonian crow tool manufacture.,pending
Enhydra lutris,18,pmid:20825551,Cumulative cultural dynamics and the coevolution of cultural innovation and transmission: an ESS model for panmictic and structured populations.,pending
Enhydra lutris,19,doi:10.64898/2026.04.15.718734,Cumulative Cultural Evolution in Structured Populations,pending
Enhydra lutris,20,pmcid:PMC5998114,Cumulative culture in the laboratory: methodological and theoretical challenges.,pending
Enhydra lutris,21,arxiv:2410.00780,Mutual benefits of social learning and algorithmic mediation for cumulative culture,pending
Enhydra lutris,22,pmcid:PMC7739508,The value of teaching increases with tool complexity in cumulative cultural evolution.,pending
Enhydra lutris,23,pmcid:PMC11978438,Mutual benefits of social learning and algorithmic mediation for cumulative culture.,pending
Enhydra lutris,24,pmid:26353397,[Possible evolutionary mechanisms of 'culture' in animals: The hypothesis of distributed social learning].,pending
Enhydra lutris,25,pmid:34251078,Personality predicts innovation and social learning in children: Implications for cultural evolution.,pending
Heterocephalus glaber,1,arxiv:2206.06281,Cumulative culture spontaneously emerges in artificial navigators who are social and memory-guided,pending
Heterocephalus glaber,2,pmid:35139964,Tradition and invention: The bifocal stance theory of cultural evolution.,pending
Heterocephalus glaber,3,pmcid:PMC8666907,The origins of human cumulative culture: from the foraging niche to collective intelligence.,pending
Heterocephalus glaber,4,pmcid:PMC8666913,Complex foraging behaviours in wild birds emerge from social learning and recombination of components.,pending
Heterocephalus glaber,5,pmcid:PMC3559591,Basis for cumulative cultural evolution in chimpanzees: social learning of a more efficient tool-use technique.,pending
Heterocephalus glaber,6,pmcid:PMC13229230,Semantic knowledge guides innovation and drives cultural evolution.,pending
Heterocephalus glaber,7,arxiv:2510.12837,Semantic knowledge guides innovation and drives cultural evolution,pending
Heterocephalus glaber,8,pmcid:PMC5665812,Innovation and social transmission in experimental micro-societies: exploring the scope of cumulative culture in young children.,pending
Heterocephalus glaber,9,arxiv:2603.16910,TerraLingua: Emergence and Analysis of Open-endedness in LLM Ecologies,pending
Heterocephalus glaber,10,pmcid:PMC2865079,Ratcheting up the ratchet: on the evolution of cumulative culture.,pending
Heterocephalus glaber,11,pmcid:PMC6571458,High-fidelity copying is not necessarily the key to cumulative cultural evolution: a study in monkeys and children.,pending
Heterocephalus glaber,12,pmcid:PMC8666902,Human cumulative culture and the exploitation of natural phenomena.,pending
Heterocephalus glaber,13,pmcid:PMC11969390,"Cultural evolution, social ratcheting and the evolution of human division of labour.",pending
Heterocephalus glaber,14,pmcid:PMC7739508,The value of teaching increases with tool complexity in cumulative cultural evolution.,pending
Heterocephalus glaber,15,pmcid:PMC8126465,The cultural evolution of cultural evolution.,pending
Heterocephalus glaber,16,pmid:20628160,Social learning in New Caledonian crows.,pending
Heterocephalus glaber,17,pmcid:PMC11621820,"Trade-offs, control conditions, and alternative designs in the experimental study of cultural evolution.",pending
Heterocephalus glaber,18,pmid:20825551,Cumulative cultural dynamics and the coevolution of cultural innovation and transmission: an ESS model for panmictic and structured populations.,pending
Heterocephalus glaber,19,pmcid:PMC9276793,Cumulative cultural evolution and mechanisms for cultural selection in wild bird songs.,pending
Heterocephalus glaber,20,pmcid:PMC9869448,The transition from animal to human culture-simulating the social protocell hypothesis.,pending
Heterocephalus glaber,21,doi:10.64898/2026.04.15.718734,Cumulative Cultural Evolution in Structured Populations,pending
Heterocephalus glaber,22,pmcid:PMC3843838,Sociality influences cultural complexity.,pending
Heterocephalus glaber,23,pmid:34251078,Personality predicts innovation and social learning in children: Implications for cultural evolution.,pending
Heterocephalus glaber,24,pmid:41207551,Cultural accumulation or stasis? The impact of imitation and early teaching on hominin cultural evolution.,pending
Heterocephalus glaber,25,pmcid:PMC5998114,Cumulative culture in the laboratory: methodological and theoretical challenges.,pending
Labroides dimidiatus,1,pmid:27730638,"Interactions between Plagiotremus spp., Labroides dimidiatus and their clients: evidence for behavioural niche partitioning.",pending
Labroides dimidiatus,2,pmid:35855672,Cleaner fish are potential super-spreaders.,pending
Labroides dimidiatus,3,pmid:22747814,Relationship between roving behaviour and the diet and client composition of the cleaner fish Labroides bicolor.,pending
Labroides dimidiatus,4,pmcid:PMC6892052,Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus.,pending
Labroides dimidiatus,5,doi:10.64898/2026.05.16.725469,"Social control, not service quality, explains fast growth in the cleaner wrasse Labroides dimidiatus.",pending
Labroides dimidiatus,6,pmcid:PMC13229230,Semantic knowledge guides innovation and drives cultural evolution.,pending
Labroides dimidiatus,7,pmcid:PMC11479757,Neural Mechanisms of Mutualistic Fish Cleaning Behaviour: a Study in the Wild,pending
Labroides dimidiatus,8,pmcid:PMC1088769,Cleaner fish Labroides dimidiatus manipulate client reef fish by providing tactile stimulation.,pending
Labroides dimidiatus,9,arxiv:2510.12837,Semantic knowledge guides innovation and drives cultural evolution,pending
Labroides dimidiatus,10,pmcid:PMC12303091,Competitive cleaning: behavioural variation supports coexistence of two juvenile sympatric cleanerfishes.,pending
Labroides dimidiatus,11,arxiv:2603.16910,TerraLingua: Emergence and Analysis of Open-endedness in LLM Ecologies,pending
Labroides dimidiatus,12,pmcid:PMC10463495,"Gene losses, parallel evolution and heightened expression confer adaptations to dedicated cleaning behaviour.",pending
Labroides dimidiatus,13,pmid:38994632,From buzz to brilliance: how bees shape social learning and cultural evolution.,pending
Labroides dimidiatus,14,pmid:35139964,Tradition and invention: The bifocal stance theory of cultural evolution.,pending
Labroides dimidiatus,15,pmid:12357286,Cleaner fish Labroides dimidiatus recognise familiar clients.,pending
Labroides dimidiatus,16,pmcid:PMC3123342,Long-term effects of the cleaner fish Labroides dimidiatus on coral reef fish communities.,pending
Labroides dimidiatus,17,pmcid:PMC8666907,The origins of human cumulative culture: from the foraging niche to collective intelligence.,pending
Labroides dimidiatus,18,arxiv:1811.09588,"Social Innovation and the Evolution of Creative, Sustainable Worldviews",pending
Labroides dimidiatus,19,pmcid:PMC7944107,Social network architecture and the tempo of cumulative cultural evolution,pending
Labroides dimidiatus,20,pmid:26458760,Cleaners among wrasses: Phylogenetics and evolutionary patterns of cleaning behavior within Labridae.,pending
Labroides dimidiatus,21,pmcid:PMC7944091,Human biases limit cumulative innovation.,pending
Labroides dimidiatus,22,pmcid:PMC9119974,Neuro-molecular characterization of fish cleaning interactions,pending
Labroides dimidiatus,23,pmcid:PMC3068160,Variable cultural acquisition costs constrain cumulative cultural evolution.,pending
Labroides dimidiatus,24,pmid:21700458,Cleaner wrasses Labroides dimidiatus are more cooperative in the presence of an audience.,pending
Labroides dimidiatus,25,pmcid:PMC3559591,Basis for cumulative cultural evolution in chimpanzees: social learning of a more efficient tool-use technique.,pending
Lycaon pictus,1,pmcid:PMC8666907,The origins of human cumulative culture: from the foraging niche to collective intelligence.,pending
Lycaon pictus,2,pmcid:PMC3559591,Basis for cumulative cultural evolution in chimpanzees: social learning of a more efficient tool-use technique.,pending
Lycaon pictus,3,pmcid:PMC8666913,Complex foraging behaviours in wild birds emerge from social learning and recombination of components.,pending
Lycaon pictus,4,pmcid:PMC13229230,Semantic knowledge guides innovation and drives cultural evolution.,pending
Lycaon pictus,5,pmid:29870703,Animal Behavior: Social Learning by a Whisker.,pending
Lycaon pictus,6,pmid:17714659,Hyena societies.,pending
Lycaon pictus,7,arxiv:2510.12837,Semantic knowledge guides innovation and drives cultural evolution,pending
Lycaon pictus,8,pmid:27618264,Knowledge-Sharing Networks in Hunter-Gatherers and the Evolution of Cumulative Culture.,pending
Lycaon pictus,9,pmcid:PMC1564214,Faithful replication of foraging techniques along cultural transmission chains by chimpanzees and children.,pending
Lycaon pictus,10,arxiv:2603.16910,TerraLingua: Emergence and Analysis of Open-endedness in LLM Ecologies,pending
Lycaon pictus,11,pmcid:PMC2865079,Ratcheting up the ratchet: on the evolution of cumulative culture.,pending
Lycaon pictus,12,pmcid:PMC4820541,Additive opportunistic capture explains group hunting benefits in African wild dogs.,pending
Lycaon pictus,13,pmid:38994632,From buzz to brilliance: how bees shape social learning and cultural evolution.,pending
Lycaon pictus,14,pmcid:PMC6668464,Development of social learning and play in BaYaka hunter-gatherers of Congo.,pending
Lycaon pictus,15,pmid:5893865,[Field studies on the sociology of the hyena-hunting dog (Lycaon pictus lupinus Thomas 1902)].,pending
Lycaon pictus,16,pmid:35139964,Tradition and invention: The bifocal stance theory of cultural evolution.,pending
Lycaon pictus,17,pmid:31506937,Within- and between-group dynamics in an obligate cooperative breeder.,pending
Lycaon pictus,18,arxiv:1811.09588,"Social Innovation and the Evolution of Creative, Sustainable Worldviews",pending
Lycaon pictus,19,pmid:29804813,Decoupling of Genetic and Cultural Inheritance in a Wild Mammal.,pending
Lycaon pictus,20,pmcid:PMC7944107,Social network architecture and the tempo of cumulative cultural evolution,pending
Lycaon pictus,21,pmid:18729728,Achilles' heel of sociality revealed by energetic poverty trap in cursorial hunters.,pending
Lycaon pictus,22,pmid:41207551,Cultural accumulation or stasis? The impact of imitation and early teaching on hominin cultural evolution.,pending
Lycaon pictus,23,pmcid:PMC7944091,Human biases limit cumulative innovation.,pending
Lycaon pictus,24,pmid:20605459,Imitation and traditions in wild banded mongooses.,pending
Lycaon pictus,25,pmcid:PMC11621818,Cultural transmission among hunter-gatherers.,pending
Portia fimbriata,1,pmid:11044386,"Cues by which Portia fimbriata, an araneophagic jumping spider, distinguishes jumping-spider prey from other prey.",pending
Portia fimbriata,2,pmid:12077162,"Influence of cues from the anterior medial eyes of virtual prey on Portia fimbriata, an araneophagic jumping spider.",pending
Portia fimbriata,3,pmcid:PMC13229230,Semantic knowledge guides innovation and drives cultural evolution.,pending
Portia fimbriata,4,pmid:12357287,Opportunistic use of cognitive smokescreens by araneophagic jumping spiders.,pending
Portia fimbriata,5,pmid:19551641,"Bionomics and sociological aspects of Euglossa fimbriata (Apidae, Euglossini).",pending
Portia fimbriata,6,arxiv:2510.12837,Semantic knowledge guides innovation and drives cultural evolution,pending
Portia fimbriata,7,arxiv:2603.16910,TerraLingua: Emergence and Analysis of Open-endedness in LLM Ecologies,pending
Portia fimbriata,8,pmcid:PMC4084461,Animal personality aligns task specialization and task proficiency in a spider society.,pending
Portia fimbriata,9,pmid:38994632,From buzz to brilliance: how bees shape social learning and cultural evolution.,pending
Portia fimbriata,10,pmid:35139964,Tradition and invention: The bifocal stance theory of cultural evolution.,pending
Portia fimbriata,11,pmcid:PMC8666907,The origins of human cumulative culture: from the foraging niche to collective intelligence.,pending
Portia fimbriata,12,pmid:23163349,"Task specialization in two social spiders, Stegodyphus sarasinorum (Eresidae) and Anelosimus eximius (Theridiidae).",pending
Portia fimbriata,13,pmid:12384056,Organization of work via a natural substance: regulation of nest construction in social wasps.,pending
Portia fimbriata,14,arxiv:1811.09588,"Social Innovation and the Evolution of Creative, Sustainable Worldviews",pending
Portia fimbriata,15,pmid:22286279,Attending to detail by communal spider-eating spiders.,pending
Portia fimbriata,16,pmcid:PMC7944107,Social network architecture and the tempo of cumulative cultural evolution,pending
Portia fimbriata,17,pmid:815017,"[L'""apprentissage social"" chez le termite de santonge].",pending
Portia fimbriata,18,pmcid:PMC7944091,Human biases limit cumulative innovation.,pending
Portia fimbriata,19,doi:10.1101/652677,"DIVISION OF LABOR INCREASES WITH COLONY SIZE, REGARDLESS OF GROUP COMPOSITION, IN THE SOCIAL SPIDER STEGODYPHUS DUMICOLA",pending
Portia fimbriata,20,pmid:10877905,Age-related sequential web building in the colonial spider Metepeira incrassata (Araneidae): an adaptive spacing strategy.,pending
Portia fimbriata,21,pmcid:PMC3068160,Variable cultural acquisition costs constrain cumulative cultural evolution.,pending
Portia fimbriata,22,pmid:12506728,[The attraction of silk: base of group cohesion and collective behavior in social spiders].,pending
Portia fimbriata,23,pmid:41537886,From information free-riding to information sharing: how have humans solved the cooperative dilemma at the heart of cumulative cultural evolution?,pending
Portia fimbriata,24,arxiv:2406.00392,Artificial Generational Intelligence: Cultural Accumulation in Reinforcement Learning,pending
Portia fimbriata,25,pmid:22526693,The role of numerical competence in a specialized predatory strategy of an araneophagic spider.,pending
Ptilonorhynchus violaceus,1,pmcid:PMC8666912,Evidence for cumulative cultural evolution in bird song.,pending
Ptilonorhynchus violaceus,2,arxiv:2206.06281,Cumulative culture spontaneously emerges in artificial navigators who are social and memory-guided,pending
Ptilonorhynchus violaceus,3,pmid:38994632,From buzz to brilliance: how bees shape social learning and cultural evolution.,pending
