scientific_name,module_id,evidence_state,source_ids,evidence_traits,first_pass_status,tested_negative_status,notes
Lycaon pictus,F,positive,pmcid:PMC5597819,collective_decision_quorum,evidence_located,not_searched,
Portia fimbriata,A,positive_proxy,pmid:12357287,flexible_opportunistic_predatory_strategy,evidence_located,not_searched,
Portia fimbriata,B,pending_first_pass,,,pending,not_searched,
Portia fimbriata,C,pending_first_pass,,,pending,not_searched,
Portia fimbriata,D,pending_first_pass,,,pending,not_searched,
Portia fimbriata,E,pending_first_pass,,,pending,not_searched,
Portia fimbriata,F,pending_first_pass,,,pending,not_searched,
Ptilonorhynchus violaceus,A,positive_proxy,pmid:17216428,compensatory_display_adjustment,evidence_located,not_searched,
Ptilonorhynchus violaceus,B,pending_first_pass,,,pending,not_searched,
Ptilonorhynchus violaceus,C,pending_first_pass,,,pending,not_searched,
Ptilonorhynchus violaceus,D,pending_first_pass,,,pending,not_searched,
Ptilonorhynchus violaceus,E,positive,pmid:17216428,bower_construction_and_decoration,evidence_located,not_searched,
Ptilonorhynchus violaceus,F,pending_first_pass,,,pending,not_searched,
Rattus norvegicus,A,pending_first_pass,,,pending,not_searched,
Rattus norvegicus,B,positive,pmid:24896467,social_transmission_foraging_information,evidence_located,not_searched,
Rattus norvegicus,C,pending_first_pass,,,pending,not_searched,
Rattus norvegicus,D,pending_first_pass,,,pending,not_searched,
Rattus norvegicus,E,pending_first_pass,,,pending,not_searched,
Rattus norvegicus,F,pending_first_pass,,,pending,not_searched,
Saccopteryx bilineata,A,pending_first_pass,,,pending,not_searched,
Saccopteryx bilineata,B,positive,pmcid:PMC2865031,socially_tutored_vocal_learning,evidence_located,not_searched,
Saccopteryx bilineata,C,positive,pmcid:PMC2865031,vocal_imitation,evidence_located,not_searched,
Saccopteryx bilineata,D,pending_first_pass,,,pending,not_searched,
Saccopteryx bilineata,E,pending_first_pass,,,pending,not_searched,
Saccopteryx bilineata,F,pending_first_pass,,,pending,not_searched,
Taeniopygia guttata,A,pending_first_pass,,,pending,not_searched,
Taeniopygia guttata,B,positive,pmcid:PMC6219627,cultural_transmission_song,evidence_located,not_searched,
Taeniopygia guttata,C,positive,pmcid:PMC6219627,vocal_production_learning,evidence_located,not_searched,
Taeniopygia guttata,D,pending_first_pass,,,pending,not_searched,
Taeniopygia guttata,E,pending_first_pass,,,pending,not_searched,
Taeniopygia guttata,F,pending_first_pass,,,pending,not_searched,
