scientific_name,retrieval_rank,paper_id,title,screening_status,exact_species_scope,notes
Atta cephalotes,1,pmcid:PMC11581030,Neuropeptides specify and reprogram division of labor in the leafcutter ant Atta cephalotes,pending,unknown,
Atta cephalotes,2,pmcid:PMC13118808,Neuropeptides specify and reprogram division of labor in the leafcutter ant Atta cephalotes.,pending,unknown,
Atta cephalotes,3,pmid:16817214,Mating biology of the leaf-cutting ants Atta colombica and A. cephalotes.,pending,unknown,
Atta cephalotes,4,pmid:35973225,"Karyotype conservation and genomic organization of repetitive sequences in the leaf-cutting ant Atta cephalotes (Linnaeus, 1758) (Formicidae: Myrmicinae).",pending,unknown,
Atta cephalotes,5,pmid:26013129,Spatially Heterogeneous Nest-Clearing Behavior Coincides with Rain Event in the Leaf-Cutting Ant Atta cephalotes (L.) (Hymenoptera: Formicidae).,pending,unknown,
Atta cephalotes,6,pmid:35112161,Behavioral performance and division of labor influence brain mosaicism in the leafcutter ant Atta cephalotes.,pending,unknown,
Atta cephalotes,7,pmid:18707380,"Traffic dynamics of the leaf-cutting ant, Atta cephalotes.",pending,unknown,
Atta cephalotes,8,pmcid:PMC4553616,The Evolutionary Innovation of Nutritional Symbioses in Leaf-Cutter Ants.,pending,unknown,
Atta cephalotes,9,pmid:18560906,Individual and collective problem-solving in a foraging context in the leaf-cutting ant Atta colombica.,pending,unknown,
Atta cephalotes,10,pmid:32309965,Shared worlds and shared minds: A theory of collective learning and a psychology of common knowledge.,pending,unknown,
Atta cephalotes,11,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending,unknown,
Atta cephalotes,12,pmid:17757227,Fungus-growing ants.,pending,unknown,
Atta cephalotes,13,pmcid:PMC8666914,Collective minds: social network topology shapes collective cognition.,pending,unknown,
Atta cephalotes,14,pmcid:PMC4022738,Nest enlargement in leaf-cutting ants: relocated brood and fungus trigger the excavation of new chambers.,pending,unknown,
Atta cephalotes,15,pmid:22697301,Tool innovation may be a critical limiting step for the establishment of a rich tool-using culture: a perspective from child development.,pending,unknown,
Atta cephalotes,16,pmid:28313583,Leaf density and a trade-off between load-size selection and recruitment behavior in the ant Atta cephalotes.,pending,unknown,
Atta cephalotes,17,pmid:42114360,"Insightful problem solving and social learning in children's tool making: Exploring the role of napping, night sleep, age, and gender.",pending,unknown,
Atta cephalotes,18,pmid:36121257,Collection and Long-Term Maintenance of Leaf-Cutting Ants (Atta) in Laboratory Conditions.,pending,unknown,
Atta cephalotes,19,pmid:28313983,Ontogenetic changes in forager polymorphism and foraging ecology in the leaf-cutting ant Atta cephalotes.,pending,unknown,
Atta cephalotes,20,pmid:11124876,Foraging behaviour of Atta cephalotes (leaf-cutting ants): an examination of two predictions for load selection.,pending,unknown,
Atta cephalotes,21,pmid:42169389,Creative problem solving in a jumping spider.,pending,unknown,
Atta cephalotes,22,pmcid:PMC6364579,Infrastructure construction without information exchange: the trail clearing mechanism in Atta leafcutter ants.,pending,unknown,
Atta cephalotes,23,pmcid:PMC3574050,Sequential soil transport and its influence on the spatial organisation of collective digging in leaf-cutting ants.,pending,unknown,
Atta cephalotes,24,pmid:4833350,"Methyl 4-methylpyrrole-2-carboxylate: a volatile trail pheromone from the leaf-cutting ant, tatta cephalotes.",pending,unknown,
Atta cephalotes,25,pmid:41150878,Nest Building in Leaf-Cutting Ants: Behavioral Mechanisms and Adaptive Value.,pending,unknown,
Canis lupus,1,pmcid:PMC3849518,Social learning from humans or conspecifics: differences and similarities between wolves and dogs.,pending,unknown,
Canis lupus,2,pmcid:PMC3906065,Wolves are better imitators of conspecifics than dogs.,pending,unknown,
Canis lupus,3,pmid:31855034,Dogs (Canis familiaris) and wolves (Canis lupus) coordinate with conspecifics in a social dilemma.,pending,unknown,
Canis lupus,4,pmcid:PMC6912837,Back to the Future: A Glance Over Wolf Social Behavior to Understand Dog-Human Relationship.,pending,unknown,
Canis lupus,5,pmid:7193386,Evolution of canine information processing under conditions of natural and artificial selection.,pending,unknown,
Canis lupus,6,pmcid:PMC12622305,Potential Tool Use by Wolves (Canis lupus): Crab Trap Pulling in Haíɫzaqv Nation Territory.,pending,unknown,
Canis lupus,7,pmid:19376207,Testing the social dog hypothesis: are dogs also more skilled than chimpanzees in non-communicative social tasks?,pending,unknown,
Canis lupus,8,pmid:18183437,Comprehension of human pointing gestures in young human-reared wolves (Canis lupus) and dogs (Canis familiaris).,pending,unknown,
Canis lupus,9,pmcid:PMC5140004,"A comparison between wolves, Canis lupus, and dogs, Canis familiaris, in showing behaviour towards humans.",pending,unknown,
Canis lupus,10,pmcid:PMC6619663,Persistence and conspecific observations improve problem-solving abilities of coyotes.,pending,unknown,
Canis lupus,11,pmid:28492975,Practice makes perfect: familiarity of task determines success in solvable tasks for free-ranging dogs (Canis lupus familiaris).,pending,unknown,
Canis lupus,12,pmcid:PMC3044139,Development of gaze following abilities in wolves (Canis lupus).,pending,unknown,
Canis lupus,13,pmid:12446914,The domestication of social cognition in dogs.,pending,unknown,
Canis lupus,14,pmcid:PMC2719091,Explaining dog wolf differences in utilizing human pointing gestures: selection for synergistic shifts in the development of some social skills.,pending,unknown,
Canis lupus,15,pmcid:PMC6879616,Wolves and dogs recruit human partners in the cooperative string-pulling task.,pending,unknown,
Canis lupus,16,pmid:21424916,"Wolves, dogs, rearing and reinforcement: complex interactions underlying species differences in training and problem-solving performance.",pending,unknown,
Canis lupus,17,pmcid:PMC10499247,Observational spatial memory in wolves and dogs.,pending,unknown,
Canis lupus,18,pmid:23090682,Domestic dogs (Canis familiaris) coordinate their actions in a problem-solving task.,pending,unknown,
Canis lupus,19,pmid:26305267,"Social learning and traditions in animals: evidence, definitions, and relationship to human culture.",pending,unknown,
Canis lupus,20,pmcid:PMC4614426,When dogs look back: inhibition of independent problem-solving behaviour in domestic dogs (Canis lupus familiaris) compared with wolves (Canis lupus).,pending,unknown,
Canis lupus,21,pmcid:PMC5303232,The evolution of social learning mechanisms and cultural phenomena in group foragers.,pending,unknown,
Canis lupus,22,pmid:12725735,"A simple reason for a big difference: wolves do not look back at humans, but dogs do.",pending,unknown,
Canis lupus,23,pmcid:PMC7336849,Examining the mechanisms underlying the acquisition of animal tool behaviour.,pending,unknown,
Canis lupus,24,pmcid:PMC9800387,"Breed differences in social cognition, inhibitory control, and spatial problem-solving ability in the domestic dog (Canis familiaris).",pending,unknown,
Canis lupus,25,pmcid:PMC5310607,The magnitude of innovation and its evolution in social animals.,pending,unknown,
Castor canadensis,1,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending,unknown,
Castor canadensis,2,pmid:27311315,"Lions (Panthera leo) solve, learn, and remember a novel resource acquisition problem.",pending,unknown,
Castor canadensis,3,pmcid:PMC2982037,Complex cognition and behavioural innovation in New Caledonian crows.,pending,unknown,
Castor canadensis,4,pmid:25245306,Innovation and problem solving: a review of common mechanisms.,pending,unknown,
Castor canadensis,5,pmid:20619805,Animal traditions: experimental evidence of learning by imitation in an unlikely animal.,pending,unknown,
Castor canadensis,6,pmid:32309965,Shared worlds and shared minds: A theory of collective learning and a psychology of common knowledge.,pending,unknown,
Castor canadensis,7,pmid:15125208,[Social learning in animals: comparative analysis of different forms and levels].,pending,unknown,
Castor canadensis,8,pmcid:PMC8666914,Collective minds: social network topology shapes collective cognition.,pending,unknown,
Castor canadensis,9,pmid:16794055,Animal cognition. Social animals prove their smarts.,pending,unknown,
Castor canadensis,10,pmid:22697301,Tool innovation may be a critical limiting step for the establishment of a rich tool-using culture: a perspective from child development.,pending,unknown,
Castor canadensis,11,pmid:15186759,Animal cognition.,pending,unknown,
Castor canadensis,12,pmid:42114360,"Insightful problem solving and social learning in children's tool making: Exploring the role of napping, night sleep, age, and gender.",pending,unknown,
Castor canadensis,13,pmcid:PMC8666913,Complex foraging behaviours in wild birds emerge from social learning and recombination of components.,pending,unknown,
Castor canadensis,14,pmid:42169389,Creative problem solving in a jumping spider.,pending,unknown,
Castor canadensis,15,pmid:20628160,Social learning in New Caledonian crows.,pending,unknown,
Castor canadensis,16,pmid:990911,"Some morphological, physiological and behavioral specializations in North American beavers (Castor canadensis).",pending,unknown,
Castor canadensis,17,pmcid:PMC5605539,Gender differences measured by the MATRICS consensus cognitive battery in chronic schizophrenia patients.,pending,unknown,
Castor canadensis,18,pmid:26359083,Elephant resource-use traditions.,pending,unknown,
Castor canadensis,19,pmid:18282325,Emotion perception and learning potential: mediators between neurocognition and social problem-solving in schizophrenia?,pending,unknown,
Castor canadensis,20,pmcid:PMC4810823,Young children spontaneously invent wild great apes' tool-use behaviours.,pending,unknown,
Castor canadensis,21,pmcid:PMC3559591,Basis for cumulative cultural evolution in chimpanzees: social learning of a more efficient tool-use technique.,pending,unknown,
Castor canadensis,22,pmid:20526955,Mentalising and social problem-solving after brain injury.,pending,unknown,
Castor canadensis,23,pmcid:PMC13406939,Biomimicry at the Landscape Scale: Agent-Based Model Simulating Beaver-Inspired Construction.,pending,unknown,
Castor canadensis,24,pmcid:PMC12440625,Better together than alone: sociality mitigates the negative impact of early family disruption on adult problem-solving performance in zebra finches.,pending,unknown,
Castor canadensis,25,pmid:16521567,[The study of tool use as the way for general estimation of cognitive abilities in animals].,pending,unknown,
Enhydra lutris,1,pmcid:PMC5579113,Social learning in otters.,pending,unknown,
Enhydra lutris,2,pmcid:PMC4027413,Tool use by aquatic animals.,pending,unknown,
Enhydra lutris,3,pmcid:PMC5640742,Cooperative problem solving in giant otters (Pteronura brasiliensis) and Asian small-clawed otters (Aonyx cinerea).,pending,unknown,
Enhydra lutris,4,pmid:12799157,A model for tool-use traditions in primates: implications for the coevolution of culture and cognition.,pending,unknown,
Enhydra lutris,5,pmcid:PMC3973264,Cultural transmission of tool use combined with habitat specializations leads to fine-scale genetic structure in bottlenose dolphins.,pending,unknown,
Enhydra lutris,6,pmcid:PMC3049094,From fish to fashion: experimental and theoretical insights into the evolution of culture.,pending,unknown,
Enhydra lutris,7,pmcid:PMC5765995,Acquisition of a socially learned tool use sequence in chimpanzees: Implications for cumulative culture.,pending,unknown,
Enhydra lutris,8,pmid:15125208,[Social learning in animals: comparative analysis of different forms and levels].,pending,unknown,
Enhydra lutris,9,pmid:38753790,Tool use increases mechanical foraging success and tooth health in southern sea otters (Enhydra lutris nereis).,pending,unknown,
Enhydra lutris,10,pmcid:PMC2346520,The evolution of animal 'cultures' and social intelligence.,pending,unknown,
Enhydra lutris,11,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending,unknown,
Enhydra lutris,12,pmcid:PMC4027412,If at first you don't succeed... Studies of ontogeny shed light on the cognitive demands of habitual tool use.,pending,unknown,
Enhydra lutris,13,pmcid:PMC5303232,The evolution of social learning mechanisms and cultural phenomena in group foragers.,pending,unknown,
Enhydra lutris,14,pmcid:PMC4181963,Social network analysis shows direct evidence for social transmission of tool use in wild chimpanzees.,pending,unknown,
Enhydra lutris,15,pmcid:PMC5310607,The magnitude of innovation and its evolution in social animals.,pending,unknown,
Enhydra lutris,16,pmid:21382262,"Innovation, imitation, and problem-solving in a networked group.",pending,unknown,
Enhydra lutris,17,pmcid:PMC123666,"Social intelligence, innovation, and enhanced brain size in primates.",pending,unknown,
Enhydra lutris,18,pmid:12898285,Cultural innovation and transmission of tool use in wild chimpanzees: evidence from field experiments.,pending,unknown,
Enhydra lutris,19,pmid:32589911,"Integrating Genetic, Environmental, and Social Networks to Reveal Transmission Pathways of a Dolphin Foraging Innovation.",pending,unknown,
Enhydra lutris,20,arxiv:2506.18920,Signal Use and Emergent Cooperation,pending,unknown,
Enhydra lutris,21,pmcid:PMC1157020,Cultural transmission of tool use in bottlenose dolphins.,pending,unknown,
Enhydra lutris,22,pmid:38710982,Experiments with a set of cooperative enrichment devices used by groups of Indo-Pacific bottlenose dolphins.,pending,unknown,
Enhydra lutris,23,pmcid:PMC4810823,Young children spontaneously invent wild great apes' tool-use behaviours.,pending,unknown,
Enhydra lutris,24,pmcid:PMC8666913,Complex foraging behaviours in wild birds emerge from social learning and recombination of components.,pending,unknown,
Enhydra lutris,25,pmid:20628159,Opportunities and constraints when studying social learning: Developmental approaches and social factors.,pending,unknown,
Heterocephalus glaber,1,pmid:33510025,Cultural transmission of vocal dialect in the naked mole-rat.,pending,unknown,
Heterocephalus glaber,2,pmid:42628467,Sensory systems underlying sociality in the naked mole-rat.,pending,unknown,
Heterocephalus glaber,3,pmid:22080355,Bilateral lesions of the medial frontal cortex disrupt recognition of social hierarchy during antiphonal communication in naked mole-rats (Heterocephalus glaber).,pending,unknown,
Heterocephalus glaber,4,pmid:34424514,"Adult Neural Plasticity in Naked Mole-Rats: Implications of Fossoriality, Longevity and Sociality on the Brain's Capacity for Change.",pending,unknown,
Heterocephalus glaber,5,doi:10.1101/2021.03.22.436002,Naked mole-rats (Heterocephalus glaber) do not specialise on cooperative tasks,pending,unknown,
Heterocephalus glaber,6,pmid:34424512,Social Behavior in Naked Mole-Rats: Individual Differences in Phenotype and Proximate Mechanisms of Mammalian Eusociality.,pending,unknown,
Heterocephalus glaber,7,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending,unknown,
Heterocephalus glaber,8,pmid:34424516,Hearing and Vocalizations in the Naked Mole-Rat.,pending,unknown,
Heterocephalus glaber,9,pmcid:PMC3434143,A distinct role of the queen in coordinated workload and soil distribution in eusocial naked mole-rats.,pending,unknown,
Heterocephalus glaber,10,pmcid:PMC7531346,The relationship between individual phenotype and the division of labour in naked mole-rats: it's complicated.,pending,unknown,
Heterocephalus glaber,11,pmid:35301704,The Curious Case of the Naked Mole-Rat: How Extreme Social and Reproductive Adaptations Might Influence Sex Differences in the Brain.,pending,unknown,
Heterocephalus glaber,12,pmcid:PMC3638450,Plasticity and constraints on social evolution in African mole-rats: ultimate and proximate factors.,pending,unknown,
Heterocephalus glaber,13,pmcid:PMC5027444,Differences in cooperative behavior among Damaraland mole rats are consequences of an age-related polyethism.,pending,unknown,
Heterocephalus glaber,14,pmcid:PMC3049098,The evolution of primate general and cultural intelligence.,pending,unknown,
Heterocephalus glaber,15,pmid:26718226,Subcaste differences in neural activation suggest a prosocial role for oxytocin in eusocial naked mole-rats.,pending,unknown,
Heterocephalus glaber,16,pmcid:PMC123666,"Social intelligence, innovation, and enhanced brain size in primates.",pending,unknown,
Heterocephalus glaber,17,arxiv:2510.18515,Socialized Learning and Emergent Behaviors in Multi-Agent Systems based on Multimodal Large Language Models,pending,unknown,
Heterocephalus glaber,18,pmcid:PMC4810823,Young children spontaneously invent wild great apes' tool-use behaviours.,pending,unknown,
Heterocephalus glaber,19,pmid:20888895,"Endocrine function and neurobiology of the longest-living rodent, the naked mole-rat.",pending,unknown,
Heterocephalus glaber,20,arxiv:2506.18920,Signal Use and Emergent Cooperation,pending,unknown,
Heterocephalus glaber,21,pmcid:PMC8965407,Stress in an underground empire.,pending,unknown,
Heterocephalus glaber,22,pmid:32309965,Shared worlds and shared minds: A theory of collective learning and a psychology of common knowledge.,pending,unknown,
Heterocephalus glaber,23,pmcid:PMC11621824,Social tolerance and success-biased social learning underlie the cultural transmission of an induced extractive foraging tradition in a wild tool-using primate.,pending,unknown,
Heterocephalus glaber,24,pmcid:PMC4190960,Video demonstrations seed alternative problem-solving techniques in wild common marmosets.,pending,unknown,
Heterocephalus glaber,25,pmid:24530845,Peripheral administration of oxytocin increases social affiliation in the naked mole-rat (Heterocephalus glaber).,pending,unknown,
Labroides dimidiatus,1,pmcid:PMC8765642,A role for ecologically-tuned chunking in the evolution of advanced cognition demonstrated by modelling the cleaner fish market problem,pending,unknown,
Labroides dimidiatus,2,pmid:27016339,Generalized rule application in bluestreak cleaner wrasse (Labroides dimidiatus): using predator species as social tools to reduce punishment.,pending,unknown,
Labroides dimidiatus,3,pmcid:PMC7054547,Juvenile cleaner fish can socially learn the consequences of cheating.,pending,unknown,
Labroides dimidiatus,4,pmcid:PMC9119974,Neuro-molecular characterization of fish cleaning interactions,pending,unknown,
Labroides dimidiatus,5,pmcid:PMC8484626,Cleaner fish are sensitive to what their partners can and cannot see.,pending,unknown,
Labroides dimidiatus,6,pmcid:PMC7752907,Brain morphology predicts social intelligence in wild cleaner fish.,pending,unknown,
Labroides dimidiatus,7,doi:10.1101/2022.03.10.483727,Field and experimental data together with computational models reveal how cleaner fish adjust decisions in a biological market,pending,unknown,
Labroides dimidiatus,8,pmcid:PMC8803161,"Cleaner wrasse Labroides dimidiatus perform above chance in a ""matching-to-sample"" experiment.",pending,unknown,
Labroides dimidiatus,9,pmid:21700458,Cleaner wrasses Labroides dimidiatus are more cooperative in the presence of an audience.,pending,unknown,
Labroides dimidiatus,10,pmcid:PMC4795016,Stimulation of dopamine D₁ receptor improves learning capacity in cooperating cleaner fish.,pending,unknown,
Labroides dimidiatus,11,pmcid:PMC7433877,Transitive inference in cleaner wrasses (Labroides dimidiatus).,pending,unknown,
Labroides dimidiatus,12,pmcid:PMC5651018,The Neurobiology of Mutualistic Behavior: The Cleanerfish Swims into the Spotlight.,pending,unknown,
Labroides dimidiatus,13,pmcid:PMC6892052,Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus.,pending,unknown,
Labroides dimidiatus,14,doi:10.1101/326843,Profiles of cooperative brains: A discriminant analysis of cleaner and client fish monoaminergic responses to different social contexts,pending,unknown,
Labroides dimidiatus,15,pmcid:PMC5949057,"The performance of cleaner wrasse, Labroides dimidiatus, in a reversal learning task varies across experimental paradigms.",pending,unknown,
Labroides dimidiatus,16,pmcid:PMC4745044,Dopamine disruption increases negotiation for cooperative interactions in a fish.,pending,unknown,
Labroides dimidiatus,17,pmcid:PMC8278049,Sex differences in the cognitive abilities of a sex-changing fish species Labroides dimidiatus.,pending,unknown,
Labroides dimidiatus,18,pmid:19533186,Do cleaner fish learn to feed against their preference in a reverse reward contingency task?,pending,unknown,
Labroides dimidiatus,19,pmid:12357286,Cleaner fish Labroides dimidiatus recognise familiar clients.,pending,unknown,
Labroides dimidiatus,20,pmcid:PMC10024986,A marine cleaning mutualism provides new insights in biological market dynamics.,pending,unknown,
Labroides dimidiatus,21,pmcid:PMC10289426,"In the absence of extensive initial training, cleaner wrasse Labroides dimidiatus fail a transitive inference task.",pending,unknown,
Labroides dimidiatus,22,pmcid:PMC1626376,Punishment and partner switching cause cooperative behaviour in a cleaning mutualism.,pending,unknown,
Labroides dimidiatus,23,pmid:27890590,Can cleanerfish overcome temptation? A selective role for dopamine influence on cooperative-based decision making.,pending,unknown,
Labroides dimidiatus,24,pmid:27107861,Serotonin blockade delays learning performance in a cooperative fish.,pending,unknown,
Labroides dimidiatus,25,pmcid:PMC5566447,Reputation management promotes strategic adjustment of service quality in cleaner wrasse.,pending,unknown,
Lycaon pictus,1,pmcid:PMC5134038,The effects of tradition on problem solving by two wild populations of bearded capuchin monkeys in a probing task.,pending,unknown,
Lycaon pictus,2,pmid:29870703,Animal Behavior: Social Learning by a Whisker.,pending,unknown,
Lycaon pictus,3,pmid:32309965,Shared worlds and shared minds: A theory of collective learning and a psychology of common knowledge.,pending,unknown,
Lycaon pictus,4,pmid:20605459,Imitation and traditions in wild banded mongooses.,pending,unknown,
Lycaon pictus,5,pmcid:PMC8666914,Collective minds: social network topology shapes collective cognition.,pending,unknown,
Lycaon pictus,6,pmcid:PMC1564214,Faithful replication of foraging techniques along cultural transmission chains by chimpanzees and children.,pending,unknown,
Lycaon pictus,7,pmid:38597113,Adaptations to sociality in the mimetic and auricular musculature of the African wild dog (Lycaon pictus).,pending,unknown,
Lycaon pictus,8,pmid:20619805,Animal traditions: experimental evidence of learning by imitation in an unlikely animal.,pending,unknown,
Lycaon pictus,9,pmid:22697301,Tool innovation may be a critical limiting step for the establishment of a rich tool-using culture: a perspective from child development.,pending,unknown,
Lycaon pictus,10,pmcid:PMC4820541,Additive opportunistic capture explains group hunting benefits in African wild dogs.,pending,unknown,
Lycaon pictus,11,pmid:42114360,"Insightful problem solving and social learning in children's tool making: Exploring the role of napping, night sleep, age, and gender.",pending,unknown,
Lycaon pictus,12,pmcid:PMC3414518,Identification of learning mechanisms in a wild meerkat population.,pending,unknown,
Lycaon pictus,13,pmid:42169389,Creative problem solving in a jumping spider.,pending,unknown,
Lycaon pictus,14,pmid:29804813,Decoupling of Genetic and Cultural Inheritance in a Wild Mammal.,pending,unknown,
Lycaon pictus,15,pmid:38060656,Culturally determined interspecies communication between humans and honeyguides.,pending,unknown,
Lycaon pictus,16,pmid:7279386,"The role of integumental glands in the social and mating behaviour of the hunting dog Lycaon pictus (Temminck, 1820).",pending,unknown,
Lycaon pictus,17,pmcid:PMC13462048,ADAMTS18 as a candidate gene linking social stress and depression: a cross-species study in African wild dogs (Lycaon pictus) and humans.,pending,unknown,
Lycaon pictus,18,pmid:5893865,[Field studies on the sociology of the hyena-hunting dog (Lycaon pictus lupinus Thomas 1902)].,pending,unknown,
Lycaon pictus,19,pmid:8249244,Sarcocystis-like organisms in musculature of a domestic dog (Canis familiaris) and wild dogs (Lycaon pictus) in Kenya.,pending,unknown,
Lycaon pictus,20,pmid:26359083,Elephant resource-use traditions.,pending,unknown,
