tier1_rank,scientific_name,pool_role,existing_seed_modules,priority_modules,tested_negative_priority,outcome_coding_priority,first_pass_search_target,rationale
1,Aldabrachelys gigantea,theory_discriminating_candidate,A,"B,C,D,E,F",high,O1-O7 high,exact species + module-specific experimental/field terms,Complete the dissociation profile around an already-motivated theory contrast; do not infer absent modules from silence.
19,Ctenophorus nuchalis,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
20,Hyla versicolor,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
21,Metazygia rogenhoferi,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
22,Natrix natrix,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
23,Nephila clavipes,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
24,Paraponera clavata,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
25,Periplaneta americana,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
26,Platymantis vitiensis,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
27,Porcellio laevis,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
28,Trichoniscus pusillus,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
29,Zosis geniculata,data_rich_underrepresented_clade_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,Calibration taxon from an underrepresented clade; search both positive and explicit tested-negative evidence to prevent bird/mammal-centric inference.
30,Eubalaena glacialis,database_unrepresented_family_mass_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,"Matched ordinary comparator; priority is unbiased evidence recovery, especially explicit failures/limits under comparable tasks."
31,Dasyurus maculatus,database_unrepresented_family_mass_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,"Matched ordinary comparator; priority is unbiased evidence recovery, especially explicit failures/limits under comparable tasks."
32,Macropus antilopinus,database_unrepresented_family_mass_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,"Matched ordinary comparator; priority is unbiased evidence recovery, especially explicit failures/limits under comparable tasks."
33,Tragelaphus eurycerus,database_unrepresented_family_mass_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,"Matched ordinary comparator; priority is unbiased evidence recovery, especially explicit failures/limits under comparable tasks."
34,Panthera tigris,database_unrepresented_family_mass_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,"Matched ordinary comparator; priority is unbiased evidence recovery, especially explicit failures/limits under comparable tasks."
35,Melursus ursinus,database_unrepresented_family_mass_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,"Matched ordinary comparator; priority is unbiased evidence recovery, especially explicit failures/limits under comparable tasks."
36,Galerella sanguinea,database_unrepresented_family_mass_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,"Matched ordinary comparator; priority is unbiased evidence recovery, especially explicit failures/limits under comparable tasks."
37,Leptonychotes weddellii,database_unrepresented_family_mass_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,"Matched ordinary comparator; priority is unbiased evidence recovery, especially explicit failures/limits under comparable tasks."
38,Procyon cancrivorus,database_unrepresented_family_mass_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,"Matched ordinary comparator; priority is unbiased evidence recovery, especially explicit failures/limits under comparable tasks."
39,Hyaena brunnea,database_unrepresented_family_mass_calibration,,"A,B,C,D,E,F",very_high,O1-O7 high,exact species + module-specific experimental/field terms,"Matched ordinary comparator; priority is unbiased evidence recovery, especially explicit failures/limits under comparable tasks."
40,Poecilia reticulata,asnr_source_candidate,,"A,B,C,D,E",high,O1-O7 high,exact species + module-specific experimental/field terms,Network proxy exists; fill cognition/transmission/communication/manipulation/externalization and validate network context.
41,Dendrobates pumilio,asnr_source_candidate,,"A,B,C,D,E",high,O1-O7 high,exact species + module-specific experimental/field terms,Network proxy exists; fill cognition/transmission/communication/manipulation/externalization and validate network context.
42,Balaenoptera musculus,acdb_source_candidate,,"A,C,D,E,F",high,O1-O7 high,exact species + module-specific experimental/field terms,"Culture database route exists; fill cognition, communication, manipulation, externalization and social architecture."
43,Desmodus rotundus,asnr_source_candidate,,"A,B,C,D,E",high,O1-O7 high,exact species + module-specific experimental/field terms,Network proxy exists; fill cognition/transmission/communication/manipulation/externalization and validate network context.
44,Gasterosteus aculeatus,asnr_source_candidate,,"A,B,C,D,E",high,O1-O7 high,exact species + module-specific experimental/field terms,Network proxy exists; fill cognition/transmission/communication/manipulation/externalization and validate network context.
45,Bison bison,asnr_source_candidate,,"A,B,C,D,E",high,O1-O7 high,exact species + module-specific experimental/field terms,Network proxy exists; fill cognition/transmission/communication/manipulation/externalization and validate network context.
46,Sarcophilus harrisii,asnr_source_candidate,,"A,B,C,D,E",high,O1-O7 high,exact species + module-specific experimental/field terms,Network proxy exists; fill cognition/transmission/communication/manipulation/externalization and validate network context.
47,Otospermophilus beecheyi,asnr_source_candidate,,"A,B,C,D,E",high,O1-O7 high,exact species + module-specific experimental/field terms,Network proxy exists; fill cognition/transmission/communication/manipulation/externalization and validate network context.
48,Eschrichtius robustus,acdb_source_candidate,,"A,C,D,E,F",high,O1-O7 high,exact species + module-specific experimental/field terms,"Culture database route exists; fill cognition, communication, manipulation, externalization and social architecture."
49,Eubalaena australis,acdb_source_candidate,,"A,C,D,E,F",high,O1-O7 high,exact species + module-specific experimental/field terms,"Culture database route exists; fill cognition, communication, manipulation, externalization and social architecture."
50,Crocuta crocuta,asnr_source_candidate,,"A,B,C,D,E",high,O1-O7 high,exact species + module-specific experimental/field terms,Network proxy exists; fill cognition/transmission/communication/manipulation/externalization and validate network context.
