selection_rank,provider,stratum,query_index,query,source_rank,provider_id,doi,title,year,type,venue_or_topic,cited_by_count,landing_url,dedupe_key
19,openalex,conflict_security,2,external threat internal cohesion rally around flag,7,https://openalex.org/W4384206198,10.1002/ejsp.2974,Tend‐and‐befriend and rally around the flag effects during the COVID‐19 pandemic: Differential longitudinal change patterns in multiple aspects of social cohesion,2023,article,COVID-19 and Mental Health,6,https://openalex.org/W4384206198,doi:10.1002/ejsp.2974
20,crossref,conflict_security,2,external threat internal cohesion rally around flag,6,10.2139/ssrn.6438260,10.2139/ssrn.6438260,When an Authoritarian Audience Does Not Rally around the Flag: Evidence from the Hainan Island Incident,2026,posted-content,,0,https://doi.org/10.2139/ssrn.6438260,doi:10.2139/ssrn.6438260
21,openalex,conflict_security,3,security dilemma deterrence conflict prevention,9,https://openalex.org/W3125818137,,"Punishment, Deterrence and Social Control: The Paradox of Punishment in Minority Communities",2008,article,Crime Patterns and Interventions,95,https://openalex.org/W3125818137,ty:punishment deterrence and social control the paradox of punishment in minority communities|2008
22,crossref,conflict_security,3,security dilemma deterrence conflict prevention,5,10.1093/jcsl/krt006,10.1093/jcsl/krt006,Deterrence Revisited?,2013,journal-article,Journal of Conflict and Security Law,0,https://doi.org/10.1093/jcsl/krt006,doi:10.1093/jcsl/krt006
23,openalex,conflict_security,1,intergroup competition intragroup cooperation,12,https://openalex.org/W2165883112,10.1177/1368430210375702,"How intragroup dynamics affect behavior in intergroup conflict: The role of group norms, prototypicality, and need to belong",2010,article,Social and Intergroup Psychology,74,https://openalex.org/W2165883112,doi:10.1177/1368430210375702
24,crossref,conflict_security,1,intergroup competition intragroup cooperation,7,10.1177/01461672261476739,10.1177/01461672261476739,Intergroup Competition Promotes Intragroup Cooperation: A Meta-Analysis of Social Dilemmas,2026,journal-article,Personality and Social Psychology Bulletin,0,https://doi.org/10.1177/01461672261476739,doi:10.1177/01461672261476739
25,openalex,conflict_security,2,external threat internal cohesion rally around flag,46,https://openalex.org/W4412096828,10.1017/s1537592725000623,"A Rally for Democracy? Authoritarian Resurgence, Ukraine, and Global Democratic Allegiance",2025,article,Political Conflict and Governance,1,https://openalex.org/W4412096828,doi:10.1017/s1537592725000623
26,crossref,conflict_security,2,external threat internal cohesion rally around flag,7,10.1093/oso/9780197629710.003.0001,10.1093/oso/9780197629710.003.0001,The Puzzling Rally-round-the-Flag Phenomenon,2022,book-chapter,Rally 'round the Flag,0,https://doi.org/10.1093/oso/9780197629710.003.0001,doi:10.1093/oso/9780197629710.003.0001
27,openalex,conflict_security,3,security dilemma deterrence conflict prevention,11,https://openalex.org/W3093797831,10.1177/1354066120966039,"A ritual approach to deterrence: I am, therefore I deter",2020,article,Global Security and Public Health,66,https://openalex.org/W3093797831,doi:10.1177/1354066120966039
28,crossref,conflict_security,3,security dilemma deterrence conflict prevention,6,10.1515/9780691186955-008,10.1515/9780691186955-008,Chapter 6. The Security Dilemma and Ethnic Conflict,1994,book-chapter,Ethnic Conflict and International Security,16,https://doi.org/10.1515/9780691186955-008,doi:10.1515/9780691186955-008
29,openalex,conflict_security,1,intergroup competition intragroup cooperation,22,https://openalex.org/W588631448,,Cooperative and competitive intergroup relations and their effects on the processes and outcomes of intragroup cooperation and competition,1981,book,Business Strategy and Innovation,2,https://openalex.org/W588631448,ty:cooperative and competitive intergroup relations and their effects on the processes and outcomes of intragroup cooperation and competition|1981
30,crossref,conflict_security,1,intergroup competition intragroup cooperation,8,10.2308/tar-9312211770,10.2308/tar-9312211770,The Effects of Intergroup Competition and Intragroup Cooperation on Slack and Output in a Manufacturing Setting.,1993,journal-article,The Accounting Review,2,https://doi.org/10.2308/tar-9312211770,doi:10.2308/tar-9312211770
31,openalex,autonomy_choice,1,choice overload too many options decision satisfaction,2,https://openalex.org/W4384264402,10.1016/j.jretconser.2023.103494,Decisions with ChatGPT: Reexamining choice overload in ChatGPT recommendations,2023,article,Artificial Intelligence in Healthcare and Education,138,https://openalex.org/W4384264402,doi:10.1016/j.jretconser.2023.103494
32,crossref,autonomy_choice,1,choice overload too many options decision satisfaction,7,10.1086/651235,10.1086/651235,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,2010,journal-article,Journal of Consumer Research,826,https://doi.org/10.1086/651235,doi:10.1086/651235
33,openalex,autonomy_choice,2,autonomy paradox flexibility constant connectivity,4,https://openalex.org/W3034089616,10.1016/j.infoandorg.2020.100302,Understanding constant connectivity to work: How and for whom is constant connectivity related to employee well-being?,2020,article,Job Satisfaction and Organizational Behavior,109,https://openalex.org/W3034089616,doi:10.1016/j.infoandorg.2020.100302
34,crossref,autonomy_choice,2,autonomy paradox flexibility constant connectivity,1,10.1332/policypress/9781447354772.003.0007,10.1332/policypress/9781447354772.003.0007,Gendered flexibility paradox,2022,book-chapter,The Flexibility Paradox,0,https://doi.org/10.1332/policypress/9781447354772.003.0007,doi:10.1332/policypress/9781447354772.003.0007
35,openalex,autonomy_choice,3,autonomy dependence delegation algorithmic autonomy,3,https://openalex.org/W3167673087,10.1515/opar-2020-0136,Algorithmic Agency and Autonomy in Archaeological Practice,2021,article,Image Processing and 3D Reconstruction,29,https://openalex.org/W3167673087,doi:10.1515/opar-2020-0136
36,crossref,autonomy_choice,3,autonomy dependence delegation algorithmic autonomy,1,10.1017/cbo9780511804915.002,10.1017/cbo9780511804915.002,"LAWS, BUREAUCRATIC AUTONOMY, AND THE COMPARATIVE STUDY OF DELEGATION",2002,book-chapter,Deliberate Discretion?,0,https://doi.org/10.1017/cbo9780511804915.002,doi:10.1017/cbo9780511804915.002
37,openalex,autonomy_choice,1,choice overload too many options decision satisfaction,4,https://openalex.org/W1981257212,10.1002/mar.20271,What moderates the too‐much‐choice effect?,2009,article,Decision-Making and Behavioral Economics,190,https://openalex.org/W1981257212,doi:10.1002/mar.20271
38,crossref,autonomy_choice,1,choice overload too many options decision satisfaction,8,10.1016/j.tourman.2012.05.004,10.1016/j.tourman.2012.05.004,Confused by too many choices? Choice overload in tourism,2013,journal-article,Tourism Management,141,https://doi.org/10.1016/j.tourman.2012.05.004,doi:10.1016/j.tourman.2012.05.004
39,openalex,autonomy_choice,2,autonomy paradox flexibility constant connectivity,8,https://openalex.org/W3163089714,10.1016/j.jvb.2021.103589,Staying in the loop: Is constant connectivity to work good or bad for work performance?,2021,article,Job Satisfaction and Organizational Behavior,61,https://openalex.org/W3163089714,doi:10.1016/j.jvb.2021.103589
40,crossref,autonomy_choice,2,autonomy paradox flexibility constant connectivity,2,10.1332/policypress/9781447354772.003.0001,10.1332/policypress/9781447354772.003.0001,Introduction: The flexibility paradox and contexts,2022,book-chapter,The Flexibility Paradox,2,https://doi.org/10.1332/policypress/9781447354772.003.0001,doi:10.1332/policypress/9781447354772.003.0001
41,openalex,autonomy_choice,3,autonomy dependence delegation algorithmic autonomy,13,https://openalex.org/W4205815050,10.1007/s00146-021-01313-x,Interdependence as the key for an ethical artificial autonomy,2022,article,Ethics and Social Impacts of AI,12,https://openalex.org/W4205815050,doi:10.1007/s00146-021-01313-x
42,crossref,autonomy_choice,3,autonomy dependence delegation algorithmic autonomy,2,10.4324/9781003297635-7,10.4324/9781003297635-7,Dependence and autonomy,2022,book-chapter,Dependence and Autonomy,0,https://doi.org/10.4324/9781003297635-7,doi:10.4324/9781003297635-7
43,openalex,autonomy_choice,1,choice overload too many options decision satisfaction,8,https://openalex.org/W2969770213,10.1177/1948550619866189,A Rejection Mind-Set: Choice Overload in Online Dating,2019,article,Evolutionary Psychology and Human Behavior,105,https://openalex.org/W2969770213,doi:10.1177/1948550619866189
44,crossref,autonomy_choice,1,choice overload too many options decision satisfaction,12,10.1002/mar.20269,10.1002/mar.20269,Testing the boundaries of the choice overload phenomenon: The effect of number of options and time pressure on decision difficulty and satisfaction,2009,journal-article,Psychology &amp; Marketing,196,https://doi.org/10.1002/mar.20269,doi:10.1002/mar.20269
45,openalex,autonomy_choice,2,autonomy paradox flexibility constant connectivity,17,https://openalex.org/W4387815321,10.1080/09585192.2023.2271835,Constant connectivity and boundary management behaviors: the role of human agency,2023,article,Cyberloafing and Workplace Behavior,33,https://openalex.org/W4387815321,doi:10.1080/09585192.2023.2271835
46,crossref,autonomy_choice,2,autonomy paradox flexibility constant connectivity,3,10.1332/policypress/9781447354772.003.0006,10.1332/policypress/9781447354772.003.0006,The empirical evidence of the flexibility paradox,2022,book-chapter,The Flexibility Paradox,0,https://doi.org/10.1332/policypress/9781447354772.003.0006,doi:10.1332/policypress/9781447354772.003.0006
47,crossref,autonomy_choice,3,autonomy dependence delegation algorithmic autonomy,3,10.31891/2415-7929-2022-25-1,10.31891/2415-7929-2022-25-1,FORMING LEARNER’S AUTONOMY BY MEANS OF TEACHER’S ROLES DELEGATION,2022,journal-article,Current issues of linguistics and translations studies,0,https://doi.org/10.31891/2415-7929-2022-25-1,doi:10.31891/2415-7929-2022-25-1
48,openalex,autonomy_choice,1,choice overload too many options decision satisfaction,22,https://openalex.org/W2758290019,10.3982/te2037,Choice overload and asymmetric regret,2017,article,Decision-Making and Behavioral Economics,35,https://openalex.org/W2758290019,doi:10.3982/te2037
49,crossref,autonomy_choice,1,choice overload too many options decision satisfaction,13,10.1002/hbe2.295,10.1002/hbe2.295,Are there never too many choice options? The effect of increasing the number of choice options on learning with digital media,2021,journal-article,Human Behavior and Emerging Technologies,8,https://doi.org/10.1002/hbe2.295,doi:10.1002/hbe2.295
50,openalex,autonomy_choice,2,autonomy paradox flexibility constant connectivity,21,https://openalex.org/W2930881799,10.1016/j.chb.2019.03.038,Breaking out from constant connectivity: Agentic regulation of smartphone use,2019,article,Impact of Technology on Adolescents,36,https://openalex.org/W2930881799,doi:10.1016/j.chb.2019.03.038
51,crossref,autonomy_choice,2,autonomy paradox flexibility constant connectivity,4,10.5465/ambpp.2012.10750abstract,10.5465/ambpp.2012.10750abstract,The Autonomy-Interdependence Paradox: Achieving temporal flexibility in professional services,2012,journal-article,Academy of Management Proceedings,0,https://doi.org/10.5465/ambpp.2012.10750abstract,doi:10.5465/ambpp.2012.10750abstract
52,crossref,autonomy_choice,3,autonomy dependence delegation algorithmic autonomy,4,10.3389/frai.2026.1860239,10.3389/frai.2026.1860239,Artificial autonomy and algorithmic paternalism: AI shaping human autonomy and decision-making,2026,journal-article,Frontiers in Artificial Intelligence,0,https://doi.org/10.3389/frai.2026.1860239,doi:10.3389/frai.2026.1860239
53,openalex,autonomy_choice,1,choice overload too many options decision satisfaction,25,https://openalex.org/W4205167052,10.32996/jefas.2022.4.1.4,An Analysis on the Impact of Choice Overload to Consumer Decision Paralysis,2022,article,Innovation Diffusion and Forecasting,24,https://openalex.org/W4205167052,doi:10.32996/jefas.2022.4.1.4
54,crossref,autonomy_choice,1,choice overload too many options decision satisfaction,18,10.2139/ssrn.4546668,10.2139/ssrn.4546668,Do Maximizers Always Suffer When Facing Too Many Choices? Assortment Size and Task Importance Influence Maximizers’ Choice Satisfaction,2023,posted-content,,0,https://doi.org/10.2139/ssrn.4546668,doi:10.2139/ssrn.4546668
55,openalex,autonomy_choice,2,autonomy paradox flexibility constant connectivity,28,https://openalex.org/W4407874762,10.1177/00221856251315859,"The autonomy paradox, working from home and psychosocial hazards",2025,article,Employment and Welfare Studies,14,https://openalex.org/W4407874762,doi:10.1177/00221856251315859
56,crossref,autonomy_choice,2,autonomy paradox flexibility constant connectivity,5,10.56687/9781447354796-009,10.56687/9781447354796-009,Gendered flexibility paradox,2022,book-chapter,The Flexibility Paradox,0,https://doi.org/10.56687/9781447354796-009,doi:10.56687/9781447354796-009
57,crossref,autonomy_choice,3,autonomy dependence delegation algorithmic autonomy,9,10.2139/ssrn.5123621,10.2139/ssrn.5123621,"Agentic AI: Autonomy, Accountability, and the Algorithmic Society",2025,posted-content,,30,https://doi.org/10.2139/ssrn.5123621,doi:10.2139/ssrn.5123621
58,openalex,autonomy_choice,1,choice overload too many options decision satisfaction,27,https://openalex.org/W2945083317,10.3390/ijerph16101746,Managers’ Well-Being in the Digital Era: Is it Associated with Perceived Choice Overload and Pressure from Digitalization? An Exploratory Study,2019,article,Psychological Well-being and Life Satisfaction,77,https://openalex.org/W2945083317,doi:10.3390/ijerph16101746
59,crossref,autonomy_choice,1,choice overload too many options decision satisfaction,21,10.1016/j.biopsycho.2019.03.010,10.1016/j.biopsycho.2019.03.010,Too many fish in the sea: A motivational examination of the choice overload experience,2019,journal-article,Biological Psychology,12,https://doi.org/10.1016/j.biopsycho.2019.03.010,doi:10.1016/j.biopsycho.2019.03.010
60,openalex,autonomy_choice,2,autonomy paradox flexibility constant connectivity,30,https://openalex.org/W3216925466,10.1111/amet.13039,The self in a time of constant connectivity,2021,article,Anthropological Studies and Insights,14,https://openalex.org/W3216925466,doi:10.1111/amet.13039
61,openalex,information_attention,1,less is more heuristic information decision accuracy,6,https://openalex.org/W2128498260,10.1037/0033-295x.109.1.75,Models of ecological rationality: The recognition heuristic.,2002,article,Decision-Making and Behavioral Economics,1362,https://openalex.org/W2128498260,doi:10.1037/0033-295x.109.1.75
62,crossref,information_attention,1,less is more heuristic information decision accuracy,1,10.1017/s193029750000348x,10.1017/s193029750000348x,When less is more in the recognition heuristic,2010,journal-article,Judgment and Decision Making,21,https://doi.org/10.1017/s193029750000348x,doi:10.1017/s193029750000348x
63,openalex,information_attention,2,rational inattention deliberate ignorance information avoidance,1,https://openalex.org/W4238212557,10.1257/jel.20151245,Information Avoidance,2017,article,Experimental Behavioral Economics Studies,835,https://openalex.org/W4238212557,doi:10.1257/jel.20151245
64,crossref,information_attention,2,rational inattention deliberate ignorance information avoidance,1,10.2139/ssrn.3521379,10.2139/ssrn.3521379,Rational Inattention Via Ignorance Equivalence,2020,posted-content,,0,https://doi.org/10.2139/ssrn.3521379,doi:10.2139/ssrn.3521379
65,openalex,information_attention,3,public information social welfare coordination,1,https://openalex.org/W2097119464,10.1257/000282802762024610,Social Value of Public Information,2002,article,Economic Policies and Impacts,2025,https://openalex.org/W2097119464,doi:10.1257/000282802762024610
66,crossref,information_attention,3,public information social welfare coordination,25,10.2139/ssrn.1947311,10.2139/ssrn.1947311,Endogenous Public Information and Welfare,2011,posted-content,,1,https://doi.org/10.2139/ssrn.1947311,doi:10.2139/ssrn.1947311
67,openalex,information_attention,1,less is more heuristic information decision accuracy,7,https://openalex.org/W1542200596,10.31887/dcns.2012.14.1/jmarewski,Heuristic decision making in medicine,2012,article,Clinical Reasoning and Diagnostic Skills,384,https://openalex.org/W1542200596,doi:10.31887/dcns.2012.14.1/jmarewski
68,crossref,information_attention,1,less is more heuristic information decision accuracy,2,10.1016/j.ins.2017.06.019,10.1016/j.ins.2017.06.019,Less is more: basic variable neighborhood search heuristic for balanced minimum sum-of-squares clustering,2017,journal-article,Information Sciences,55,https://doi.org/10.1016/j.ins.2017.06.019,doi:10.1016/j.ins.2017.06.019
69,openalex,information_attention,2,rational inattention deliberate ignorance information avoidance,3,https://openalex.org/W4377940243,10.1016/j.jebo.2023.04.032,"Information avoidance: Self-image concerns, inattention, and ideology",2023,article,Misinformation and Its Impacts,7,https://openalex.org/W4377940243,doi:10.1016/j.jebo.2023.04.032
70,crossref,information_attention,2,rational inattention deliberate ignorance information avoidance,2,10.21799/frbp.wp.2021.29,10.21799/frbp.wp.2021.29,Rational Inattention via Ignorance Equivalence,2021,report,Working paper (Federal Reserve Bank of Philadelphia),0,https://doi.org/10.21799/frbp.wp.2021.29,doi:10.21799/frbp.wp.2021.29
71,openalex,information_attention,3,public information social welfare coordination,36,https://openalex.org/W1553579794,10.3386/w11537,"Social Value of Public Information: Morris and Shin (2002) Is Actually Pro Transparency, Not Con",2005,report,Corruption and Economic Development,158,https://openalex.org/W1553579794,doi:10.3386/w11537
72,openalex,information_attention,1,less is more heuristic information decision accuracy,14,https://openalex.org/W1970566767,10.3758/bf03193858,The heuristic-analytic theory of reasoning: Extension and evaluation,2006,article,Decision-Making and Behavioral Economics,641,https://openalex.org/W1970566767,doi:10.3758/bf03193858
73,crossref,information_attention,1,less is more heuristic information decision accuracy,3,10.1017/s1930297500003508,10.1017/s1930297500003508,Less-is-more effects without the recognition heuristic,2010,journal-article,Judgment and Decision Making,11,https://doi.org/10.1017/s1930297500003508,doi:10.1017/s1930297500003508
74,openalex,information_attention,2,rational inattention deliberate ignorance information avoidance,4,https://openalex.org/W3166956392,10.1016/j.foodpol.2021.102076,What do people want to know? Information avoidance and food policy implications,2021,article,Psychological Well-being and Life Satisfaction,39,https://openalex.org/W3166956392,doi:10.1016/j.foodpol.2021.102076
75,crossref,information_attention,2,rational inattention deliberate ignorance information avoidance,3,10.21799/frbp.wp.2020.24,10.21799/frbp.wp.2020.24,Rational Inattention via Ignorance Equivalence,2020,report,Working paper (Federal Reserve Bank of Philadelphia),0,https://doi.org/10.21799/frbp.wp.2020.24,doi:10.21799/frbp.wp.2020.24
76,openalex,information_attention,1,less is more heuristic information decision accuracy,17,https://openalex.org/W2169049172,10.1037/0033-295x.112.3.610,How forgetting aids heuristic inference.,2005,article,Intelligent Tutoring Systems and Adaptive Learning,371,https://openalex.org/W2169049172,doi:10.1037/0033-295x.112.3.610
77,crossref,information_attention,1,less is more heuristic information decision accuracy,8,10.32473/flairs.v35i.130872,10.32473/flairs.v35i.130872,Less is More: Decision Making &amp; Information Sharing Under Severe Uncertainty,2022,journal-article,The International FLAIRS Conference Proceedings,1,https://doi.org/10.32473/flairs.v35i.130872,doi:10.32473/flairs.v35i.130872
78,openalex,information_attention,2,rational inattention deliberate ignorance information avoidance,7,https://openalex.org/W4400740073,10.1016/j.jesp.2024.104661,Choosing not to see: Visual inattention as a method of information avoidance,2024,article,Neural and Behavioral Psychology Studies,4,https://openalex.org/W4400740073,doi:10.1016/j.jesp.2024.104661
79,crossref,information_attention,2,rational inattention deliberate ignorance information avoidance,4,10.7551/mitpress/13757.003.0019,10.7551/mitpress/13757.003.0019,Reflections on Deliberate Ignorance,2021,book-chapter,Deliberate Ignorance,0,https://doi.org/10.7551/mitpress/13757.003.0019,doi:10.7551/mitpress/13757.003.0019
80,openalex,information_attention,1,less is more heuristic information decision accuracy,20,https://openalex.org/W2157581667,10.1111/j.1756-8765.2008.01006.x,Homo Heuristicus: Why Biased Minds Make Better Inferences,2009,article,Decision-Making and Behavioral Economics,1829,https://openalex.org/W2157581667,doi:10.1111/j.1756-8765.2008.01006.x
81,crossref,information_attention,1,less is more heuristic information decision accuracy,18,10.1007/978-3-030-96935-6_14,10.1007/978-3-030-96935-6_14,Less Is More Approach in Heuristic Optimization,2022,book-chapter,The Palgrave Handbook of Operations Research,10,https://doi.org/10.1007/978-3-030-96935-6_14,doi:10.1007/978-3-030-96935-6_14
82,openalex,information_attention,2,rational inattention deliberate ignorance information avoidance,8,https://openalex.org/W4404620535,10.1002/asi.24968,Information avoidance: A critical conceptual review. An Annual Review of Information Science and Technology (ARIST) paper,2024,article,Misinformation and Its Impacts,19,https://openalex.org/W4404620535,doi:10.1002/asi.24968
83,crossref,information_attention,2,rational inattention deliberate ignorance information avoidance,5,10.3386/w23787,10.3386/w23787,Rational Inattention and Sequential Information Sampling,2017,report,,29,https://doi.org/10.3386/w23787,doi:10.3386/w23787
84,openalex,information_attention,1,less is more heuristic information decision accuracy,22,https://openalex.org/W1984569839,10.1037/a0013025,Fluency heuristic: A model of how the mind exploits a by-product of information retrieval.,2008,article,Decision-Making and Behavioral Economics,250,https://openalex.org/W1984569839,doi:10.1037/a0013025
85,crossref,information_attention,1,less is more heuristic information decision accuracy,19,10.2139/ssrn.4172370,10.2139/ssrn.4172370,When “Less Is More”: How Statistical Discrimination Can Decrease Predictive Accuracy,2022,posted-content,,0,https://doi.org/10.2139/ssrn.4172370,doi:10.2139/ssrn.4172370
86,openalex,information_attention,2,rational inattention deliberate ignorance information avoidance,9,https://openalex.org/W2779929138,10.1016/j.euroecorev.2025.104965,"More effort with less pay: On information avoidance, optimistic beliefs, and performance",2025,article,Experimental Behavioral Economics Studies,12,https://openalex.org/W2779929138,doi:10.1016/j.euroecorev.2025.104965
87,crossref,information_attention,2,rational inattention deliberate ignorance information avoidance,6,10.7551/mitpress/13757.003.0023,10.7551/mitpress/13757.003.0023,Deliberate Ignorance and the Law,2021,book-chapter,Deliberate Ignorance,1,https://doi.org/10.7551/mitpress/13757.003.0023,doi:10.7551/mitpress/13757.003.0023
88,openalex,information_attention,1,less is more heuristic information decision accuracy,25,https://openalex.org/W2159071801,10.1037/0033-295x.103.4.650,Reasoning the fast and frugal way: Models of bounded rationality.,1996,article,Decision-Making and Behavioral Economics,3526,https://openalex.org/W2159071801,doi:10.1037/0033-295x.103.4.650
89,crossref,information_attention,1,less is more heuristic information decision accuracy,22,10.1016/s1574-0722(07)00106-0,10.1016/s1574-0722(07)00106-0,Chapter 106 The Recognition Heuristic and the Less-Is-More Effect,2008,book-chapter,Handbook of Experimental Economics Results,14,https://doi.org/10.1016/s1574-0722(07)00106-0,doi:10.1016/s1574-0722(07)00106-0
90,openalex,information_attention,2,rational inattention deliberate ignorance information avoidance,10,https://openalex.org/W4313402601,10.1007/s11127-022-01016-x,Expressive voting versus information avoidance: experimental evidence in the context of climate change mitigation,2022,article,Psychology of Moral and Emotional Judgment,7,https://openalex.org/W4313402601,doi:10.1007/s11127-022-01016-x
91,openalex,backfire_iatrogenic,1,boomerang effect intervention opposite behavior,3,https://openalex.org/W2775844944,10.1080/15534510.2017.1421571,The boomerang effect of psychological interventions,2017,article,Social and Intergroup Psychology,13,https://openalex.org/W2775844944,doi:10.1080/15534510.2017.1421571
92,crossref,backfire_iatrogenic,1,boomerang effect intervention opposite behavior,1,10.1038/s44271-025-00294-7,10.1038/s44271-025-00294-7,Pledges counteract the boomerang effect in a sustainable showering intervention for children,2025,journal-article,Communications Psychology,0,https://doi.org/10.1038/s44271-025-00294-7,doi:10.1038/s44271-025-00294-7
93,openalex,backfire_iatrogenic,2,iatrogenic psychological intervention harm,3,https://openalex.org/W2290331543,10.1192/bjp.bp.115.163618,Iatrogenic harm from psychological therapies – time to move on,2016,article,Psychotherapy Techniques and Applications,146,https://openalex.org/W2290331543,doi:10.1192/bjp.bp.115.163618
