provider,stratum,query_index,query,source_rank,provider_id,doi,title,year,type,venue_or_topic,rejection_reasons
openalex,conflict_security,1,intergroup competition intragroup cooperation,28,https://openalex.org/W2164205904,10.1146/annurev-soc-073014-112242,Beyond Altruism: Sociological Foundations of Cooperation and Prosocial Behavior,2015,review,Experimental Behavioral Economics Studies,type_not_allowed:review;missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,29,https://openalex.org/W2995484192,10.1007/s10764-019-00112-y,Intergroup Competition Enhances Chimpanzee (Pan troglodytes verus) In-group Cohesion,2019,article,Primate Behavior and Ecology,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,30,https://openalex.org/W2023524268,10.1080/00224545.1974.9923102,The Relative Productivity of Cooperation and Competition,1974,article,Plant and animal studies,missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,31,https://openalex.org/W2943991513,10.1002/evan.21793,The evolution of intergroup tolerance in nonhuman primates and humans,2019,article,Primate Behavior and Ecology,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,32,https://openalex.org/W2144593781,10.1016/j.jtbi.2012.07.002,Ingroup favoritism and intergroup cooperation under indirect reciprocity based on group reputation,2012,article,Evolutionary Game Theory and Cooperation,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,33,https://openalex.org/W2139079404,10.1037/a0025354,Sex differences in cooperation: A meta-analytic review of social dilemmas.,2011,article,Evolutionary Game Theory and Cooperation,missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,34,https://openalex.org/W2790935291,10.1037/pspi0000125,Parochial cooperation in nested intergroup dilemmas is reduced when it harms out-groups.,2018,article,Social and Intergroup Psychology,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,35,https://openalex.org/W1526860744,,Dynamics of intergroup competition in two neighboring chimpanzee communities,2010,dissertation,Primate Behavior and Ecology,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,36,https://openalex.org/W2140801276,10.1098/rstb.2013.0073,Female competition and aggression: interdisciplinary perspectives,2013,article,Evolutionary Psychology and Human Behavior,missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,37,https://openalex.org/W2151834035,10.1162/isec_a_00100,"The Psychology of Threat in Intergroup Conflict: Emotions, Rationality, and Opportunity in the Rwandan Genocide",2012,article,Social and Intergroup Psychology,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,38,https://openalex.org/W4321351531,10.1098/rstb.2022.0074,The evolution of intergroup cooperation,2023,article,Evolutionary Game Theory and Cooperation,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,39,https://openalex.org/W3201191290,10.1016/j.copsyc.2021.09.002,Prosociality as a foundation for intergroup conflict,2021,review,Experimental Behavioral Economics Studies,type_not_allowed:review;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,40,https://openalex.org/W2998751072,10.1038/s41598-019-57259-0,The Male Warrior Hypothesis: Testosterone-related Cooperation and Aggression in the Context of Intergroup Conflict,2020,article,Evolutionary Psychology and Human Behavior,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,41,https://openalex.org/W2797441794,10.1002/ajp.22757,"Group‐level competition influences urinary steroid hormones among wild red–tailed monkeys, indicating energetic costs",2018,article,Primate Behavior and Ecology,missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,43,https://openalex.org/W1993365370,10.1007/bf02229109,"Gifts given, gifts taken: The behavioral ecology of nonmarket, intragroup exchange",1997,article,Evolutionary Game Theory and Cooperation,missing_anchor_group:intergroup
openalex,conflict_security,1,intergroup competition intragroup cooperation,44,https://openalex.org/W2006336636,10.1016/j.jesp.2014.05.006,How groups react to disloyalty in the context of intergroup competition: Evaluations of group deserters and defectors,2014,article,Social and Intergroup Psychology,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,45,https://openalex.org/W2581400764,10.3389/fpsyg.2017.00049,Intergroup Biases in Fear-induced Aggression,2017,article,Evolutionary Game Theory and Cooperation,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,46,https://openalex.org/W4323653338,10.1037/amp0001144,"Intergroup contact is reliably associated with reduced prejudice, even in the face of group threat and discrimination.",2023,article,Social and Intergroup Psychology,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,47,https://openalex.org/W4387742586,10.1038/s41598-023-45012-7,Evidence of the active participation of women in the intergroup conflict based on the use of aggression and cooperation,2023,article,Evolutionary Psychology and Human Behavior,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,48,https://openalex.org/W1937068163,10.1027/1864-9335/a000242,Imagined Intergroup Contact and Common Ingroup Identity,2015,article,Social and Intergroup Psychology,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,49,https://openalex.org/W2883956939,10.1177/0149206318788434,Do Group and Organizational Identification Help or Hurt Intergroup Strategic Consensus?,2018,article,Gender Diversity and Inequality,missing_anchor_group:intragroup|within group
openalex,conflict_security,1,intergroup competition intragroup cooperation,50,https://openalex.org/W2148290949,10.1038/npp.2015.87,Opposing Oxytocin Effects on Intergroup Cooperative Behavior in Intuitive and Reflective Minds,2015,article,Neuroendocrine regulation and behavior,missing_anchor_group:intragroup|within group
crossref,conflict_security,1,intergroup competition intragroup cooperation,3,10.1037/e511092014-337,10.1037/e511092014-337,Exploring distinct psychological mechanisms for intragroup cooperation and intergroup competition,2006,dataset,PsycEXTRA Dataset,type_not_allowed:dataset
crossref,conflict_security,1,intergroup competition intragroup cooperation,4,10.1037/e473742008-204,10.1037/e473742008-204,"The Effects of Intergroup Competition, Personal Drinking Habits, and Frustration on Intragroup Cooperation",1968,dataset,PsycEXTRA Dataset,type_not_allowed:dataset
crossref,conflict_security,1,intergroup competition intragroup cooperation,13,10.4135/9781412972017.n49,10.4135/9781412972017.n49,Cooperation and Competition,2010,reference-entry,Encyclopedia of Group Processes &amp; Intergroup Relations,type_not_allowed:reference-entry;missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
crossref,conflict_security,1,intergroup competition intragroup cooperation,14,10.1177/1368430220910795,10.1177/1368430220910795,The conflict-cooperation effect persists under intragroup payoff asymmetry,2020,journal-article,Group Processes &amp; Intergroup Relations,missing_anchor_group:intergroup
crossref,conflict_security,1,intergroup competition intragroup cooperation,15,10.22146/gamaijb.5552,10.22146/gamaijb.5552,INTRAGROUP COOPERATION VS. INTRAGROUP COMPETITION: A Meta-Analytical Study,2004,journal-article,Gadjah Mada International Journal of Business,missing_anchor_group:intergroup
crossref,conflict_security,1,intergroup competition intragroup cooperation,19,10.2139/ssrn.4424609,10.2139/ssrn.4424609,"Intergroup Competition, Group Status, and Individuals’ Cooperation Behavior: Evidence from a Laboratory Experiment",2023,posted-content,,missing_anchor_group:intragroup|within group
crossref,conflict_security,1,intergroup competition intragroup cooperation,20,10.2139/ssrn.1296454,10.2139/ssrn.1296454,Everyone is a Winner: Promoting Cooperation through Non-Rival Intergroup Competition,2008,posted-content,,missing_anchor_group:intragroup|within group
crossref,conflict_security,1,intergroup competition intragroup cooperation,21,10.2139/ssrn.7212440,10.2139/ssrn.7212440,When Merit Promotes Cooperation: Prize Inequality in Intergroup Public-goods Competition,2026,posted-content,,missing_anchor_group:intragroup|within group
crossref,conflict_security,1,intergroup competition intragroup cooperation,22,10.2139/ssrn.1391784,10.2139/ssrn.1391784,Everyone is a Winner: Promoting Cooperation Through All-Can-Win Intergroup Competition,2009,posted-content,,missing_anchor_group:intragroup|within group
crossref,conflict_security,1,intergroup competition intragroup cooperation,25,10.1037/e506052012-159,10.1037/e506052012-159,Does Intragroup Distributive Justice Enhance Intergroup Retributive Justice?,2010,dataset,PsycEXTRA Dataset,type_not_allowed:dataset
crossref,conflict_security,1,intergroup competition intragroup cooperation,27,10.1038/npre.2008.1710.1,10.1038/npre.2008.1710.1,Genetic similarity promotes evolution of cooperation under lethal intergroup competition,2008,journal-article,Nature Precedings,missing_anchor_group:intragroup|within group
crossref,conflict_security,1,intergroup competition intragroup cooperation,29,10.1108/md-11-2021-1462,10.1108/md-11-2021-1462,The interactive effects of intragroup cooperation and competition: toward a perspective of paradox,2023,journal-article,Management Decision,missing_anchor_group:intergroup
crossref,conflict_security,1,intergroup competition intragroup cooperation,31,10.1093/oxfordhb/9780195399813.013.014,10.1093/oxfordhb/9780195399813.013.014,Justice and Intragroup Cooperation,2013,book,Oxford Handbooks Online,missing_anchor_group:intergroup
crossref,conflict_security,1,intergroup competition intragroup cooperation,32,10.7717/peerj.9991/fig-4,10.7717/peerj.9991/fig-4,Figure 4: Nucleotide identities of Tongzhou strains with intergroup and intragroup on the basis of VP1 gene.,,component,,type_not_allowed:component
crossref,conflict_security,1,intergroup competition intragroup cooperation,35,10.1037/e633942013-942,10.1037/e633942013-942,Cross-cultural differences in intergroup versus intragroup orientations,2005,dataset,PsycEXTRA Dataset,type_not_allowed:dataset
crossref,conflict_security,1,intergroup competition intragroup cooperation,42,10.3389/fnins.2015.00183,10.3389/fnins.2015.00183,Testosterone is associated with cooperation during intergroup competition by enhancing parochial altruism,2015,journal-article,Frontiers in Neuroscience,missing_anchor_group:intragroup|within group
crossref,conflict_security,1,intergroup competition intragroup cooperation,43,10.1037/e507552012-001,10.1037/e507552012-001,The Dynamics of Power and Trust for Intragroup and Intergroup Relations,2011,dataset,PsycEXTRA Dataset,type_not_allowed:dataset
crossref,conflict_security,1,intergroup competition intragroup cooperation,45,10.4324/9780203135457-10,10.4324/9780203135457-10,Intragroup Behaviour: Processes Within Groups,2006,book-chapter,Social Identifications,missing_anchor_group:intergroup
crossref,conflict_security,1,intergroup competition intragroup cooperation,46,10.1016/j.frl.2023.104090,10.1016/j.frl.2023.104090,"Intergroup competition, group status, and individuals’ cooperation behavior: Evidence from a laboratory experiment",2023,journal-article,Finance Research Letters,missing_anchor_group:intragroup|within group
crossref,conflict_security,1,intergroup competition intragroup cooperation,48,10.14325/mississippi/9781496810458.001.0001,10.14325/mississippi/9781496810458.001.0001,Minority Relations,2016,edited-book,,type_not_allowed:edited-book;missing_anchor_group:intergroup;missing_anchor_group:intragroup|within group
crossref,conflict_security,1,intergroup competition intragroup cooperation,50,10.1007/978-3-319-19650-3_302625,10.1007/978-3-319-19650-3_302625,Intragroup Competition,2021,book-chapter,Encyclopedia of Evolutionary Psychological Science,missing_anchor_group:intergroup
openalex,conflict_security,2,external threat internal cohesion rally around flag,1,https://openalex.org/W2123791715,10.1017/s0020818311000233,Explaining External Support for Insurgent Groups,2011,article,Political Conflict and Governance,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,4,https://openalex.org/W4392917994,10.1177/14651165241237136,The Russian threat and the consolidation of the West: How populism and EU-skepticism shape party support for Ukraine,2024,article,"Populism, Right-Wing Movements",missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,6,https://openalex.org/W3166879895,10.33134/hup-9,Nexus of Patriotism and Militarism in Russia: A Quest for Internal Cohesion,2021,book,Eastern European Communism and Reforms,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,8,https://openalex.org/W2129432831,10.1177/0146167204267988,Deliver us from Evil: The Effects of Mortality Salience and Reminders of 9/11 on Support for President George W. Bush,2004,article,Death Anxiety and Social Exclusion,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,9,https://openalex.org/W2084242050,10.1080/13510347.2013.738860,"The three pillars of stability: legitimation, repression, and co-optation in autocratic regimes",2013,article,Social Policy and Reform Studies,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,10,https://openalex.org/W4210771594,10.4324/9781003133520,"""Worse than communism and Nazism put together"": War on gender in Poland",2021,review,"Populism, Right-Wing Movements",type_not_allowed:review;missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,11,https://openalex.org/W3125172172,,The Supreme Court During Crisis: How War Affects only Non-War Cases,2005,article,American Constitutional Law and Politics,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,12,https://openalex.org/W296100823,10.1080/03066150903143079,Food sovereignty,2009,article,Human Rights and Development,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,13,https://openalex.org/W2155438929,10.5465/amj.2008.0355,"Activists and Incumbents Structuring Change: The Interplay of Agency, Culture, and Networks in Field Evolution",2012,article,Management and Organizational Studies,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,14,https://openalex.org/W4313467560,10.3389/fsoc.2022.989831,Trust and compliance: Milieu-specific differences in social cohesion during the COVID-19 pandemic in Germany,2022,article,Social Capital and Networks,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,15,https://openalex.org/W3094100224,10.1017/nps.2020.93,Victims of the Pandemic? European Far-Right Parties and COVID-19,2020,article,"Populism, Right-Wing Movements",missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,16,https://openalex.org/W4211179769,10.1017/9781108890960,Social Media and Democracy,2020,book,Hate Speech and Cyberbullying Detection,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,17,https://openalex.org/W3185334682,10.3389/fpsyg.2021.704338,Perceived Level of Threat and Cooperation,2021,article,Social and Intergroup Psychology,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,18,https://openalex.org/W1550639390,,"Hydraulic Bureaucracies and the Hydraulic Mission: Flows of Water, Flows of Power",2009,other,Water Governance and Infrastructure,type_not_allowed:other;missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,19,https://openalex.org/W4399515604,10.1080/13501763.2024.2362762,The polycrisis and EU security and defence competences,2024,article,European and Russian Geopolitical Military Strategies,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,20,https://openalex.org/W2701310256,10.1080/17449057.2017.1339425,"Oppression, Solidarity, Resistance: The Forging of Kurdish Identity in Turkey",2017,article,Turkey's Politics and Society,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,21,https://openalex.org/W4307804568,10.1080/01402382.2022.2132448,The Brexit puzzle: polity attack and external rebordering,2022,article,European Union Policy and Governance,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,22,https://openalex.org/W4403470571,10.1057/s41311-024-00629-x,NATO after the invasion of Ukraine: how the shock changed alliance cohesion,2024,article,European and Russian Geopolitical Military Strategies,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,23,https://openalex.org/W2611268999,10.1146/annurev-psych-122216-011911,Attitudes and Attitude Change,2017,review,Cultural Differences and Values,type_not_allowed:review;missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,24,https://openalex.org/W2603334019,,Flags: Towards A New Understanding,2016,report,Military History and Strategy,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,25,https://openalex.org/W4394797823,10.1111/jcms.13591,The Geoeconomic Turn of the Single European Market? Conceptual Challenges and Empirical Trends,2024,article,State Capitalism and Financial Governance,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,26,https://openalex.org/W2126155747,10.1111/j.2040-0209.2012.00405.x,Resilience: New Utopia or New Tyranny? Reflection about the Potentials and Limits of the Concept of Resilience in Relation to Vulnerability Reduction Programmes,2012,article,Disaster Management and Resilience,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,27,https://openalex.org/W4390545123,10.1177/00031224231208723,Threats to Blue Networks: The Effect of Partner Injuries on Police Misconduct,2024,article,Policing Practices and Perceptions,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,28,https://openalex.org/W4390483108,10.1080/2474736x.2023.2299121,Did Russia’s invasion of Ukraine unite Europe? Cohesion and divisions of the European Parliament on Twitter,2024,article,European Union Policy and Governance,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,29,https://openalex.org/W3212461426,10.1177/14789299211056193,Determinants of Political Trust during the Early Months of the COVID-19 Pandemic: Putting Policy Performance into Evidence,2021,article,COVID-19 Pandemic Impacts,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,30,https://openalex.org/W4390544548,10.1140/epjds/s13688-023-00441-2,The Russian invasion of Ukraine selectively depolarized the Finnish NATO discussion on Twitter,2024,article,Social Media and Politics,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,31,https://openalex.org/W3137696207,10.1017/9781108890960,"Social media and democracy : the state of the field, prospects for reform",2020,article,Hate Speech and Cyberbullying Detection,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,32,https://openalex.org/W2472246917,10.7228/manchester/9781526114013,Loud and proud: Passion and politics in the English Defence League,2016,book,Labor Movements and Unions,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,33,https://openalex.org/W2090906776,10.1093/jaarel/lxiv.4.767,Blood Sacrifice and the Nation: Revisiting Civil Religion,1996,article,American Constitutional Law and Politics,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,34,https://openalex.org/W2119244313,10.5787/40-3-1030,The Suppression of Internal Unrest in South West Africa (Namibia) 1921–1933,2013,article,South African History and Culture,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,35,https://openalex.org/W2066157602,10.1371/journal.pone.0078208,Conceptualizing Community Mobilization for HIV Prevention: Implications for HIV Prevention Programming in the African Context,2013,article,Adolescent Sexual and Reproductive Health,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,36,https://openalex.org/W4205164571,10.1787/eae0ec5a-en,Enhancing public trust in COVID-19 vaccination: The role of governments,2021,report,Vaccine Coverage and Hesitancy,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,37,https://openalex.org/W4405316190,10.1016/j.jdeveco.2024.103426,"Identity conflict, ethnocentrism and social cohesion",2024,article,Political Conflict and Governance,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,38,https://openalex.org/W2176560897,,Fear and frustration : rising state perceptions of threats and opportunities,2015,dissertation,Peacebuilding and International Security,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,39,https://openalex.org/W2912465805,10.1093/isr/viz007,"Populism, Hindu Nationalism, and Foreign Policy in India: The Politics of Representing “the People”",2019,article,"Populism, Right-Wing Movements",missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,40,https://openalex.org/W1603524399,10.1111/j.1468-2478.2010.00620.x,"When Is Domestic Political Unrest Related to International Conflict? Diversionary Theory and Japanese Foreign Policy, 1890-19411",2010,article,Political Conflict and Governance,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,41,https://openalex.org/W4282940098,10.1007/s11292-022-09508-y,Unexpected events during survey design and trust in the police: a systematic review,2022,review,Policing Practices and Perceptions,type_not_allowed:review;missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,42,https://openalex.org/W2170350599,10.1080/00045600801922422,Diamond Wars? Conflict Diamonds and Geographies of Resource Wars,2008,article,Political Conflict and Governance,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,43,https://openalex.org/W4283448512,10.1007/s00146-022-01499-8,Artificial intelligence with American values and Chinese characteristics: a comparative analysis of American and Chinese governmental AI policies,2022,article,Ethics and Social Impacts of AI,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,44,https://openalex.org/W3019724386,10.7592/ejhr2020.8.1.greenberg,Humor as a threat-coding mechanism,2020,article,Humor Studies and Applications,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,45,https://openalex.org/W3123136036,,A well-organized plày: symbolic politics and the effect of the Pro-Putin rallies,2012,preprint,Political Conflict and Governance,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,47,https://openalex.org/W3215786884,10.3389/fcomm.2021.624643,"“Kung Flu”—The Dynamics of Fear, Popular Culture, and Authenticity in the Anatomy of Populist Communication",2021,article,Misinformation and Its Impacts,missing_anchor_group:rally|wartime|external threat|common enemy
openalex,conflict_security,2,external threat internal cohesion rally around flag,48,https://openalex.org/W849900380,,"Threats Made, Threats Posed School and Judicial Analysis in Need of Redirection",2003,article,Legal Issues in Education,missing_anchor_group:rally|wartime|external threat|common enemy
