record_id,stable_id,title,year,domain,coder_id,coding_round,source_verified,screen_stage1,opposition_valid,opposition_rationale,x_construct,opposite_construct,actor_switch,level_switch,time_switch,construct_switch,environment_switch,feedback,nonlinearity,selection_filtering,power_asymmetry,primary_mechanism,study_design,evidence_mode,evidence_tier,causal_claim_strength,result_support,mediator,moderator,boundary_conditions,counterevidence,oci_candidate,exclusion_reason,notes
P19,PMID:26151919,Psychological Treatments That Cause Harm,2007,clinical psychology,B,independent-1,yes,pass,yes,"Objective deterioration co-occurring with reported benefit, plus paradoxical anxiety increase during an anxiety-reduction procedure, are function-inversions specified by clinical theory rather than lexical opposites.",dose of a specified psychological treatment or prevention programme,"enduring client deterioration relative to no treatment, and symptom worsening in the targeted domain",yes,no,yes,yes,no,no,no,no,no,construct_substitution,narrative critical review plus conceptual taxonomy; aggregates others' RCTs and meta-analyses with reported effect sizes,review,E2,moderate,partial,premature termination of exposure to anxiety-provoking stimuli; vicarious modelling of maladaptive coping,"diagnosis and subgroup (normal vs traumatic grief, panic-prone patients, early adolescence)","the author's definition requires enduring harm, excluding short-term exacerbation, and demands Level I or II evidence","boot-camp meta-analysis found no significant overall effects and no moderators explaining the split (9 positive, 8 iatrogenic, 12 null); peer-programme and DARE support is weak; CISD harm post-hoc at one time point",yes,,"PMID 26151919 is high only because of retrospective deposit; the record is Lilienfeld 2007, Perspectives on Psychological Science 2(1), 53-70, DOI 10.1111/j.1745-6916.2007.00029.x. Nominal-vs-effective split (recipients report benefit while objective indices worsen) drives the mechanism choice."
P20,10.1037/a0036402,Effects of normative feedback for drinkers who consume less than the norm: Dodging the boomerang,2014,addiction psychology,B,independent-1,yes,pass,yes,"Same norm-referenced function inversion as P16, defined against a threshold at the local norm; the authors state the predicted increase explicitly.",personalised descriptive-norm feedback delivered to drinkers below the local norm,"increased drinks per week, the opposite of the intervention's function",no,yes,no,yes,yes,no,yes,no,no,level_switch,secondary reanalysis of four parallel randomised controlled trials with assessment-only controls; mixed-effects ANOVA per sample,empirical,E4,strong,no,"awareness of discrepancy from the norm (the assumed boomerang route, untested here)","intervention composition and delivery modality (computer only vs counsellor-delivered multi-component), baseline position relative to the local norm, follow-up timing","norm position defined relative to the local campus norm, not an absolute light-drinking definition","no boomerang emerged in any of the four samples (all interactions ns, one in the reduction direction); the paper concedes its subsamples are underpowered and that campaign colleges did show increases (Wechsler et al. 2003)",yes,,An unobserved reversal in a test of the exact schema relation: kept as a candidate with result_support=no per the handoff's explicit instruction. Author manuscript at PMC4169697 read in full.
P21,10.1016/j.enpol.2008.12.003,Jevons’ Paradox revisited: The evidence for backfire from improved energy efficiency,2009,energy economics,B,independent-1,partial,pass,yes,"Efficiency improvement and cumulative resource use are functionally opposed in the paradox's own definition, with a 100%-rebound threshold operationalising the opposition; admissible via domain theory and an outcome complement, not lexical antonymy.",economically justified energy-efficiency improvement at the device or partial-equilibrium level,"economy-wide energy use, increased rather than reduced",no,yes,no,no,yes,yes,yes,no,no,level_switch,critical conceptual and empirical review of the Jevons/Brookes/Saunders case; no original econometric estimate,review,E2,moderate,partial,"rebound: productivity, price and income effects feeding aggregate demand and growth",rebound magnitude relative to the 100% backfire threshold; role of energy in driving productivity and growth,backfire requires rebound > 100%; the inference from partial to economy-wide equilibrium is where the case weakens,"the paper's own conclusion is that evidence for Jevons' Paradox is far from conclusive, with empirical and theoretical weaknesses identified in the strong claim",yes,,"Abstract-level verification only (Elsevier and figshare copy 403); no rebound figure could be confirmed, so no numeric claim is coded. Authors use 'Paradox' and 'backfire'."
P22,10.1111/ijmr.70027,The road to hell is paved with good intentions: A review and research agenda on rebound effects and win–win strategies,2026,management/environment,B,independent-1,yes,pass,yes,"The paper's contribution is a formal construct distinction: technical eco-efficiency gains versus realised ends, named means-ends decoupling, which specifies incompatible functional states.",efficiency improvements and win-win strategies adopted to raise environmental performance,"realised environmental performance, partially or fully offset by increased demand",no,yes,no,yes,yes,yes,no,no,no,construct_substitution,"systematic literature review with bibliometrics and content analysis, plus a conceptual taxonomy and research agenda (156 references)",review,E2,weak,partial,"rebound as means-ends decoupling: how decision-makers perceive, manage or ignore rebound",type of win-win strategy and whether rebound is understood and acted upon,authors target clarification of when win-win claims are unreliable; the four types' boundary conditions are unstated at the accessible level,states the field has not systematically engaged with rebound; no quantitative synthesis or null result reported,yes,,"OnlineFirst status confirmed: published 6 May 2026, no volume/issue/pagination yet, 0 citers. Title proverb is rhetorical but the operative terms are technical; body text 403 from Wiley, so taxonomy detail is UNVERIFIED."
P23,10.1016/S0191-2615(96)00024-0,Braess' paradox: Some new insights,1997,transportation science,B,independent-1,yes,pass,yes,"Travel cost and network capacity are formal complements in the equilibrium definition; the paradox is a proven existence result with stated parameter conditions, not antonymy.",addition of a link (capacity augmentation) in a congested network,higher total system travel cost at decentralised user equilibrium,yes,yes,no,no,yes,yes,yes,no,no,strategic_feedback,formal analytical study of the classical Braess configuration with user-equilibrium assignment and congestion functions; no field data,formal,E0,strong,partial,route-choice externality: each user's response to the new link raises others' costs,"congestion-function parameters, network topology, total demand level, presence of marginal-cost pricing",occurs only for total demand in an intermediate range whose bounds depend on congestion parameters; marginal-cost pricing restores the intended gain over stated ranges,"the paper's own second result is a deflation: adding a link need not raise costs under pricing, and the paradox is not generic",yes,,"RePEc abstract verified; journal confirmed as Transportation Research Part B 31(3), 265-276. Numeric bounds UNVERIFIED (closed text)."
P24,10.1016/j.trb.2023.102832,Bibliometric analysis and systematic literature review of the traffic paradoxes (1968–2022),2023,transportation science,B,independent-1,partial,pass,yes,The review restates the formal complement at issue (link addition raising cost for all users); the opposition is inherited from the underlying models rather than lexically asserted.,"network, capacity or information changes (link addition, mode substitution, information provision)","higher travel cost for all users, and analogous cost increases in the dynamic and multimodal variants",no,yes,no,no,yes,yes,no,no,no,strategic_feedback,bibliometric analysis plus systematic literature review of the traffic-paradox literature 1968-2022; no original test or estimate,review,E2,weak,not_tested,assignment regime (user vs system optimum) as the review's organising mechanism,"network topology, demand level, static vs dynamic assignment, mode substitution, information provision","the review's own scope condition: paradoxes are classified as static, dynamic, multimodal, other, and applied observations",no claim that the paradoxes fail in real networks could be verified from the accessible abstract,yes,,"Classification-only contribution; candidate status comes from the representability of the anchor claim it synthesises, so E2/weak/not_tested carry the evidence discount. Corpus sizes and per-theme counts UNVERIFIED (text closed). Primary mechanism assigned to the anchor Braess case; the informational and multimodal variants differ."
P25,10.1007/s11069-024-06774-z,Safe development paradox: evidence and methodological insights from a systematic review,2024,natural hazards/risk,B,independent-1,yes,pass,yes,"Realised safety and realised risk are the same indexed variable's opposed states, with the paper's own mechanism (protected development plus false sense of safety) specifying the incompatibility; a named sub-phenomenon (levee effect) operationalises it.","investment in hazard risk-reduction measures (levees and dams, insurance, land-use rules, codes)","long-run realised flood risk and damage, increased",yes,yes,yes,yes,yes,yes,yes,no,no,temporal_reversal,"ROSES-standard systematic review of empirical case studies (158 records screened to 40 analysed), no pooled effect estimate",review,E2,moderate,yes,development inside protected areas; reduced preparedness/false sense of safety; amplified damage from rare events,policy spatial scale (district and municipal plans more prone than regional or state); non-structural measures can both enhance and mitigate,requires residual risk: events exceeding the protection structure; long-run horizon,"1 of 40 studies refutes the pattern, 2 inconclusive; 40% are exposure-only with overestimation risk; heterogeneity prevented meta-analysis; the methods rule coding studies with ongoing mitigation as confirming is itself an inflation risk",yes,,"Open access, full text read. Time reversal chosen as primary because the paper's claim is short-run safety versus long-run damage; actor_switch (state builds, households develop) and construct_switch (protected is not flood-free) are also satisfied."
P26,10.5465/amr.2009.0223,Toward a Theory of Paradox: A Dynamic Equilibrium Model of Organizing,2011,organization science,B,independent-1,partial,pass,no,"The unit of analysis is a persistent tension pair whose poles coexist; no variable's functional opposite is produced by increasing it, and the model's claim is oscillation toward dynamic equilibrium.",competing demand poles (e.g. exploration vs exploitation) managed over time,none: both poles coexist rather than one being the inverted state of the other,no,no,yes,no,yes,yes,no,no,no,none,theoretical essay and conceptual review proposing a dynamic-equilibrium model; no new data,conceptual,E0,none,not_tested,cyclical responses to paradoxical tensions,environmental dynamism and competitiveness intensifying tensions,"applies to persistent, interdependent polarities, not to reversible states",notes fundamental debates in the literature it reviews,no,"Organising-tension theory: no do(X_i up) -> O(X)_j up representation. Over-emphasis produces a reactive shift to the other pole, which is oscillation, not the production of an opposite by its own increase.","High-value negative example: the most-cited general 'theory of paradox' fails the strict definition, which is exactly what the schema's S5 and S7 exclusions anticipate. Body text 403 (AOM); the widely attributed typology is deliberately not used."
P27,10.5465/amj.2011.0932,Dynamic Decision Making: A Model of Senior Leaders Managing Strategic Paradoxes,2014,organization science,B,independent-1,partial,fail,no,"No admissible opposition is defined in the accessible text; the claims concern inconsistent handling of interwoven tensions, not one construct producing its inverse.",senior-leader decision and framing practices vis-a-vis strategic tensions,none specified,no,yes,yes,no,no,yes,no,no,no,none,"qualitative process study informing a model; abstract verifies six leadership teams, further design detail unobtainable",empirical,E1,weak,not_tested,differentiating and integrating framing practices; temporal sequencing of decisions,none quantified,six teams in large firms; generalisation explicitly limited,whether any team's paradox framing failed could not be verified,no,Process model of tension management; no indexed causal inversion claim and no identification. Retained as a negative example.,"The phrase 'consistent inconsistency' appeared only in a retrieval summary of the abstract and could not be verified verbatim, so it is not used in coding. AOM full text 403; no OA copy located."
P28,10.1093/gigascience/giz053,Over-optimization of academic publishing metrics: observing Goodhart's Law in action,2019,scientometrics,B,independent-1,yes,pass,yes,"A measure's informational validity and its optimisation are specified as incompatible states by Goodhart's Law, which the paper names and demonstrates; admissible via domain theory and outcome complement.",degree to which a bibliometric measure is used as an evaluation target (and optimised),"the measure's validity, informativeness and accuracy, which are destroyed",yes,yes,yes,yes,yes,yes,no,no,no,construct_substitution,"large-scale descriptive bibliometric trend analysis (>120M papers, 528M references, >20k journals, >2600 fields) with no inferential statistics",empirical,E1,moderate,partial,"inflation channels: more authors, shorter papers, longer reference lists, self-citation, volume surge, 'academic clickbait', editor risk-aversion",extent to which a field or journal treats the measure as a target; hypercompetitive evaluation environment,the claim is historical and descriptive: measures degrade as they become targets; no counterfactual identification offered,"authors allow other factors, offer hypercompetition as an alternative account, contradict Fanelli & Lariviere on productivity, and flag the post-2014 paper-count decline as a data artifact",yes,,"Open access full text read (PMC6541803). Nominal count keeps rising while the function collapses, so construct_switch is the primary index; no 'paradox' or 'backfire' in the authors' own prose, only Goodhart's and Campbell's Law."
P29,10.1002/smj.4250131009,Core capabilities and core rigidities: A paradox in managing new product development,1992,strategic management,B,independent-1,yes,pass,yes,"Capabilities and their 'dysfunctional flip side' (core rigidities) are a named, theoretically specified incompatible pair with their own generative mechanisms, satisfying the domain-theory route.","depth and entrenchment of a firm's core capabilities (technical systems, managerial systems, skills, values)",inflexibility that blocks the same firm's new product and process development,no,yes,yes,yes,yes,no,no,no,no,level_switch,theoretical essay illustrated by 20 case studies across five firms; no statistical test,conceptual,E0,none,not_tested,values as the fourth dimension rooting the other three; protective routines and inherited problem-solving,"environmental/technological discontinuity, which flips an operating-level asset into an innovation-level liability",reversal is regime-conditional: capabilities enable routine performance but inhibit development under discontinuity,no disconfirming case identifiable from the accessible abstract,yes,,The abstract itself frames it as a paradox ('how to take advantage of capabilities without being hampered by their dysfunctional flip side'). The three standard rigidity mechanisms could not be verified from accessible text and are excluded. OpenAlex carries an abridged version of one abstract clause; AOM/Wiley full text 403.
P30,10.3389/fpsyg.2018.01052,Counterfinality: On the Increased Perceived Instrumentality of Means to a Goal,2018,social psychology,B,independent-1,yes,pass,yes,Detrimentality to an alternative goal and instrumentality for the focal goal are specified as inversely related by the authors' own contrast with the dilution effect; admissible via domain theory and an outcome complement rather than lexical antonymy.,perceived detrimentality/cost of a means to an alternative goal,perceived instrumentality/effectiveness of that same means for the focal goal,yes,no,no,yes,yes,no,yes,no,no,construct_substitution,"five experiments (one correlational survey, three randomised between-subjects experiments, one moderated-mediation study; total N approximately 692 plus 48 raters)",empirical,E4,strong,yes,"perceived detrimentality (pain, burning sensation) feeding inferred instrumentality","focal-goal magnitude x alternative-goal magnitude x detrimentality (three-way, replicated: b=0.22, p=0.009 and b=0.22, p=0.002, dR2=0.04)","reversal appears only when commitment to both the focal and the alternative goal is high; the outcome is perceived, not actual, instrumentality","all main effects and two-way interactions were null or marginal in Studies 4 and 5; the authors concede possible underpowered studies, a mixed two-sided-communication literature, and a momentary rather than durable picture",yes,,"Two internal reporting inconsistencies noted (a p=0.779 with b=-0.28; a b=0.55 with CI [0.87,1.01] excluding it), so effect claims are read conservatively. Reversal is epistemic (judgement), which is why construct_switch is the primary index. Full text read (Frontiers XML)."
