feasibility_id,calendar_stratum,target_doi,notice_or_source_doi,update_type,outcome_date,assertion_source,relation_label,source_work_title,source_work_date,target_title_current,target_title_has_status_marker,target_published,target_year,target_journal,target_type,issue_family_codes,ground_truth_tier,required_artifact_roles,content_detectability,adjudication_state,adjudication_notes
F016,2017,10.1016/j.neulet.2017.02.059,10.1016/j.neulet.2017.07.011,retraction,2017-03-01,retraction-watch,Retraction,NSL_ 32671: Retraction notice to Early hyperbaric oxygen therapy may improve the long term neurological consequences of diabetic patients suffering from hemorrhagic stroke [Neuroscience Letters 644 (2017) 83–86],2017-03-01,RETRACTED: Early hyperbaric oxygen therapy may improve the long term neurological consequences of diabetic patients suffering from hemorrhagic stroke,True,2017-03-01,2017,Neuroscience Letters,journal-article,,,,,UNASSESSED,
F017,2018,10.1371/journal.pone.0200569,10.1371/journal.pone.0202835,correction,2018-08-16,publisher,Correction,Correction: Molecular characterization and sensitivity to demethylation inhibitor fungicides of Aspergillus fumigatus from orange-based compost,2018-08-16,Molecular characterization and sensitivity to demethylation inhibitor fungicides of Aspergillus fumigatus from orange-based compost,False,2018-07-12,2018,PLOS ONE,journal-article,,,,,UNASSESSED,
F018,2018,10.1007/s10973-018-7296-6,10.1007/s10973-018-7465-7,correction,2018-06-11,publisher,Correction,Correction to: Ethylethanolammonium 4-nitrobenzoate,2018-06-11,Ethylethanolammonium 4-nitrobenzoate,False,2018-04-23,2018,Journal of Thermal Analysis and Calorimetry,journal-article,,,,,UNASSESSED,
F019,2018,10.1007/s10068-018-0353-x,10.1007/s10068-018-0398-x,correction,2018-06-12,publisher,Correction,Publisher Correction to: Multiple articles in Food Science and Biotechnology,2018-06-12,Hydrophilic and lipophilic characteristics of non-fatty acid moieties: significant factors affecting antibacterial activity of lauric acid esters,False,2018-03-15,2018,Food Science and Biotechnology,journal-article,,,,,UNASSESSED,
F020,2018,10.1007/s10068-018-0342-0,10.1007/s10068-018-0398-x,correction,2018-06-12,publisher,Correction,Publisher Correction to: Multiple articles in Food Science and Biotechnology,2018-06-12,Improvement of gastroprotective and anti-ulcer effect of kenaf seed oil-in-water nanoemulsions in rats,False,2018-03-01,2018,Food Science and Biotechnology,journal-article,,,,,UNASSESSED,
F021,2018,10.1007/bf03028212,10.1007/s12540-018-0048-0,retraction,2018-02-26,retraction-watch,Retraction,Retraction Note to: Experimental and Simulation Studies on Grain Growth in TiC- and WC-Based Cermets During Liquid Phase Sintering,2018-02-26,RETRACTED ARTICLE: Experimental and simulation studies on grain growth in TiC and WC-based cermets during liquid phase sintering,True,2000-06-01,2000,Metals and Materials International,journal-article,,,,,UNASSESSED,
F022,2018,10.1016/j.biopha.2018.04.051,10.1016/j.biopha.2018.04.051,retraction,2018-07-01,publisher,Retraction,RETRACTED: Tanshinone IIA protects murine chondrogenic ATDC5 cells from lipopolysaccharide-induced inflammatory injury by down-regulating microRNA-203a,2018-07-01,RETRACTED: Tanshinone IIA protects murine chondrogenic ATDC5 cells from lipopolysaccharide-induced inflammatory injury by down-regulating microRNA-203a,True,2018-07-01,2018,Biomedicine &amp; Pharmacotherapy,journal-article,,,,,UNASSESSED,
F023,2018,10.1016/j.jclinane.2018.04.009,10.1016/j.jclinane.2018.04.009,retraction,2018-08-01,publisher,Retraction,RETRACTED: Pneumothorax after the erector spinae plane block,2018-08-01,RETRACTED: Pneumothorax after the erector spinae plane block,True,2018-08-01,2018,Journal of Clinical Anesthesia,journal-article,,,,,UNASSESSED,
F024,2018,10.1557/adv.2018.524,10.1557/adv.2018.561,retraction,2018-09-19,retraction-watch,Retraction,Retraction Note: Conformal Coating of Metallic Shells on Carbon Nanotube Turfs – RETRACTION,2018-09-18,Conformal Coating of Metallic Shells on Carbon Nanotube Turfs,False,2018-07-31,2018,MRS Advances,journal-article,,,,,UNASSESSED,
F025,2019,10.1038/s41598-017-12720-w,10.1038/s41598-019-42589-w,correction,2019-04-17,publisher,Correction,Author Correction: Effect of Low-Dose Alcohol Consumption on Inflammation Following Transient Focal Cerebral Ischemia in Rats,2019-04-17,Effect of Low-Dose Alcohol Consumption on Inflammation Following Transient Focal Cerebral Ischemia in Rats,False,2017-10-02,2017,Scientific Reports,journal-article,,,,,UNASSESSED,
F026,2019,10.1186/s13075-019-1880-4,10.1186/s13075-019-1897-8,correction,2019-05-06,publisher,Correction,Correction to: Drug tolerability and reasons for discontinuation of seven biologics in 4466 treatment courses of rheumatoid arthritis—the ANSWER cohort study,2019-05-06,Drug tolerability and reasons for discontinuation of seven biologics in 4466 treatment courses of rheumatoid arthritis—the ANSWER cohort study,False,2019-04-11,2019,Arthritis Research &amp; Therapy,journal-article,,,,,UNASSESSED,
F027,2019,10.1017/s0021875818001470,10.1017/s0021875819000495,correction,2019-05-28,publisher,Correction,"Whiteness and Masculinity in Richard Lou’s
                    <i>ReCovering Memphis: ReContexting Bodies</i>
                    – CORRIGENDUM",2019-09-28,"Whiteness and Masculinity in Richard Lou's
                    <i>ReCovering Memphis: ReContexting Bodies</i>",False,2019-01-08,2019,Journal of American Studies,journal-article,,,,,UNASSESSED,
F028,2019,10.1038/s41371-019-0166-2,10.1038/s41371-019-0278-8,correction,2019-10-23,publisher,Correction,Correction: The effects of melatonin supplementation on blood pressure in patients with metabolic disorders: a systematic review and meta-analysis of randomized controlled trials,2019-10-23,The effects of melatonin supplementation on blood pressure in patients with metabolic disorders: a systematic review and meta-analysis of randomized controlled trials,False,2019-01-15,2019,Journal of Human Hypertension,journal-article,,,,,UNASSESSED,
F029,2019,10.1016/j.matpr.2019.07.369,10.1016/j.matpr.2019.07.369,retraction,2019-08-13,publisher,Retraction,WITHDRAWN: Cutting force analysis in hard turning of AISI 52100 steel using multi-layer coated carbide inserts-RSM approach,2019-08-01,WITHDRAWN: Cutting force analysis in hard turning of AISI 52100 steel using multi-layer coated carbide inserts-RSM approach,True,2019-08-01,2019,Materials Today: Proceedings,journal-article,,,,,UNASSESSED,
F030,2019,10.1016/j.cja.2018.12.013,10.1016/j.cja.2018.12.013,retraction,2019-03-01,publisher,Retraction,RETRACTED: A new dynamic pushback control method for reducing fuel-burn costs: Using predicted taxi-out time,2019-03-01,RETRACTED: A new dynamic pushback control method for reducing fuel-burn costs: Using predicted taxi-out time,True,2019-03-01,2019,Chinese Journal of Aeronautics,journal-article,,,,,UNASSESSED,
F031,2019,10.1139/cjp-2017-0896,10.1139/cjp-2019-0106,retraction,2019-02-26,retraction-watch,Retraction,Retraction: Einstein–Maxwell theory without symmetry and examples of geodesics in space with torsion,2019-03-01,Einstein-Maxwell Theory without Symmetry and Examples of Geodesics in Space with Torsion,False,2019-03-01,2019,Canadian Journal of Physics,journal-article,,,,,UNASSESSED,
F032,2019,10.1016/j.biopha.2019.108683,10.1016/j.biopha.2019.108683,retraction,2019-06-01,publisher,Retraction,RETRACTED: Up-regulation of microRNA-223 inhibits brain injury and hippocampal neuron apoptosis of rats after febrile seizure through the NLRP3-Caspase-1 signaling pathway,2019-06-01,RETRACTED: Up-regulation of microRNA-223 inhibits brain injury and hippocampal neuron apoptosis of rats after febrile seizure through the NLRP3-Caspase-1 signaling pathway,True,2019-06-01,2019,Biomedicine &amp; Pharmacotherapy,journal-article,,,,,UNASSESSED,
F033,2020,10.1177/0192623319867322,10.1177/0192623320965619,correction,2020-10-07,publisher,Correction,Corrigendum,2020-10-07,"Atlas of Normal Microanatomy, Procedural and Processing Artifacts, Common Background Findings, and Neurotoxic Lesions in the Peripheral Nervous System of Laboratory Animals",False,2019-08-19,2019,Toxicologic Pathology,journal-article,,,,,UNASSESSED,
F034,2020,10.3758/s13414-020-02025-y,10.3758/s13414-020-02165-1,correction,2020-10-19,publisher,Correction,Correction to: Audiotactile integration in the Pacinian corpuscle’s maximum sensitivity frequency range,2020-10-19,Audiotactile integration in the Pacinian corpusclel’s maximum sensitivity frequency range,False,2020-04-27,2020,"Attention, Perception, &amp; Psychophysics",journal-article,,,,,UNASSESSED,
F035,2020,10.1177/1533033818791500,10.1177/1533033820973812,correction,2020-11-15,publisher,Correction,Corrigendum to “Prognostic Role of Neutrophil to Lymphocyte Ratio in Ovarian Cancer: A Meta-Analysis”,2020-11-15,Prognostic Role of Neutrophil to Lymphocyte Ratio in Ovarian Cancer: A Meta-Analysis,False,2018-08-27,2018,Technology in Cancer Research &amp; Treatment,journal-article,,,,,UNASSESSED,
F036,2020,10.1371/journal.pone.0208952,10.1371/journal.pone.0230384,correction,2020-03-06,publisher,Correction,Correction: Magic roundabout is an endothelial-specific ohnolog of ROBO1 which neo-functionalized to an essential new role in angiogenesis,2020-03-06,Magic roundabout is an endothelial-specific ohnolog of ROBO1 which neo-functionalized to an essential new role in angiogenesis,False,2019-02-25,2019,PLOS ONE,journal-article,,,,,UNASSESSED,
F037,2020,10.1177/0268396219881455,10.1177/0268396219890541,retraction,2020-02-11,retraction-watch,Retraction,WITHDRAWAL – Administrative Duplicate Publication: Robotics process automation at TECHSERV: An implementation case study,2020-02-11,WITHDRAWN – Administrative Duplicate Publication: Robotics process automation at TECHSERV: An implementation case study,True,2019-10-29,2019,Journal of Information Technology,journal-article,,,,,UNASSESSED,
F038,2020,10.1016/j.matpr.2020.10.076,10.1016/j.matpr.2020.10.076,retraction,2020-11-10,publisher,Retraction,WITHDRAWN: Critical review on software reliability models: Importance and application of reliability analysis in software development,2020-11-01,WITHDRAWN: Critical review on software reliability models: Importance and application of reliability analysis in software development,True,2020-11-01,2020,Materials Today: Proceedings,journal-article,,,,,UNASSESSED,
F039,2020,10.1007/s13577-019-00256-2,10.1007/s13577-020-00386-y,retraction,2020-06-18,retraction-watch,Retraction,Retraction Note to: miR-376a inhibits the proliferation and invasion of osteosarcoma by targeting FBXO11,2020-06-18,RETRACTED ARTICLE: miR-376a inhibits the proliferation and invasion of osteosarcoma by targeting FBXO11,True,2019-05-11,2019,Human Cell,journal-article,,,,,UNASSESSED,
F040,2020,10.5267/j.msl.2019.7.038,10.5267/j.msl.2020.10.0r3,retraction,2020-10-28,retraction-watch,Retraction,"Retraction Note: Teacher’s performance management: The role of principal’s leadership, work environment and motivation in Tegal City, Indonesia",2020-01-01,"Teacher’s performance management: The role of principal’s leadership, work environment and motivation in Tegal City, Indonesia",False,2020-01-01,2020,Management Science Letters,journal-article,,,,,UNASSESSED,
F041,2021,10.1186/s12859-021-04365-4,10.1186/s12859-021-04495-9,correction,2021-12-07,publisher,Correction,Correction to: ncDLRES: a novel method for non‑coding RNAs family prediction based on dynamic LSTM and ResNet,2021-12-07,ncDLRES: a novel method for non-coding RNAs family prediction based on dynamic LSTM and ResNet,False,2021-09-20,2021,BMC Bioinformatics,journal-article,,,,,UNASSESSED,
F042,2021,10.1007/s10479-020-03680-y,10.1007/s10479-021-04248-0,correction,2021-10-20,publisher,Correction,"Correction to: Financial modelling, risk management of energy instruments and the role of cryptocurrencies",2021-10-20,"Financial modelling, risk management of energy instruments and the role of cryptocurrencies",False,2020-07-02,2020,Annals of Operations Research,journal-article,,,,,UNASSESSED,
F043,2021,10.1080/03087298.2021.1989904,10.1080/03087298.2021.2015900,correction,2022-01-10,publisher,Correction,Correction,2022-01-10,Ten Dollar Faces: On Photographic Portraiture and Paper Money in the 1860s,False,2021-11-29,2021,History of Photography,journal-article,,,,,UNASSESSED,
F044,2021,10.1038/s41416-021-01318-9,10.1038/s41416-021-01426-6,correction,2021-05-10,publisher,Correction,Correction: Kinome-wide analysis of the effect of statins in colorectal cancer,2021-05-10,Kinome-wide analysis of the effect of statins in colorectal cancer,False,2021-03-19,2021,British Journal of Cancer,journal-article,,,,,UNASSESSED,
F045,2021,10.1007/s10772-021-09863-7,10.1007/s10772-021-09863-7,retraction,2021-07-09,publisher,Retraction,RETRACTED ARTICLE: Construction of voice access clustering model for online shopping user groups based on electronic communication data mining algorithm,2021-07-09,RETRACTED ARTICLE: Construction of voice access clustering model for online shopping user groups based on electronic communication data mining algorithm,True,2021-07-09,2021,International Journal of Speech Technology,journal-article,,,,,UNASSESSED,
F046,2021,10.1007/s12652-021-02990-8,10.1007/s12652-021-02990-8,retraction,2021-03-14,publisher,Retraction,RETRACTED ARTICLE: How avatar gender may influence users’ intention to use the second life environment: an empirical study,2021-03-14,RETRACTED ARTICLE: How avatar gender may influence users’ intention to use the second life environment: an empirical study,True,2021-03-14,2021,Journal of Ambient Intelligence and Humanized Computing,journal-article,,,,,UNASSESSED,
F047,2021,10.1111/1753-0407.12554,10.1111/1753-0407.13170,retraction,2021-03-24,retraction-watch,Retraction,RETRACTION,2021-03-24,"<i>Retracted</i>
                    : Evaluation of antidiabetic activity of biologically synthesized silver nanoparticles using
                    <i>Pouteria sapota</i>
                    in streptozotocin‐induced diabetic rats",True,2017-05-29,2017,Journal of Diabetes,journal-article,,,,,UNASSESSED,
F048,2021,10.1159/000494472,10.33594/000000464,retraction,2021-11-02,retraction-watch,Retraction,Retraction of: Erinacine Facilitates the Opening of the Mitochondrial Permeability Transition Pore Through the Inhibition of the PI3K/ Akt/GSK-3β Signaling Pathway in Human Hepatocellular Carcinoma,2021-10-30,Erinacine Facilitates the Opening of the Mitochondrial Permeability Transition Pore Through the Inhibition of the PI3K/ Akt/GSK-3β Signaling Pathway in Human Hepatocellular Carcinoma,False,2018-10-24,2018,Cellular Physiology and Biochemistry,journal-article,,,,,UNASSESSED,
F049,2022,10.1038/s41598-020-70924-z,10.1038/s41598-022-15043-7,correction,2022-06-28,publisher,Correction,Author Correction: ROR1 is upregulated in endometrial cancer and represents a novel therapeutic target,2022-06-28,ROR1 is upregulated in endometrial cancer and represents a novel therapeutic target,False,2020-08-17,2020,Scientific Reports,journal-article,,,,,UNASSESSED,
F050,2022,10.1038/srep16813,10.1038/s41598-022-06468-1,correction,2022-02-11,publisher,Correction,Author Correction: Crosstalk between SDF-1/CXCR4 and SDF-1/CXCR7 in cardiac stem cell migration,2022-02-11,Crosstalk between SDF-1/CXCR4 and SDF-1/CXCR7 in cardiac stem cell migration,False,2015-11-18,2015,Scientific Reports,journal-article,,,,,UNASSESSED,
F051,2022,10.1186/s13567-022-01058-5,10.1186/s13567-022-01131-z,correction,2022-12-19,publisher,Correction,Correction: HA gene amino acid mutations contribute to antigenic variation and immune escape of H9N2 influenza virus,2022-12-19,HA gene amino acid mutations contribute to antigenic variation and immune escape of H9N2 influenza virus,False,2022-06-15,2022,Veterinary Research,journal-article,,,,,UNASSESSED,
F052,2022,10.1038/s41598-022-10225-9,10.1038/s41598-022-11195-8,correction,2022-04-25,publisher,Correction,Author Correction: Exploring cellulose nanocrystals obtained from olive tree wastes as sustainable crop protection tool against bacterial diseases,2022-04-25,Exploring cellulose nanocrystals obtained from olive tree wastes as sustainable crop protection tool against bacterial diseases,False,2022-04-12,2022,Scientific Reports,journal-article,,,,,UNASSESSED,
F053,2022,10.1155/2022/1581282,10.1155/2022/9780218,retraction,2022-12-08,retraction-watch,Retraction,Retracted: Research on the Current Situation of College Students’ Physical Health under the Background of the Integration of Sports and Medicine,2022-12-08,Research on the Current Situation of College Students’ Physical Health under the Background of the Integration of Sports and Medicine,False,2022-04-13,2022,Journal of Healthcare Engineering,journal-article,,,,,UNASSESSED,
F054,2022,10.1002/hep.24293,10.1002/hep.32736,retraction,2022-09-08,retraction-watch,Retraction,"Retracted: Antitumor effects of OSU‐2S, a nonimmunosuppressive analogue of FTY720, in hepatocellular carcinoma",2022-09-08,"Antitumor effects of OSU-2S, a nonimmunosuppressive analogue of FTY720, in hepatocellular carcinoma",False,2011-06-01,2011,Hepatology,journal-article,,,,,UNASSESSED,
F055,2022,10.1002/cbin.11349,10.1002/cbin.11349,retraction,2020-03-28,retraction-watch,Retraction,Withdrawal: “Long Non‐coding RNA NEAT1 Drives the Development of Polycystic Ovary Syndrome via Sponging Multiple MicroRNAs” by Xia Sang and Yuzhen Zhang,2022-07-21,Withdrawal: “Long Non‐coding RNA NEAT1 Drives the Development of Polycystic Ovary Syndrome via Sponging Multiple MicroRNAs” by Xia Sang and Yuzhen Zhang,False,2022-07-21,2022,Cell Biology International,journal-article,,,,,UNASSESSED,
F056,2022,10.1007/s00521-018-3466-5,10.1007/s00521-022-08144-x,retraction,2022-12-19,retraction-watch,Retraction,Retraction Note: An Automatic Tamil Speech Recognition system by using Bidirectional Recurrent Neural Network with Self-Organizing Map,2022-12-19,RETRACTED ARTICLE: An Automatic Tamil Speech Recognition system by using Bidirectional Recurrent Neural Network with Self-Organizing Map,True,2018-04-09,2018,Neural Computing and Applications,journal-article,,,,,UNASSESSED,
F057,2023,10.1088/1538-3873/acf40c,10.1088/1538-3873/ad09d5,correction,2023-11-16,publisher,Correction,"Erratum: “The Steward Observatory LEO Satellite Photometric Survey” (2023, PASP, 135, 095003)",2023-11-16,The Steward Observatory LEO Satellite Photometric Survey,False,2023-09-21,2023,Publications of the Astronomical Society of the Pacific,journal-article,,,,,UNASSESSED,
F058,2023,10.1007/s43994-023-00087-w,10.1007/s43994-023-00102-0,correction,2023-11-17,publisher,Correction,"Correction: Employing plant DNA barcodes for pomegranate species identification in Al-Baha Region, Saudi Arabia",2023-11-17,"Employing plant DNA barcodes for pomegranate species identification in Al-Baha Region, Saudi Arabia",False,2023-10-24,2023,Journal of Umm Al-Qura University for Applied Sciences,journal-article,,,,,UNASSESSED,
F059,2023,10.1038/s41598-022-26292-x,10.1038/s41598-023-39073-x,correction,2023-07-25,publisher,Correction,Author Correction: Low-energy shock wave therapy ameliorates ischemic-induced overactive bladder in a rat model,2023-07-25,Low-energy shock wave therapy ameliorates ischemic-induced overactive bladder in a rat model,False,2022-12-19,2022,Scientific Reports,journal-article,,,,,UNASSESSED,
F060,2023,10.1080/10447318.2023.2169527,10.1080/10447318.2023.2201014,correction,2023-04-10,publisher,Correction,Correction,2023-04-10,"The Effects of Type and Form of Collaborative Robots in Manufacturing on Trustworthiness, Risk Perceived, and Acceptance",False,2023-02-01,2023,International Journal of Human–Computer Interaction,journal-article,,,,,UNASSESSED,
F061,2023,10.1155/2022/2604302,10.1155/2023/9823972,retraction,2023-08-09,retraction-watch,Retraction,Retracted: The Computer‐Aided Design Algorithm of Dyeing and Weaving Graphics from the Perspective of Public Art,2023-08-09,The Computer-Aided Design Algorithm of Dyeing and Weaving Graphics from the Perspective of Public Art,False,2022-05-25,2022,Computational Intelligence and Neuroscience,journal-article,,,,,UNASSESSED,
F062,2023,10.1155/2022/2301322,10.1155/2023/9790764,retraction,2023-09-20,retraction-watch,Retraction,Retracted: Reconstruction and Utilization of Energy Economy Information Resources against Humanistic Background,2023-09-20,Reconstruction and Utilization of Energy Economy Information Resources against Humanistic Background,False,2022-08-25,2022,International Transactions on Electrical Energy Systems,journal-article,,,,,UNASSESSED,
F063,2023,10.1155/2022/7143786,10.1155/2023/9809563,retraction,2023-10-04,retraction-watch,Retraction,Retracted: Thinking and Research on Ideology Education of University Student Based on Deep Learning in Small Sample Environment,2023-10-04,[Retracted] Thinking and Research on Ideology Education of University Student Based on Deep Learning in Small Sample Environment,True,2022-09-09,2022,Journal of Environmental and Public Health,journal-article,,,,,UNASSESSED,
F064,2023,10.1155/2021/6337431,10.1155/2023/9759738,retraction,2023-08-16,retraction-watch,Retraction,Retracted: Multimedia Digital Signal Processing of Infrared Chemical Remote Sensing Based on Piecewise Linear Discriminant Algorithm,2023-08-16,Multimedia Digital Signal Processing of Infrared Chemical Remote Sensing Based on Piecewise Linear Discriminant Algorithm,False,2021-09-20,2021,Advances in Multimedia,journal-article,,,,,UNASSESSED,
F065,2024,10.1007/s11631-024-00713-2,10.1007/s11631-024-00736-9,correction,2024-09-19,publisher,Correction,"Correction: Alkaline igneous rocks, a potential source of rare metals and radioactive minerals: Case study at Amreit area, south Eastern Desert, Egypt",2024-09-19,"Alkaline igneous rocks, a potential source of rare metals and radioactive minerals: Case study at Amreit area, south Eastern Desert, Egypt",False,2024-07-18,2024,Acta Geochimica,journal-article,,,,,UNASSESSED,
F066,2024,10.1126/sciadv.adl2232,10.1126/sciadv.adq4290,correction,2024-05-31,publisher,Correction,"Erratum for the Research Article: “Acoustic hologram–induced virtual in vivo enhanced waveguide (AH-VIEW)” by Lin
                    <i>et al</i>
                    .",2024-05-31,Acoustic hologram–induced virtual in vivo enhanced waveguide (AH-VIEW),False,2024-02-16,2024,Science Advances,journal-article,,,,,UNASSESSED,
F067,2024,10.3847/1538-3881/acda26,10.3847/1538-3881/ad1f68,correction,2024-02-29,publisher,Correction,"Erratum: “Variability of Known Exoplanet Host Stars Observed by TESS” (2023, AJ, 166, 72)",2024-02-29,Variability of Known Exoplanet Host Stars Observed by TESS,False,2023-07-20,2023,The Astronomical Journal,journal-article,,,,,UNASSESSED,
F068,2024,10.1080/23808985.2024.2323739,10.1080/23808985.2024.2327193,correction,2024-03-06,publisher,Correction,Correction,2024-03-06,A systematic review of social media research in Ghana: gaps and future research avenues,False,2024-02-26,2024,Annals of the International Communication Association,journal-article,,,,,UNASSESSED,
F069,2024,10.1155/2021/9988623,10.1155/2024/9821284,retraction,2024-01-24,retraction-watch,Retraction,Retracted: Real-Time Animation Complexity of Interactive Clothing Design Based on Computer Simulation,2024-01-24,[Retracted] Real‐Time Animation Complexity of Interactive Clothing Design Based on Computer Simulation,True,2021-05-11,2021,Complexity,journal-article,,,,,UNASSESSED,
F070,2024,10.1016/j.phycom.2024.102288,10.1016/j.phycom.2024.102288,retraction,2024-04-01,publisher,Retraction,RETRACTED: DL-SCA: An deep learning based approach for intra-class CutMix data augmentation,2024-04-01,RETRACTED: DL-SCA: An deep learning based approach for intra-class CutMix data augmentation,True,2024-04-01,2024,Physical Communication,journal-article,,,,,UNASSESSED,
F071,2024,10.1007/s11082-023-05787-5,10.1007/s11082-024-07598-8,retraction,2024-09-26,publisher,Retraction,Retraction Note: Evaluation of infrared image detection based on HOG feature extraction in swimmer training effectiveness,2024-09-26,RETRACTED ARTICLE: Evaluation of infrared image detection based on HOG feature extraction in swimmer training effectiveness,True,2023-12-14,2023,Optical and Quantum Electronics,journal-article,,,,,UNASSESSED,
