person_id,canonical_name,identity_status,verified_openalex_ids,cluster_completeness,known_work_match_n,topic_field_match,career_timing_match,conflicting_orcid,adjudication_status,notes
cv_Q6225153,John Carl Parish,VERIFIED_SINGLE,A5027199373,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: historian authority and 1929-1933 California-history works concordant; later namesake works require P3 filtering.
cv_Q7926394,Victor Thébault,VERIFIED_SINGLE,A5025602759,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: French geometer authority and geometry works concordant.
cv_Q18822352,Vikram Marwah,VERIFIED_SINGLE,A5027597196,not_applicable,2,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: orthopedic-surgeon authority and orthopedic works concordant.
cv_Q56329881,Armin Buschauer,VERIFIED_SINGLE,A5007797524,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: pharmacist/medicinal-chemistry authority and transporter/histamine-receptor works concordant.
cv_Q1679356,Jakob Sket,VERIFIED_SINGLE,A5047133009,not_applicable,1,true,false,false,first-review-locked-work-audit-pending,"MH-blind first review: exact later edition of Sket correspondence supports identity, but no lifetime OpenAlex production event; network remains held."
cv_Q108651,Valentin Haecker,VERIFIED_SINGLE,A5082428775,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: zoology/genetics authority and heredity/phänogenetics works concordant.
cv_Q3611354,Alfredo Boni,VERIFIED_SINGLE,A5109468760,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: geologist/paleontologist authority and 1941-1964 geology works concordant; later namesake works require P3 filtering.
cv_Q1717446,Jürgen Manthey,VERIFIED_SINGLE,A5066480268,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: German author/literary-critic authority and literary-history works concordant.
cv_Q5553312,Gertrude Elles,VERIFIED_SINGLE,A5041147725,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: British geologist authority and graptolite/geology works concordant.
cv_Q3596077,Francisco Tamayo,AMBIGUOUS_COLLISION,,,0,false,false,true,collision-unresolved-first-review,"MH-blind first review: historical botanist is independently well identified, but candidate OpenAlex profile is merged with a modern astronomer F. J. Tamayo ORCID and heavy posthumous contamination; person-level Author ID not accepted."
cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,A5065115676;A5117551307;A5032249959;A5068802409,moderate,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: sociology authority and four lifetime sociology fragments concordant; 2024-only fragment excluded.
cv_Q3052265,Émile Haumant,VERIFIED_CLUSTER,A5001687639;A5032545110,moderate,2,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: Slavic/Russian history-language authority and two lifetime fragments concordant.
cv_Q19850025,Oskar Simony,VERIFIED_CLUSTER,A5012920577;A5071357435,moderate,1,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: two contemporary topology manifestations concordant with mathematician authority; P3 deduplication required.
cv_Q3385700,Pierre L. G. Benoit,VERIFIED_CLUSTER,A5063335980;A5133441731,moderate,2,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: zoology/arachnology fragments are temporally and topically concordant.
cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,A5100268971;A5103302324;A5104375058;A5104740538;A5104676356;A5104793263;A5035950863,moderate,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: Austrian mathematician/number-theory fragments concordant; post-2018 namesakes excluded and mixed main fragment requires P3 cleanup.
cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,A5075417166;A5006728685,moderate,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: psychologist/sex-education authority and sexual-health/psychology fragments concordant.
cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,A5067845805;A5005844820,moderate,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: philosopher authority and core philosophy/Schelling works concordant; climate namesake and weak container fragments excluded.
cv_Q47216729,Alfonso W. Quiroz,VERIFIED_CLUSTER,A5096507866;A5073210039;A5110164869,moderate,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: Peruvian historian authority and economic-history fragments concordant; small temporal outliers require P3 cleanup.
cv_Q5712976,Folke Engström,VERIFIED_SINGLE,A5064616876,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: 1881-1902 astronomy profile concordant; 1981-1998 hot-gas namesake fragment excluded.
cv_Q1912572,Max Gerlach,AMBIGUOUS_COLLISION,,,0,false,false,false,collision-unresolved-first-review,MH-blind first review: every plausible OpenAlex fragment is dated 1993-2026 and incompatible with the 1861-1940 chemist.
cv_Q16945536,Algot Werin,VERIFIED_CLUSTER,A5040398759;A5076154763,moderate,2,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: two lifetime Swedish literary-history fragments concordant.
cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,A5028266044;A5074476770;A5081201328,moderate,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: Austrian economist authority and economics fragments concordant.
cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,A5002011970;A5003181856;A5147921722,moderate,2,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: German physicist authority and physics/chemistry fragments concordant.
cv_Q5294283,Donald E. Graves,EXCLUDED_IDENTITY_ERROR,,,0,false,false,false,excluded-first-review,MH-blind first review: candidate is the 1929-2008 U.S. intelligence analyst; candidate OpenAlex leads correspond to the distinct Canadian War-of-1812 military historian and other namesakes.
cv_Q693932,Arnim Bechmann,VERIFIED_CLUSTER,A5047717282;A5050704155;A5117838490,moderate,2,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: economist/planning authority and Nutzwertanalyse/environment-planning fragments concordant.
cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,A5050147955,not_applicable,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: 1953-1998 Purdue physical chemist/gas-phase-ion profile concordant; multiple other namesake fragments including a conflicting modern ORCID are excluded.
cv_Q15440160,Hans Arnsperger,VERIFIED_CLUSTER,A5011649383;A5098595922,moderate,2,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: German internist authority and contemporary internal-medicine fragments concordant.
cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,A5037385437;A5110908379,moderate,3,true,true,false,first-review-locked-work-audit-pending,MH-blind first review: German psychiatrist authority and psychiatry fragments concordant; modern manifestations require P3 filtering.
