person_id,canonical_name,identity_status,plausible_unique_works_n,deterministic_sample_rows_n,prior_explicit_keep_n,person_work_decision,network_release_approved,decision_evidence,reviewer,mh_blinded_at_work_lock,decision_date
cv_Q1679356,Jakob Sket,VERIFIED_SINGLE,0,0,0,HOLD_INSUFFICIENT_CLEAN_WORKS,false,"Mechanical person-level corpus has 0 plausible unique works (<5), so the frozen pilot minimum cannot be met; detailed cleaning cannot be required merely to inflate N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q108651,Valentin Haecker,VERIFIED_SINGLE,45,12,0,HOLD_UNRESOLVED_WORK_CONTAMINATION,false,"Terminal pre-exposure precision-first hold: >=5 mechanically plausible works exist, but deterministic audit and/or identity notes retain unresolved contamination, fragment, posthumous, container, or attribution risk. Person remains identity-verified but network-unobservable; no threshold is relaxed to increase N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q16945536,Algot Werin,VERIFIED_CLUSTER,2,2,0,HOLD_INSUFFICIENT_CLEAN_WORKS,false,"Mechanical person-level corpus has 2 plausible unique works (<5), so the frozen pilot minimum cannot be met; detailed cleaning cannot be required merely to inflate N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q3611354,Alfredo Boni,VERIFIED_SINGLE,7,7,0,RELEASE_SAMPLE_PASS,true,Full plausible corpus audit passed 7/7 works; all chronology/geology-concordant and 1941 focal paper independently confirmed.,ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,15,12,0,RELEASE_FULL_WORK_REVIEW,true,"Full explicit review covers all 15 plausible works: 11 KEEP, 2 duplicate/catalog manifestations consolidated, and 2 review/wrong-author manifestations excluded; no unresolved rows.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q118326,Ernst Rexer,VERIFIED_CLUSTER,16,12,0,RELEASE_FULL_WORK_REVIEW,true,Full explicit review covers all 16 plausible works: 15 KEEP and 1 Geleitwort/container fragment excluded; distinct same-title salt-crystal articles retained based on distinct DOI/year evidence; no unresolved rows.,ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q693932,Arnim Bechmann,VERIFIED_CLUSTER,4,4,0,HOLD_INSUFFICIENT_CLEAN_WORKS,false,"Mechanical person-level corpus has 4 plausible unique works (<5), so the frozen pilot minimum cannot be met; detailed cleaning cannot be required merely to inflate N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q1717446,Jürgen Manthey,VERIFIED_SINGLE,32,12,0,RELEASE_SAMPLE_PASS,true,Deterministic MH-blind work audit passed all 12 sampled plausible works with no sampled contamination; >=5 plausible works remain. Release is person-level and does not weaken frozen WORK_CODEBOOK.,ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,169,12,0,HOLD_UNRESOLVED_WORK_CONTAMINATION,false,"Terminal pre-exposure precision-first hold: >=5 mechanically plausible works exist, but deterministic audit and/or identity notes retain unresolved contamination, fragment, posthumous, container, or attribution risk. Person remains identity-verified but network-unobservable; no threshold is relaxed to increase N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q15440160,Hans Arnsperger,VERIFIED_CLUSTER,3,3,0,HOLD_INSUFFICIENT_CLEAN_WORKS,false,"Mechanical person-level corpus has 3 plausible unique works (<5), so the frozen pilot minimum cannot be met; detailed cleaning cannot be required merely to inflate N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q5553312,Gertrude Elles,VERIFIED_SINGLE,43,12,0,HOLD_UNRESOLVED_WORK_CONTAMINATION,false,"Terminal pre-exposure precision-first hold: >=5 mechanically plausible works exist, but deterministic audit and/or identity notes retain unresolved contamination, fragment, posthumous, container, or attribution risk. Person remains identity-verified but network-unobservable; no threshold is relaxed to increase N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,75,12,0,HOLD_UNRESOLVED_WORK_CONTAMINATION,false,"Terminal pre-exposure precision-first hold: >=5 mechanically plausible works exist, but deterministic audit and/or identity notes retain unresolved contamination, fragment, posthumous, container, or attribution risk. Person remains identity-verified but network-unobservable; no threshold is relaxed to increase N.",ARIS4C 000 pre-exposure evidence review,true,2026-09-19
