claim_id,domain,claim,value,unit,period_or_date,population_or_denominator,source,source_id,status,confidence,observed_or_modelled,notes
PART001,participant sacrifice,Participants enrolled in completed but unpublished AD/MCI trials,66655,participants,trial cohort analysed 2018,completed trials in study sample,Yilmaz et al. 2018,10.1016/j.trci.2018.03.005,VERIFIED,high,observed,"E3 research waste evidence; must NOT be called fraud."
PART002,participant sacrifice,Participants enrolled in unpublished discontinued AD/MCI trials,18246,participants,trial cohort analysed 2018,discontinued trials in study sample,Yilmaz et al. 2018,10.1016/j.trci.2018.03.005,VERIFIED,high,observed,"E3 research waste evidence; must NOT be called fraud."
PEER001,peer review labor,Estimated global volunteered peer-review labor per year,68500000,hours,2018 estimate cited in 2020 paper,global scholarly peer review,Hamilton et al. 2020 citing Publons 2018,10.7554/elife.62529,QUALIFIED,medium,modelled,"Contextual labor denominator only; ordinary reviewing is not waste."
SB001,sleeping beauty infrastructure,Scopus papers in large-scale Sleeping Beauty/Prince study,73000000,papers,study dataset reported 2021,multidisciplinary Scopus dataset,Miura Asatani Sakata 2021,10.1007/s41109-021-00389-0,QUALIFIED,high,observed,"Approximate reported dataset size; supports feasibility of large-scale delayed-recognition modeling."
SB002,sleeping beauty infrastructure,Citation links in large-scale Sleeping Beauty/Prince study,1200000000,citation links,study dataset reported 2021,multidisciplinary Scopus dataset,Miura Asatani Sakata 2021,10.1007/s41109-021-00389-0,QUALIFIED,high,observed,"Approximate reported dataset scale."
COST001,financial cost,US-affiliated retracted articles in NIH living-analysis universe,6081,articles,data assembled 2026,Retraction Watch plus NIH RePORTER,Sandoval-Lentisco Ioannidis 2026 preprint,10.64898/2026.07.04.26357187,QUALIFIED,medium,observed,"Preprint; not peer reviewed."
COST002,financial cost,US-affiliated retracted articles linked to at least one NIH grant,1725,articles,data assembled 2026,6081 US-affiliated retracted articles,Sandoval-Lentisco Ioannidis 2026 preprint,10.64898/2026.07.04.26357187,QUALIFIED,medium,observed,"28.4%; preprint."
COST003,financial cost,Attributed direct cost of NIH-funded retracted articles,440000000,USD 2026 dollars,data assembled 2026,NIH-linked retracted article subset,Sandoval-Lentisco Ioannidis 2026 preprint,10.64898/2026.07.04.26357187,QUALIFIED,medium,modelled,"Attribution model; preprint. Do not generalize by multiplying global R&D."
COST004,financial exposure,Investigator-held grants associated with retracted papers,4030000000,USD,data assembled 2026,NIH grants associated with retracted papers,Sandoval-Lentisco Ioannidis 2026 preprint,10.64898/2026.07.04.26357187,QUALIFIED,medium,observed,"Associated funding exposure; explicitly NOT equivalent to wasted dollars."
PMCONT001,evidence contamination,Life-science systematic reviews screened for retracted paper-mill incorporation,200000,systematic reviews,2013-2024,Web of Science life-science systematic reviews,Tang Cai 2025 JAMA Network Open,10.1001/jamanetworkopen.2025.15160,VERIFIED,high,observed,"Database/top-relevance restriction; not all global systematic reviews."
PMCONT002,evidence contamination,Systematic reviews incorporating at least one retracted paper-mill article into evidence synthesis,299,systematic reviews,2013-2024,200000 screened systematic reviews,Tang Cai 2025 JAMA Network Open,10.1001/jamanetworkopen.2025.15160,VERIFIED,high,observed,"Operational contamination required meta-analysis inclusion or use as supporting evidence in results."
PMCONT003,evidence contamination,Observed contamination rate by retracted paper-mill articles,0.15,percent,2013-2024,200000 screened systematic reviews,Tang Cai 2025 JAMA Network Open,10.1001/jamanetworkopen.2025.15160,VERIFIED,high,observed,"Detected/retracted paper-mill lower-bound pathway; not latent prevalence."
PMCONT004,post-retraction propagation,Citations to retracted paper-mill articles occurring after retraction,32.2,percent,2013-2024,385 qualifying citations in contaminated systematic reviews,Tang Cai 2025 JAMA Network Open,10.1001/jamanetworkopen.2025.15160,VERIFIED,high,observed,"124 of 385 citations occurred after retraction; 13 occurred >500 days after retraction."
PEER002,peer review labor,Estimated global reviewer labor in 2020,130000000,hours,2020,global journal peer review,Aczel Szaszi Holcombe 2021,10.1186/s41073-021-00118-2,QUALIFIED,medium,modelled,"Paper discussion reports over 130M hours (~15k years); overall reviewing is not waste and cannot be multiplied by bad-paper prevalence."
COST005,financial cost,Mean attributed direct cost per NIH-linked retracted article,255087,USD 2026 dollars per article,data assembled July 2026,1725 NIH-linked retracted articles,Sandoval-Lentisco Ioannidis 2026 preprint,10.64898/2026.07.04.26357187,QUALIFIED,medium,modelled,"Preprint; grant cost divided across publications. Do not convert to RLY by generic salary division."
INNOV001,innovation spillover,Lasting citation decline for articles intellectually related to retracted papers,"5-10",percent,published 2015,related pre-retraction articles matched to controls around 1100+ retractions,Azoulay Furman Krieger Murray 2015,10.1162/REST_a_00469,VERIFIED,high,modelled,"Field-vitality precedent; study also reports lower arrival of new articles and funding flows. Do not copy this effect size as a global ARIS4C005 parameter."
INNOV002,innovation spillover,Retraction events in field-level spillover study,1100+,retractions,published 2015,multidisciplinary retraction study,Azoulay Furman Krieger Murray 2015,10.1162/REST_a_00469,QUALIFIED,high,observed,"Reported as over 1,100 retractions; supports feasibility of matched field-level event studies."
SB003,sleeping beauty infrastructure,Web of Science papers receiving at least one citation in Ke et al. delayed-recognition analysis,22379244,papers,study dataset reported 2015,multidisciplinary Web of Science corpus,Ke Ferrara Radicchi Flammini 2015,10.1073/pnas.1424329112,VERIFIED,high,observed,"Historical corpus scale; supports continuous Beauty Coefficient modeling and does not define a natural universal Sleeping Beauty threshold."
