concept_id,discipline,dimension,score_A,score_B,abs_diff,needs_adjudication,adjudicated_score,adjudication_note
D05,Linguistics,D6,0,0.0,0.0,False,,
D05,Linguistics,D7,0,1.0,1.0,False,,
D05,Linguistics,D8,2,2.0,0.0,False,,
D05,Linguistics,D9,2,2.0,0.0,False,,
D05,Linguistics,D10,3,3.0,0.0,False,,
D05,Linguistics,D11,1,2.0,1.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D1,3,3.0,0.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D2,1,2.0,1.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D3,2,2.0,0.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D4,3,3.0,0.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D5,1,2.0,1.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D6,3,3.0,0.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D7,1,2.0,1.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D8,2,2.0,0.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D9,2,2.0,0.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D10,1,1.0,0.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D11,3,3.0,0.0,False,,
D07,Agriculture & Forestry,D1,2,2.0,0.0,False,,
D07,Agriculture & Forestry,D2,2,2.0,0.0,False,,
D07,Agriculture & Forestry,D3,1,1.0,0.0,False,,
D07,Agriculture & Forestry,D4,3,2.0,1.0,False,,
D07,Agriculture & Forestry,D5,3,2.0,1.0,False,,
D07,Agriculture & Forestry,D6,1,1.0,0.0,False,,
D07,Agriculture & Forestry,D7,3,3.0,0.0,False,,
D07,Agriculture & Forestry,D8,2,2.0,0.0,False,,
D07,Agriculture & Forestry,D9,3,2.0,1.0,False,,
D07,Agriculture & Forestry,D10,1,1.0,0.0,False,,
D07,Agriculture & Forestry,D11,3,3.0,0.0,False,,
D08,Geology / Earth-resource sciences,D1,2,2.0,0.0,False,,
D08,Geology / Earth-resource sciences,D2,3,2.0,1.0,False,,
D08,Geology / Earth-resource sciences,D3,0,1.0,1.0,False,,
D08,Geology / Earth-resource sciences,D4,3,2.0,1.0,False,,
D08,Geology / Earth-resource sciences,D5,3,3.0,0.0,False,,
D08,Geology / Earth-resource sciences,D6,0,0.0,0.0,False,,
D08,Geology / Earth-resource sciences,D7,0,,,True,1.0,"Colonial agrogeology and soil mapping connected earth science to agricultural development and land governance, especially in the Dutch East Indies and tropical soil science, but the channel is subfield-specific rather than core geology-wide."
D08,Geology / Earth-resource sciences,D8,1,2.0,1.0,False,,
D08,Geology / Earth-resource sciences,D9,3,2.0,1.0,False,,
D08,Geology / Earth-resource sciences,D10,0,0.0,0.0,False,,
D08,Geology / Earth-resource sciences,D11,2,3.0,1.0,False,,
D09,Sociology,D1,3,2.0,1.0,False,,
D09,Sociology,D2,1,1.0,0.0,False,,
D09,Sociology,D3,3,2.0,1.0,False,,
D09,Sociology,D4,2,2.0,0.0,False,,
D09,Sociology,D5,1,0.0,1.0,False,,
D09,Sociology,D6,1,0.0,1.0,False,,
D09,Sociology,D7,1,1.0,0.0,False,,
D09,Sociology,D8,2,2.0,0.0,False,,
D09,Sociology,D9,1,2.0,1.0,False,,
D09,Sociology,D10,1,1.0,0.0,False,,
D09,Sociology,D11,3,2.0,1.0,False,,
D10,Political Science / International Relations,D1,3,2.0,1.0,False,,
D10,Political Science / International Relations,D2,1,0.0,1.0,False,,
D10,Political Science / International Relations,D3,2,2.0,0.0,False,,
D10,Political Science / International Relations,D4,1,1.0,0.0,False,,
D10,Political Science / International Relations,D5,1,0.0,1.0,False,,
D10,Political Science / International Relations,D6,0,0.0,0.0,False,,
D10,Political Science / International Relations,D7,0,0.0,0.0,False,,
D10,Political Science / International Relations,D8,3,2.0,1.0,False,,
D10,Political Science / International Relations,D9,1,2.0,1.0,False,,
D10,Political Science / International Relations,D10,0,1.0,1.0,False,,
D10,Political Science / International Relations,D11,3,2.0,1.0,False,,
D11,Law,D1,3,2.0,1.0,False,,
D11,Law,D2,1,2.0,1.0,False,,
D11,Law,D3,1,2.0,1.0,False,,
D11,Law,D4,0,1.0,1.0,False,,
D11,Law,D5,1,1.0,0.0,False,,
D11,Law,D6,0,1.0,1.0,False,,
D11,Law,D7,0,1.0,1.0,False,,
D11,Law,D8,3,3.0,0.0,False,,
D11,Law,D9,2,2.0,0.0,False,,
D11,Law,D10,1,2.0,1.0,False,,
D11,Law,D11,2,2.0,0.0,False,,
D12,Economics,D1,2,2.0,0.0,False,,
D12,Economics,D2,1,0.0,1.0,False,,
D12,Economics,D3,2,1.0,1.0,False,,
D12,Economics,D4,1,1.0,0.0,False,,
D12,Economics,D5,3,2.0,1.0,False,,
D12,Economics,D6,0,0.0,0.0,False,,
D12,Economics,D7,2,1.0,1.0,False,,
D12,Economics,D8,2,2.0,0.0,False,,
D12,Economics,D9,0,2.0,2.0,True,1.0,"Colonial Blue Books and archives became important source infrastructure for economic history and later empirical work, but archives/collections were peripheral to the formation of economics' core institutions and theory."
D12,Economics,D10,0,0.0,0.0,False,,
D12,Economics,D11,3,2.0,1.0,False,,
D13,Public Administration / Social Policy,D1,3,2.0,1.0,False,,
D13,Public Administration / Social Policy,D2,2,1.0,1.0,False,,
D13,Public Administration / Social Policy,D3,3,1.0,2.0,True,2.0,"Colonial administration recurrently relied on census, racial/ethnic and social classification to render governed populations legible; this was a substantial administrative knowledge practice across empires, though not foundational to the whole academic theory of public administration/social policy."
D13,Public Administration / Social Policy,D4,1,1.0,0.0,False,,
D13,Public Administration / Social Policy,D5,1,1.0,0.0,False,,
D13,Public Administration / Social Policy,D6,2,1.0,1.0,False,,
D13,Public Administration / Social Policy,D7,1,0.0,1.0,False,,
D13,Public Administration / Social Policy,D8,3,2.0,1.0,False,,
D13,Public Administration / Social Policy,D9,2,1.0,1.0,False,,
D13,Public Administration / Social Policy,D10,1,1.0,0.0,False,,
D13,Public Administration / Social Policy,D11,3,2.0,1.0,False,,
D14,Education,D1,2,2.0,0.0,False,,
D14,Education,D2,0,0.0,0.0,False,,
D14,Education,D3,1,1.0,0.0,False,,
D14,Education,D4,0,1.0,1.0,False,,
D14,Education,D5,0,1.0,1.0,False,,
D14,Education,D6,0,1.0,1.0,False,,
D14,Education,D7,0,1.0,1.0,False,,
D14,Education,D8,3,3.0,0.0,False,,
D14,Education,D9,1,1.0,0.0,False,,
D14,Education,D10,3,3.0,0.0,False,,
D14,Education,D11,3,2.0,1.0,False,,
D15,History,D1,1,2.0,1.0,False,,
D15,History,D2,0,1.0,1.0,False,,
D15,History,D3,1,3.0,2.0,True,2.0,"Colonial censuses, gazetteers and ethnographic classifications substantially structured the source base and categories of histories of colonized societies, but professional history also formed strongly through metropolitan/national traditions, so 2 rather than 3."
D15,History,D4,1,2.0,1.0,False,,
D15,History,D5,0,1.0,1.0,False,,
D15,History,D6,0,0.0,0.0,False,,
D15,History,D7,0,1.0,1.0,False,,
D15,History,D8,1,2.0,1.0,False,,
D15,History,D9,3,3.0,0.0,False,,
D15,History,D10,0,1.0,1.0,False,,
D15,History,D11,1,2.0,1.0,False,,
D16,Demography / Population Studies,D1,3,3.0,0.0,False,,
D16,Demography / Population Studies,D2,1,2.0,1.0,False,,
D16,Demography / Population Studies,D3,3,3.0,0.0,False,,
D16,Demography / Population Studies,D4,0,2.0,2.0,True,2.0,Late-colonial demography repeatedly used overseas censuses and sample surveys as field data infrastructures across many colonies; these field operations were substantial to policy demography and population studies.
D16,Demography / Population Studies,D5,1,1.0,0.0,False,,
D16,Demography / Population Studies,D6,2,2.0,0.0,False,,
D16,Demography / Population Studies,D7,0,0.0,0.0,False,,
D16,Demography / Population Studies,D8,2,2.0,0.0,False,,
D16,Demography / Population Studies,D9,2,2.0,0.0,False,,
D16,Demography / Population Studies,D10,0,1.0,1.0,False,,
D16,Demography / Population Studies,D11,3,3.0,0.0,False,,
D17,Mathematics,D1,0,2.0,2.0,True,1.0,"Imperial survey and revenue administration used geodesy, adjustment and mathematical precision, but the formative core of mathematics remained overwhelmingly metropolitan; documented but peripheral administrative demand."
D17,Mathematics,D2,1,2.0,1.0,False,,
D17,Mathematics,D3,0,1.0,1.0,False,,
D17,Mathematics,D4,0,1.0,1.0,False,,
D17,Mathematics,D5,0,0.0,0.0,False,,
D17,Mathematics,D6,0,0.0,0.0,False,,
D17,Mathematics,D7,0,0.0,0.0,False,,
D17,Mathematics,D8,2,1.0,1.0,False,,
D17,Mathematics,D9,0,0.0,0.0,False,,
D17,Mathematics,D10,1,0.0,1.0,False,,
D17,Mathematics,D11,1,0.0,1.0,False,,
D18,Physics,D1,0,2.0,2.0,True,1.0,"Empire-funded observatory and magnetic-survey networks served navigation and colonial state objectives, but these channels sit mainly in geophysics/meteorology and did not substantially form the twentieth-century core of physics."
D18,Physics,D2,1,2.0,1.0,False,,
D18,Physics,D3,0,0.0,0.0,False,,
D18,Physics,D4,1,2.0,1.0,False,,
D18,Physics,D5,1,0.0,1.0,False,,
D18,Physics,D6,0,0.0,0.0,False,,
D18,Physics,D7,0,1.0,1.0,False,,
D18,Physics,D8,1,2.0,1.0,False,,
D18,Physics,D9,1,2.0,1.0,False,,
D18,Physics,D10,0,0.0,0.0,False,,
D18,Physics,D11,1,1.0,0.0,False,,
D19,Chemistry,D1,1,2.0,1.0,False,,
D19,Chemistry,D2,0,1.0,1.0,False,,
D19,Chemistry,D3,0,0.0,0.0,False,,
D19,Chemistry,D4,1,2.0,1.0,False,,
D19,Chemistry,D5,3,2.0,1.0,False,,
D19,Chemistry,D6,1,2.0,1.0,False,,
D19,Chemistry,D7,2,3.0,1.0,False,,
D19,Chemistry,D8,1,2.0,1.0,False,,
D19,Chemistry,D9,2,2.0,0.0,False,,
D19,Chemistry,D10,0,0.0,0.0,False,,
D19,Chemistry,D11,2,2.0,0.0,False,,
D20,Computer Science,D1,0,1.0,1.0,False,,
D20,Computer Science,D2,0,1.0,1.0,False,,
D20,Computer Science,D3,0,2.0,2.0,True,1.0,"Colonial censuses and identification regimes contributed to punched-card/data-processing infrastructures, but computer science institutionalized mainly in postwar metropolitan military/state/commercial systems; the classification link is real but indirect and peripheral."
D20,Computer Science,D4,0,1.0,1.0,False,,
D20,Computer Science,D5,0,0.0,0.0,False,,
D20,Computer Science,D6,0,0.0,0.0,False,,
D20,Computer Science,D7,0,0.0,0.0,False,,
D20,Computer Science,D8,1,0.0,1.0,False,,
D20,Computer Science,D9,0,1.0,1.0,False,,
D20,Computer Science,D10,0,0.0,0.0,False,,
D20,Computer Science,D11,2,1.0,1.0,False,,
D21,Materials Science,D1,0,1.0,1.0,False,,
D21,Materials Science,D2,1,0.0,1.0,False,,
D21,Materials Science,D3,0,0.0,0.0,False,,
D21,Materials Science,D4,1,2.0,1.0,False,,
D21,Materials Science,D5,2,2.0,0.0,False,,
D21,Materials Science,D6,0,0.0,0.0,False,,
D21,Materials Science,D7,0,1.0,1.0,False,,
D21,Materials Science,D8,1,1.0,0.0,False,,
D21,Materials Science,D9,1,1.0,0.0,False,,
D21,Materials Science,D10,0,0.0,0.0,False,,
D21,Materials Science,D11,1,2.0,1.0,False,,
