record_id,title,field,coder_a,coder_b,adjudicated_value,adjudication_rationale
P08,The Autonomy Paradox: The Implications of Mobile Email Devices for Knowledge Professionals,result_support,support,yes,,
P09,Self-Determination Theory Applied to Health Contexts: A Meta-Analysis,primary_mechanism,counterevidence,none,,
P09,Self-Determination Theory Applied to Health Contexts: A Meta-Analysis,evidence_mode,meta-analysis,meta_analysis,,
P09,Self-Determination Theory Applied to Health Contexts: A Meta-Analysis,causal_claim_strength,mixed designs,moderate,,
P09,Self-Determination Theory Applied to Health Contexts: A Meta-Analysis,result_support,counterevidence_to_global_freedom_reversal,no,,
P10,Self-Determination Theory and Workplace Outcomes: A Meta-Analysis,primary_mechanism,counterevidence,none,,
P10,Self-Determination Theory and Workplace Outcomes: A Meta-Analysis,evidence_mode,meta-analysis,meta_analysis,,
P10,Self-Determination Theory and Workplace Outcomes: A Meta-Analysis,causal_claim_strength,mixed designs,weak,,
P10,Self-Determination Theory and Workplace Outcomes: A Meta-Analysis,result_support,counterevidence_to_global_freedom_reversal,no,,
P11,Homo Heuristicus: Why Biased Minds Make Better Inferences,primary_mechanism,ecological rationality/bias-variance,selection_filtering,,
P11,Homo Heuristicus: Why Biased Minds Make Better Inferences,evidence_mode,review/conceptual,empirical,,
P11,Homo Heuristicus: Why Biased Minds Make Better Inferences,evidence_tier,NA-review,E2,,
P11,Homo Heuristicus: Why Biased Minds Make Better Inferences,causal_claim_strength,conditional,moderate,,
P11,Homo Heuristicus: Why Biased Minds Make Better Inferences,result_support,conditional_support,yes,,
P12,Homo Ignorans: Deliberately Choosing Not to Know,opposition_valid,uncertain,partial,,
P12,Homo Ignorans: Deliberately Choosing Not to Know,oci_candidate,uncertain,yes,,
P12,Homo Ignorans: Deliberately Choosing Not to Know,primary_mechanism,deliberate ignorance,selection_filtering,,
P12,Homo Ignorans: Deliberately Choosing Not to Know,evidence_mode,review,conceptual,,
P12,Homo Ignorans: Deliberately Choosing Not to Know,evidence_tier,NA-review,E0,,
P12,Homo Ignorans: Deliberately Choosing Not to Know,causal_claim_strength,heterogeneous,weak,,
P12,Homo Ignorans: Deliberately Choosing Not to Know,result_support,mixed,not_tested,,
P13,Does ignorance love company? The social dynamics of information avoidance,opposition_valid,no,yes,,
P13,Does ignorance love company? The social dynamics of information avoidance,oci_candidate,no,yes,,
P13,Does ignorance love company? The social dynamics of information avoidance,primary_mechanism,counterevidence/social norms,construct_substitution,,
P13,Does ignorance love company? The social dynamics of information avoidance,evidence_tier,E4/E2,E3,,
P13,Does ignorance love company? The social dynamics of information avoidance,causal_claim_strength,moderate-high for experimental components,moderate,,
P13,Does ignorance love company? The social dynamics of information avoidance,result_support,counterevidence_to_ignorance_strength,partial,,
P14,Implications of Rational Inattention,opposition_valid,uncertain,no,,
P14,Implications of Rational Inattention,oci_candidate,uncertain,no,,
P14,Implications of Rational Inattention,primary_mechanism,capacity-constrained optimization,none,,
P14,Implications of Rational Inattention,nonlinearity,yes,no,,
P14,Implications of Rational Inattention,selection_filtering,yes,no,,
P14,Implications of Rational Inattention,evidence_tier,NA-formal,E0,,
P14,Implications of Rational Inattention,causal_claim_strength,formal,none,,
P14,Implications of Rational Inattention,result_support,mechanism_support,not_tested,,
P15,Social Value of Public Information,primary_mechanism,coordination externality,strategic_feedback,,
P15,Social Value of Public Information,evidence_tier,NA-formal,E0,,
P15,Social Value of Public Information,causal_claim_strength,formal/conditional,strong,,
P15,Social Value of Public Information,result_support,conditional_support,yes,,
P16,"The Constructive, Destructive, and Reconstructive Power of Social Norms",primary_mechanism,boomerang/norm feedback,level_switch,,
P16,"The Constructive, Destructive, and Reconstructive Power of Social Norms",feedback,yes,no,,
P16,"The Constructive, Destructive, and Reconstructive Power of Social Norms",causal_claim_strength,high,strong,,
P16,"The Constructive, Destructive, and Reconstructive Power of Social Norms",result_support,support,yes,,
P17,Do descriptive norms messaging interventions backfire? Protocol for a systematic review of the boomerang effect,primary_mechanism,boomerang effect,level_switch,,
P17,Do descriptive norms messaging interventions backfire? Protocol for a systematic review of the boomerang effect,evidence_mode,protocol,review,,
P17,Do descriptive norms messaging interventions backfire? Protocol for a systematic review of the boomerang effect,evidence_tier,NA-protocol,E0,,
P17,Do descriptive norms messaging interventions backfire? Protocol for a systematic review of the boomerang effect,causal_claim_strength,not yet evidential,none,,
P18,"Iatrogenic effects of psychosocial interventions for substance use disorders: prevalence, predictors, prevention",primary_mechanism,iatrogenic intervention effect,level_switch,,
P18,"Iatrogenic effects of psychosocial interventions for substance use disorders: prevalence, predictors, prevention",evidence_tier,NA-review,E2,,
P18,"Iatrogenic effects of psychosocial interventions for substance use disorders: prevalence, predictors, prevention",causal_claim_strength,mixed; review warns deterioration not always attributable causally,moderate,,
P18,"Iatrogenic effects of psychosocial interventions for substance use disorders: prevalence, predictors, prevention",result_support,conditional_support,partial,,
P19,Psychological Treatments That Cause Harm,primary_mechanism,iatrogenic treatment,construct_substitution,,
P19,Psychological Treatments That Cause Harm,evidence_tier,NA-review,E2,,
P19,Psychological Treatments That Cause Harm,causal_claim_strength,heterogeneous,moderate,,
P19,Psychological Treatments That Cause Harm,result_support,conditional_support,partial,,
P20,Effects of normative feedback for drinkers who consume less than the norm: Dodging the boomerang,primary_mechanism,hypothesized boomerang,level_switch,,
P20,Effects of normative feedback for drinkers who consume less than the norm: Dodging the boomerang,causal_claim_strength,high for tested intervention contrasts,strong,,
P20,Effects of normative feedback for drinkers who consume less than the norm: Dodging the boomerang,result_support,counterevidence,no,,
P21,Jevons’ Paradox revisited: The evidence for backfire from improved energy efficiency,primary_mechanism,rebound/Jevons,level_switch,,
P21,Jevons’ Paradox revisited: The evidence for backfire from improved energy efficiency,evidence_tier,NA-review,E2,,
P21,Jevons’ Paradox revisited: The evidence for backfire from improved energy efficiency,causal_claim_strength,conditional,moderate,,
P21,Jevons’ Paradox revisited: The evidence for backfire from improved energy efficiency,result_support,mixed/weak_for_full_backfire,partial,,
P22,The road to hell is paved with good intentions: A review and research agenda on rebound effects and win–win strategies,primary_mechanism,rebound effect,construct_substitution,,
P22,The road to hell is paved with good intentions: A review and research agenda on rebound effects and win–win strategies,time_switch,yes,no,,
P22,The road to hell is paved with good intentions: A review and research agenda on rebound effects and win–win strategies,evidence_tier,E5-review,E2,,
P22,The road to hell is paved with good intentions: A review and research agenda on rebound effects and win–win strategies,causal_claim_strength,heterogeneous,weak,,
P22,The road to hell is paved with good intentions: A review and research agenda on rebound effects and win–win strategies,result_support,conditional_support,partial,,
P23,Braess' paradox: Some new insights,primary_mechanism,selfish-routing equilibrium,strategic_feedback,,
P23,Braess' paradox: Some new insights,evidence_tier,NA-formal,E0,,
P23,Braess' paradox: Some new insights,causal_claim_strength,formal/conditional,strong,,
P23,Braess' paradox: Some new insights,result_support,conditional_support,partial,,
P24,Bibliometric analysis and systematic literature review of the traffic paradoxes (1968–2022),primary_mechanism,traffic equilibrium paradox,strategic_feedback,,
P24,Bibliometric analysis and systematic literature review of the traffic paradoxes (1968–2022),evidence_mode,systematic_review,review,,
P24,Bibliometric analysis and systematic literature review of the traffic paradoxes (1968–2022),evidence_tier,E5-review,E2,,
P24,Bibliometric analysis and systematic literature review of the traffic paradoxes (1968–2022),causal_claim_strength,heterogeneous,weak,,
P24,Bibliometric analysis and systematic literature review of the traffic paradoxes (1968–2022),result_support,support_for_family_existence,not_tested,,
P25,Safe development paradox: evidence and methodological insights from a systematic review,primary_mechanism,safe-development/levee feedback,temporal_reversal,,
P25,Safe development paradox: evidence and methodological insights from a systematic review,evidence_mode,systematic_review,review,,
P25,Safe development paradox: evidence and methodological insights from a systematic review,evidence_tier,E5-review,E2,,
P25,Safe development paradox: evidence and methodological insights from a systematic review,causal_claim_strength,heterogeneous,moderate,,
P25,Safe development paradox: evidence and methodological insights from a systematic review,result_support,conditional_support,yes,,
P26,Toward a Theory of Paradox: A Dynamic Equilibrium Model of Organizing,opposition_valid,uncertain,no,,
P26,Toward a Theory of Paradox: A Dynamic Equilibrium Model of Organizing,primary_mechanism,dynamic paradox management,none,,
P26,Toward a Theory of Paradox: A Dynamic Equilibrium Model of Organizing,evidence_tier,NA-conceptual,E0,,
P26,Toward a Theory of Paradox: A Dynamic Equilibrium Model of Organizing,causal_claim_strength,theoretical,none,,
P26,Toward a Theory of Paradox: A Dynamic Equilibrium Model of Organizing,result_support,not_tested_as_OCI,not_tested,,
P27,Dynamic Decision Making: A Model of Senior Leaders Managing Strategic Paradoxes,opposition_valid,uncertain,no,,
P27,Dynamic Decision Making: A Model of Senior Leaders Managing Strategic Paradoxes,primary_mechanism,dynamic decision making,none,,
P27,Dynamic Decision Making: A Model of Senior Leaders Managing Strategic Paradoxes,evidence_tier,E2,E1,,
P27,Dynamic Decision Making: A Model of Senior Leaders Managing Strategic Paradoxes,causal_claim_strength,mechanistic,weak,,
P27,Dynamic Decision Making: A Model of Senior Leaders Managing Strategic Paradoxes,result_support,not_tested_as_OCI,not_tested,,
P28,Over-optimization of academic publishing metrics: observing Goodhart's Law in action,primary_mechanism,Goodhart target feedback,construct_substitution,,
P28,Over-optimization of academic publishing metrics: observing Goodhart's Law in action,evidence_tier,E1/E2,E1,,
P28,Over-optimization of academic publishing metrics: observing Goodhart's Law in action,causal_claim_strength,associational/mechanistic,moderate,,
P28,Over-optimization of academic publishing metrics: observing Goodhart's Law in action,result_support,support,partial,,
P29,Core capabilities and core rigidities: A paradox in managing new product development,primary_mechanism,capability-rigidity transition,level_switch,,
P29,Core capabilities and core rigidities: A paradox in managing new product development,evidence_mode,conceptual/empirical,conceptual,,
P29,Core capabilities and core rigidities: A paradox in managing new product development,evidence_tier,E1/E2,E0,,
P29,Core capabilities and core rigidities: A paradox in managing new product development,causal_claim_strength,mechanistic,none,,
P29,Core capabilities and core rigidities: A paradox in managing new product development,result_support,support,not_tested,,
P30,Counterfinality: On the Increased Perceived Instrumentality of Means to a Goal,opposition_valid,no,yes,,
P30,Counterfinality: On the Increased Perceived Instrumentality of Means to a Goal,oci_candidate,no,yes,,
P30,Counterfinality: On the Increased Perceived Instrumentality of Means to a Goal,primary_mechanism,counterfinality,construct_substitution,,
P30,Counterfinality: On the Increased Perceived Instrumentality of Means to a Goal,evidence_tier,E4/E1,E4,,
P30,Counterfinality: On the Increased Perceived Instrumentality of Means to a Goal,causal_claim_strength,moderate-high for experimental studies,strong,,
P30,Counterfinality: On the Increased Perceived Instrumentality of Means to a Goal,result_support,support_for_neighboring_theory,yes,,
