record_id,title,field,coder_a,coder_b,adjudicated_value,adjudication_rationale,diagnosis_type,diagnosis_rationale,source_review_required
P05,The Security Dilemma: A Conceptual Analysis,evidence_tier,NA-conceptual,E0,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P05,The Security Dilemma: A Conceptual Analysis,causal_claim_strength,mechanistic/theoretical,moderate,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P05,The Security Dilemma: A Conceptual Analysis,result_support,not_tested_as_single_effect,not_tested,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P06,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,primary_mechanism,choice overload,capacity_overload,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P06,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,nonlinearity,possible,yes,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P06,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,evidence_mode,meta-analysis,meta_analysis,,,lexical_token_vocabulary_mismatch,separator/case normalization makes labels identical,no
P06,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,causal_claim_strength,high synthesis but heterogeneous,strong,,,lexical_token_vocabulary_mismatch,free-text causal-strength wording collapses to Coder B ordinal token,no
P06,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,result_support,counterevidence/mixed,no,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P07,Choice overload: A conceptual review and meta-analysis,primary_mechanism,capacity/choice overload,capacity_overload,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P07,Choice overload: A conceptual review and meta-analysis,evidence_mode,meta-analysis,meta_analysis,,,lexical_token_vocabulary_mismatch,separator/case normalization makes labels identical,no
P07,Choice overload: A conceptual review and meta-analysis,causal_claim_strength,conditional,strong,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P07,Choice overload: A conceptual review and meta-analysis,result_support,conditional_support,yes,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P08,The Autonomy Paradox: The Implications of Mobile Email Devices for Knowledge Professionals,primary_mechanism,normative feedback/autonomy paradox,construct_substitution,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P08,The Autonomy Paradox: The Implications of Mobile Email Devices for Knowledge Professionals,causal_claim_strength,mechanistic but nonrandomized,moderate,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P08,The Autonomy Paradox: The Implications of Mobile Email Devices for Knowledge Professionals,result_support,support,yes,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P09,Self-Determination Theory Applied to Health Contexts: A Meta-Analysis,primary_mechanism,counterevidence,none,,,genuine_conceptual_disagreement,Coder A assigns a mechanism while Coder B assigns none,yes
P09,Self-Determination Theory Applied to Health Contexts: A Meta-Analysis,evidence_mode,meta-analysis,meta_analysis,,,lexical_token_vocabulary_mismatch,separator/case normalization makes labels identical,no
P09,Self-Determination Theory Applied to Health Contexts: A Meta-Analysis,causal_claim_strength,mixed designs,moderate,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P09,Self-Determination Theory Applied to Health Contexts: A Meta-Analysis,result_support,counterevidence_to_global_freedom_reversal,no,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P10,Self-Determination Theory and Workplace Outcomes: A Meta-Analysis,primary_mechanism,counterevidence,none,,,genuine_conceptual_disagreement,Coder A assigns a mechanism while Coder B assigns none,yes
P10,Self-Determination Theory and Workplace Outcomes: A Meta-Analysis,evidence_mode,meta-analysis,meta_analysis,,,lexical_token_vocabulary_mismatch,separator/case normalization makes labels identical,no
P10,Self-Determination Theory and Workplace Outcomes: A Meta-Analysis,causal_claim_strength,mixed designs,weak,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P10,Self-Determination Theory and Workplace Outcomes: A Meta-Analysis,result_support,counterevidence_to_global_freedom_reversal,no,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P11,Homo Heuristicus: Why Biased Minds Make Better Inferences,primary_mechanism,ecological rationality/bias-variance,selection_filtering,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P11,Homo Heuristicus: Why Biased Minds Make Better Inferences,evidence_mode,review/conceptual,empirical,,,source_metadata_disagreement,evidence-mode classification differs beyond token formatting,yes
P11,Homo Heuristicus: Why Biased Minds Make Better Inferences,evidence_tier,NA-review,E2,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P11,Homo Heuristicus: Why Biased Minds Make Better Inferences,causal_claim_strength,conditional,moderate,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P11,Homo Heuristicus: Why Biased Minds Make Better Inferences,result_support,conditional_support,yes,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P12,Homo Ignorans: Deliberately Choosing Not to Know,opposition_valid,uncertain,partial,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P12,Homo Ignorans: Deliberately Choosing Not to Know,oci_candidate,uncertain,yes,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P12,Homo Ignorans: Deliberately Choosing Not to Know,primary_mechanism,deliberate ignorance,selection_filtering,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P12,Homo Ignorans: Deliberately Choosing Not to Know,evidence_mode,review,conceptual,,,source_metadata_disagreement,evidence-mode classification differs beyond token formatting,yes
P12,Homo Ignorans: Deliberately Choosing Not to Know,evidence_tier,NA-review,E0,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P12,Homo Ignorans: Deliberately Choosing Not to Know,causal_claim_strength,heterogeneous,weak,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P12,Homo Ignorans: Deliberately Choosing Not to Know,result_support,mixed,not_tested,,,genuine_conceptual_disagreement,result-direction judgment differs after coarse crosswalk,yes
P13,Does ignorance love company? The social dynamics of information avoidance,opposition_valid,no,yes,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P13,Does ignorance love company? The social dynamics of information avoidance,oci_candidate,no,yes,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P13,Does ignorance love company? The social dynamics of information avoidance,primary_mechanism,counterevidence/social norms,construct_substitution,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P13,Does ignorance love company? The social dynamics of information avoidance,evidence_tier,E4/E2,E3,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P13,Does ignorance love company? The social dynamics of information avoidance,causal_claim_strength,moderate-high for experimental components,moderate,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P13,Does ignorance love company? The social dynamics of information avoidance,result_support,counterevidence_to_ignorance_strength,partial,,,genuine_conceptual_disagreement,result-direction judgment differs after coarse crosswalk,yes
P14,Implications of Rational Inattention,opposition_valid,uncertain,no,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P14,Implications of Rational Inattention,oci_candidate,uncertain,no,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P14,Implications of Rational Inattention,primary_mechanism,capacity-constrained optimization,none,,,genuine_conceptual_disagreement,Coder A assigns a mechanism while Coder B assigns none,yes
P14,Implications of Rational Inattention,nonlinearity,yes,no,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P14,Implications of Rational Inattention,selection_filtering,yes,no,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P14,Implications of Rational Inattention,evidence_tier,NA-formal,E0,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P14,Implications of Rational Inattention,causal_claim_strength,formal,none,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P14,Implications of Rational Inattention,result_support,mechanism_support,not_tested,,,genuine_conceptual_disagreement,result-direction judgment differs after coarse crosswalk,yes
P15,Social Value of Public Information,primary_mechanism,coordination externality,strategic_feedback,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P15,Social Value of Public Information,evidence_tier,NA-formal,E0,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P15,Social Value of Public Information,causal_claim_strength,formal/conditional,strong,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P15,Social Value of Public Information,result_support,conditional_support,yes,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P16,"The Constructive, Destructive, and Reconstructive Power of Social Norms",primary_mechanism,boomerang/norm feedback,level_switch,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P16,"The Constructive, Destructive, and Reconstructive Power of Social Norms",feedback,yes,no,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P16,"The Constructive, Destructive, and Reconstructive Power of Social Norms",causal_claim_strength,high,strong,,,lexical_token_vocabulary_mismatch,free-text causal-strength wording collapses to Coder B ordinal token,no
P16,"The Constructive, Destructive, and Reconstructive Power of Social Norms",result_support,support,yes,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P17,Do descriptive norms messaging interventions backfire? Protocol for a systematic review of the boomerang effect,primary_mechanism,boomerang effect,level_switch,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P17,Do descriptive norms messaging interventions backfire? Protocol for a systematic review of the boomerang effect,evidence_mode,protocol,review,,,lexical_token_vocabulary_mismatch,evidence-mode labels use different granularity/tokens,no
P17,Do descriptive norms messaging interventions backfire? Protocol for a systematic review of the boomerang effect,evidence_tier,NA-protocol,E0,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P17,Do descriptive norms messaging interventions backfire? Protocol for a systematic review of the boomerang effect,causal_claim_strength,not yet evidential,none,,,lexical_token_vocabulary_mismatch,free-text causal-strength wording collapses to Coder B ordinal token,no
P18,"Iatrogenic effects of psychosocial interventions for substance use disorders: prevalence, predictors, prevention",primary_mechanism,iatrogenic intervention effect,level_switch,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P18,"Iatrogenic effects of psychosocial interventions for substance use disorders: prevalence, predictors, prevention",evidence_tier,NA-review,E2,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P18,"Iatrogenic effects of psychosocial interventions for substance use disorders: prevalence, predictors, prevention",causal_claim_strength,mixed; review warns deterioration not always attributable causally,moderate,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P18,"Iatrogenic effects of psychosocial interventions for substance use disorders: prevalence, predictors, prevention",result_support,conditional_support,partial,,,genuine_conceptual_disagreement,result-direction judgment differs after coarse crosswalk,yes
P19,Psychological Treatments That Cause Harm,primary_mechanism,iatrogenic treatment,construct_substitution,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P19,Psychological Treatments That Cause Harm,evidence_tier,NA-review,E2,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P19,Psychological Treatments That Cause Harm,causal_claim_strength,heterogeneous,moderate,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P19,Psychological Treatments That Cause Harm,result_support,conditional_support,partial,,,genuine_conceptual_disagreement,result-direction judgment differs after coarse crosswalk,yes
P20,Effects of normative feedback for drinkers who consume less than the norm: Dodging the boomerang,primary_mechanism,hypothesized boomerang,level_switch,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P20,Effects of normative feedback for drinkers who consume less than the norm: Dodging the boomerang,causal_claim_strength,high for tested intervention contrasts,strong,,,lexical_token_vocabulary_mismatch,free-text causal-strength wording collapses to Coder B ordinal token,no
P20,Effects of normative feedback for drinkers who consume less than the norm: Dodging the boomerang,result_support,counterevidence,no,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P21,Jevons’ Paradox revisited: The evidence for backfire from improved energy efficiency,primary_mechanism,rebound/Jevons,level_switch,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P21,Jevons’ Paradox revisited: The evidence for backfire from improved energy efficiency,evidence_tier,NA-review,E2,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P21,Jevons’ Paradox revisited: The evidence for backfire from improved energy efficiency,causal_claim_strength,conditional,moderate,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P21,Jevons’ Paradox revisited: The evidence for backfire from improved energy efficiency,result_support,mixed/weak_for_full_backfire,partial,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P22,The road to hell is paved with good intentions: A review and research agenda on rebound effects and win–win strategies,primary_mechanism,rebound effect,construct_substitution,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P22,The road to hell is paved with good intentions: A review and research agenda on rebound effects and win–win strategies,time_switch,yes,no,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P22,The road to hell is paved with good intentions: A review and research agenda on rebound effects and win–win strategies,evidence_tier,E5-review,E2,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P22,The road to hell is paved with good intentions: A review and research agenda on rebound effects and win–win strategies,causal_claim_strength,heterogeneous,weak,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P22,The road to hell is paved with good intentions: A review and research agenda on rebound effects and win–win strategies,result_support,conditional_support,partial,,,genuine_conceptual_disagreement,result-direction judgment differs after coarse crosswalk,yes
P23,Braess' paradox: Some new insights,primary_mechanism,selfish-routing equilibrium,strategic_feedback,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P23,Braess' paradox: Some new insights,evidence_tier,NA-formal,E0,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P23,Braess' paradox: Some new insights,causal_claim_strength,formal/conditional,strong,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P23,Braess' paradox: Some new insights,result_support,conditional_support,partial,,,genuine_conceptual_disagreement,result-direction judgment differs after coarse crosswalk,yes
P24,Bibliometric analysis and systematic literature review of the traffic paradoxes (1968–2022),primary_mechanism,traffic equilibrium paradox,strategic_feedback,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P24,Bibliometric analysis and systematic literature review of the traffic paradoxes (1968–2022),evidence_mode,systematic_review,review,,,lexical_token_vocabulary_mismatch,evidence-mode labels use different granularity/tokens,no
P24,Bibliometric analysis and systematic literature review of the traffic paradoxes (1968–2022),evidence_tier,E5-review,E2,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P24,Bibliometric analysis and systematic literature review of the traffic paradoxes (1968–2022),causal_claim_strength,heterogeneous,weak,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P24,Bibliometric analysis and systematic literature review of the traffic paradoxes (1968–2022),result_support,support_for_family_existence,not_tested,,,genuine_conceptual_disagreement,result-direction judgment differs after coarse crosswalk,yes
P25,Safe development paradox: evidence and methodological insights from a systematic review,primary_mechanism,safe-development/levee feedback,temporal_reversal,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P25,Safe development paradox: evidence and methodological insights from a systematic review,evidence_mode,systematic_review,review,,,lexical_token_vocabulary_mismatch,evidence-mode labels use different granularity/tokens,no
P25,Safe development paradox: evidence and methodological insights from a systematic review,evidence_tier,E5-review,E2,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P25,Safe development paradox: evidence and methodological insights from a systematic review,causal_claim_strength,heterogeneous,moderate,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P25,Safe development paradox: evidence and methodological insights from a systematic review,result_support,conditional_support,yes,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P26,Toward a Theory of Paradox: A Dynamic Equilibrium Model of Organizing,opposition_valid,uncertain,no,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P26,Toward a Theory of Paradox: A Dynamic Equilibrium Model of Organizing,primary_mechanism,dynamic paradox management,none,,,genuine_conceptual_disagreement,Coder A assigns a mechanism while Coder B assigns none,yes
P26,Toward a Theory of Paradox: A Dynamic Equilibrium Model of Organizing,evidence_tier,NA-conceptual,E0,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P26,Toward a Theory of Paradox: A Dynamic Equilibrium Model of Organizing,causal_claim_strength,theoretical,none,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P26,Toward a Theory of Paradox: A Dynamic Equilibrium Model of Organizing,result_support,not_tested_as_OCI,not_tested,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P27,Dynamic Decision Making: A Model of Senior Leaders Managing Strategic Paradoxes,opposition_valid,uncertain,no,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P27,Dynamic Decision Making: A Model of Senior Leaders Managing Strategic Paradoxes,primary_mechanism,dynamic decision making,none,,,genuine_conceptual_disagreement,Coder A assigns a mechanism while Coder B assigns none,yes
P27,Dynamic Decision Making: A Model of Senior Leaders Managing Strategic Paradoxes,evidence_tier,E2,E1,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P27,Dynamic Decision Making: A Model of Senior Leaders Managing Strategic Paradoxes,causal_claim_strength,mechanistic,weak,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P27,Dynamic Decision Making: A Model of Senior Leaders Managing Strategic Paradoxes,result_support,not_tested_as_OCI,not_tested,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
P28,Over-optimization of academic publishing metrics: observing Goodhart's Law in action,primary_mechanism,Goodhart target feedback,construct_substitution,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P28,Over-optimization of academic publishing metrics: observing Goodhart's Law in action,evidence_tier,E1/E2,E1,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P28,Over-optimization of academic publishing metrics: observing Goodhart's Law in action,causal_claim_strength,associational/mechanistic,moderate,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P28,Over-optimization of academic publishing metrics: observing Goodhart's Law in action,result_support,support,partial,,,genuine_conceptual_disagreement,result-direction judgment differs after coarse crosswalk,yes
P29,Core capabilities and core rigidities: A paradox in managing new product development,primary_mechanism,capability-rigidity transition,level_switch,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P29,Core capabilities and core rigidities: A paradox in managing new product development,evidence_mode,conceptual/empirical,conceptual,,,source_metadata_disagreement,evidence-mode classification differs beyond token formatting,yes
P29,Core capabilities and core rigidities: A paradox in managing new product development,evidence_tier,E1/E2,E0,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P29,Core capabilities and core rigidities: A paradox in managing new product development,causal_claim_strength,mechanistic,none,,,genuine_conceptual_disagreement,causal-strength judgment differs after coarse ordinal crosswalk,yes
P29,Core capabilities and core rigidities: A paradox in managing new product development,result_support,support,not_tested,,,genuine_conceptual_disagreement,result-direction judgment differs after coarse crosswalk,yes
P30,Counterfinality: On the Increased Perceived Instrumentality of Means to a Goal,opposition_valid,no,yes,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P30,Counterfinality: On the Increased Perceived Instrumentality of Means to a Goal,oci_candidate,no,yes,,,genuine_conceptual_disagreement,construct/index-switch judgment differs,yes
P30,Counterfinality: On the Increased Perceived Instrumentality of Means to a Goal,primary_mechanism,counterfinality,construct_substitution,,,schema_category_overlap,free-text/index/mechanism label is being forced against a different controlled mechanism family,yes
P30,Counterfinality: On the Increased Perceived Instrumentality of Means to a Goal,evidence_tier,E4/E1,E4,,,source_metadata_disagreement,evidence-tier systems/granularity differ and require source-level crosswalk,yes
P30,Counterfinality: On the Increased Perceived Instrumentality of Means to a Goal,causal_claim_strength,moderate-high for experimental studies,strong,,,lexical_token_vocabulary_mismatch,free-text causal-strength wording collapses to Coder B ordinal token,no
P30,Counterfinality: On the Increased Perceived Instrumentality of Means to a Goal,result_support,support_for_neighboring_theory,yes,,,lexical_token_vocabulary_mismatch,free-text result label maps directly to Coder B coarse token,no
